Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46686,-0.341,67.62700000000001,0.0,0.0,-1.694,350.0786,0.0,0.0,5.742,0,0.0,-0.635,310.14000000000004,1.0310000000000001,34.71,0.0,257.832,0.0,0
46686,0.0,67.62700000000001,0.0,0.0,-1.694,350.0786,0.0,0.0,5.742,0,0.0,-0.515,310.005,1.0145,34.71,0.0,257.832,0.0,0
46686,-0.171,67.62700000000001,0.0,0.0,-1.694,350.0786,0.0,0.0,5.742,0,0.0,-0.5,310.005,1.3856000000000002,34.44,0.0,257.832,0.0,0
46686,0.0,67.62700000000001,0.0,0.0,-1.694,350.0786,0.0,0.0,5.742,0,0.0,-0.465,310.005,0.7918000000000001,34.35,0.0,257.832,0.0,0
46686,-0.171,67.62700000000001,0.0,0.0,-1.694,350.0786,0.0,0.2,5.742,0,-1.0,-0.465,310.005,-5.1466,34.44,0.0,257.832,0.0,0
46686,0.0,67.62700000000001,0.0,0.0,-1.694,350.0786,0.0,-2.0,5.742,0,0.0,-0.485,310.14000000000004,3.0682,34.2,0.0,257.832,0.0,0
46686,0.0,67.62700000000001,0.0,0.0,-1.694,349.9995,0.0,-5.800000000000001,5.742,0,0.0,-0.47000000000000003,310.005,1.1877,34.47,0.0,257.793,0.0,0
46686,-0.171,67.62700000000001,0.0,0.0,-1.694,349.8412,0.0,-9.9,5.742,0,0.0,-0.46,310.005,-2.3754,35.4,0.0,257.71500000000003,0.0,0
46686,-0.341,67.62700000000001,0.0,0.0,-1.694,349.5632,-40.6,-16.0,5.742,0,0.0,-0.49,310.14000000000004,0.39590000000000003,36.0,0.0,257.57800000000003,0.0,0
46686,-0.512,67.62700000000001,0.0,0.0,-1.694,349.1675,-38.5,-22.1,5.742,0,0.0,-0.49,310.14000000000004,0.6928000000000001,36.06,0.0,257.38300000000004,0.0,0
46686,-0.512,67.62700000000001,0.0,0.0,-1.694,348.65200000000004,-38.6,-29.700000000000003,5.742,0,-1.0,-0.5,310.14000000000004,2.7713,36.69,0.0,257.129,0.0,0
46686,0.0,67.62700000000001,0.0,0.0,-1.694,347.9783,-38.5,-36.6,5.742,0,0.0,-0.485,310.14000000000004,3.9589000000000003,36.6,0.0,256.797,0.0,0
46686,-0.171,67.62700000000001,0.0,0.0,-1.694,347.1402,-79.9,-43.9,5.742,0,-1.0,-0.485,310.005,-0.7918000000000001,36.57,0.0,256.387,0.0,0
46686,-0.171,67.62700000000001,0.0,0.0,-1.694,346.1377,-121.0,-50.800000000000004,5.742,0,1.0,-0.495,310.14000000000004,-4.7507,36.27,0.0,255.89800000000002,0.0,0
46686,-0.341,67.62700000000001,0.0,0.0,-1.694,345.01840000000004,-118.9,-58.2,5.742,0,0.0,-0.495,310.14000000000004,-0.7918000000000001,35.37,0.0,255.352,0.0,0
46686,-0.512,67.62700000000001,0.0,0.0,-1.694,343.77610000000004,-120.9,-64.5,5.742,0,0.0,-0.51,310.14000000000004,1.4846000000000001,34.83,0.0,254.746,0.0,0
46686,-0.341,67.62700000000001,0.0,0.0,-1.694,342.3759,-159.9,-70.10000000000001,5.742,0,0.0,-0.51,310.14000000000004,1.9795,34.17,0.0,254.06300000000002,0.0,0
46686,0.0,67.62700000000001,0.0,0.0,-1.694,340.87710000000004,-161.70000000000002,-74.7,5.742,0,0.0,-0.47000000000000003,310.005,0.099,34.38,0.0,253.34,0.0,0
