Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46922,-0.682,83.545,0.0,0.0,-1.2710000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.675,310.14000000000004,1.4846000000000001,33.72,0.0,257.832,0.0,0
46922,-0.682,83.545,0.0,0.0,-1.2710000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.5650000000000001,310.005,-0.7918000000000001,33.660000000000004,0.0,257.832,0.0,0
46922,-0.853,83.545,0.0,0.0,-1.2710000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.5700000000000001,310.005,-2.1114,33.69,0.0,257.832,0.0,0
46922,-0.853,83.545,0.0,0.0,-1.2710000000000001,350.0786,0.0,-0.2,5.742,0,-1.0,-0.555,310.14000000000004,-1.3196,33.36,0.0,257.832,0.0,0
46922,-0.341,83.545,0.0,0.0,-1.2710000000000001,350.0401,-38.5,-2.5,5.742,0,0.0,-0.53,310.14000000000004,2.2764,34.53,0.0,257.813,0.0,0
46922,-0.682,83.545,0.0,0.0,-1.2710000000000001,349.9589,0.0,-6.300000000000001,5.742,0,0.0,-0.55,309.915,2.7713,35.22,0.0,257.773,0.0,0
46922,-0.171,83.545,0.0,0.0,-1.2710000000000001,349.80060000000003,-40.6,-10.4,5.742,0,0.0,-0.535,310.14000000000004,-1.3196,35.34,0.0,257.695,0.0,0
46922,-0.853,83.545,0.0,0.0,-1.2710000000000001,349.5246,-38.6,-16.7,5.742,0,0.0,-0.56,310.005,-4.0909,35.58,0.0,257.559,0.0,0
46922,-0.853,83.545,0.0,0.0,-1.2710000000000001,349.12690000000003,-40.6,-22.6,5.742,0,0.0,-0.545,310.14000000000004,1.6826,36.03,0.0,257.363,0.0,0
46922,-0.853,83.545,0.0,0.0,-1.2710000000000001,348.5729,-38.5,-30.200000000000003,5.742,0,0.0,-0.55,310.005,-1.5836000000000001,36.06,0.0,257.09000000000003,0.0,0
