Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46572,-1.5350000000000001,67.62700000000001,0.0,0.0,-2.178,350.0786,0.0,0.0,5.742,0,0.0,-0.635,310.14000000000004,1.4516,33.24,0.0,257.832,0.0,0
46572,-1.5350000000000001,67.62700000000001,0.0,0.0,-2.178,350.0786,0.0,-0.2,5.742,0,2.0,-0.45,310.14000000000004,0.0,34.29,0.0,257.832,0.0,0
46572,-1.194,67.62700000000001,0.0,0.0,-2.178,350.0786,0.0,0.0,5.742,0,1.0,-0.465,310.005,-4.0909,34.800000000000004,0.0,257.832,0.0,0
46572,-1.5350000000000001,67.62700000000001,0.0,0.0,-2.178,350.0786,0.0,-0.2,5.742,0,1.0,-0.445,310.23,0.19790000000000002,34.86,0.0,257.832,0.0,0
46572,-1.5350000000000001,67.62700000000001,0.0,0.0,-2.178,350.0786,0.0,-1.7000000000000002,5.742,0,0.0,-0.47500000000000003,310.14000000000004,3.2991,35.04,0.0,257.832,0.0,0
46572,-1.5350000000000001,67.62700000000001,0.0,0.0,-2.178,349.9995,0.0,-5.5,5.742,0,0.0,-0.455,310.14000000000004,3.3321,35.1,0.0,257.793,0.0,0
46572,-1.194,67.62700000000001,0.0,0.0,-2.178,349.8412,-38.6,-9.1,5.742,0,0.0,-0.465,310.005,-4.2229,34.71,0.0,257.71500000000003,0.0,0
46572,-1.5350000000000001,67.62700000000001,0.0,0.0,-2.178,349.60380000000004,0.0,-15.5,5.742,0,1.0,-0.45,310.005,-4.9157,35.25,0.0,257.598,0.0,0
46572,-1.5350000000000001,67.62700000000001,0.0,0.0,-2.178,349.206,-40.6,-21.6,5.742,0,0.0,-0.455,310.14000000000004,2.2434000000000003,35.4,0.0,257.402,0.0,0
46572,-1.8760000000000001,67.62700000000001,0.0,0.0,-2.178,348.6906,-40.6,-28.700000000000003,5.742,0,0.0,-0.47500000000000003,310.14000000000004,3.8600000000000003,36.21,0.0,257.148,0.0,0
