Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46679,0.0,67.62700000000001,0.0,0.0,-1.5130000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.63,309.915,-1.8310000000000002,33.480000000000004,0.0,257.832,0.0,0
46679,0.0,67.62700000000001,0.0,0.0,-1.5130000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.45,310.14000000000004,0.066,33.6,0.0,257.832,0.0,0
46679,0.0,67.62700000000001,0.0,0.0,-1.5130000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.5,310.14000000000004,-0.1072,34.62,0.0,257.832,0.0,0
46679,-0.171,67.62700000000001,0.0,0.0,-1.5130000000000001,350.0786,0.0,-0.2,5.742,0,-1.0,-0.49,310.005,4.7095,35.94,0.0,257.832,0.0,0
46679,-0.512,67.62700000000001,0.0,0.0,-1.5130000000000001,350.0401,0.0,-3.3000000000000003,5.742,0,0.0,-0.465,310.005,0.0247,37.11,0.0,257.813,0.0,0
46679,-0.171,67.62700000000001,0.0,0.0,-1.5130000000000001,349.9589,0.0,-6.800000000000001,5.742,0,0.0,-0.445,310.005,-5.2126,36.93,0.0,257.773,0.0,0
46679,0.0,67.62700000000001,0.0,0.0,-1.5130000000000001,349.76210000000003,-38.5,-10.9,5.742,0,0.0,-0.465,310.005,1.0557,36.300000000000004,0.0,257.676,0.0,0
46679,-0.512,67.62700000000001,0.0,0.0,-1.5130000000000001,349.48400000000004,0.0,-18.3,5.742,0,0.0,-0.455,310.005,3.1919,36.45,0.0,257.539,0.0,0
46679,-0.512,67.62700000000001,0.0,0.0,-1.5130000000000001,349.0477,-40.6,-24.1,5.742,0,0.0,-0.46,310.14000000000004,-0.42060000000000003,36.660000000000004,0.0,257.324,0.0,0
46679,-0.512,67.62700000000001,0.0,0.0,-1.5130000000000001,348.4937,-38.6,-31.0,5.742,0,-1.0,-0.445,310.005,-1.1629,36.03,0.0,257.051,0.0,0
46679,0.171,67.62700000000001,0.0,0.0,-1.5130000000000001,347.74080000000004,-79.2,-38.1,5.742,0,0.0,-0.43,309.915,1.4681,35.1,0.0,256.68,0.0,0
