Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46909,-1.194,83.545,0.5,0.0,-0.968,350.0786,0.0,0.0,5.742,0,1.0,-0.525,310.14000000000004,-0.39590000000000003,33.660000000000004,0.0,257.832,0.0,0
46909,-1.0230000000000001,83.545,0.0,0.0,-0.968,350.0786,0.0,0.0,5.742,0,0.0,-0.45,310.005,0.9897,34.980000000000004,0.0,257.832,0.0,0
46909,-1.364,83.545,0.0,0.0,-0.968,350.0786,0.0,0.0,5.742,0,1.0,-0.455,309.915,-2.4249,35.4,0.0,257.832,0.0,0
46909,-1.364,83.545,0.0,0.0,-0.968,350.0786,0.0,-0.2,5.742,0,1.0,-0.525,309.915,1.0310000000000001,35.13,0.0,257.832,0.0,0
46909,-1.0230000000000001,83.545,-0.5,0.0,-0.968,350.0786,0.0,-2.3000000000000003,5.742,0,0.0,-0.49,310.14000000000004,2.2846,35.13,0.0,257.832,0.0,0
46909,-0.853,83.545,0.0,0.0,-0.968,349.9589,-40.6,-5.800000000000001,5.742,0,0.0,-0.485,309.915,3.1012,35.160000000000004,0.0,257.773,0.0,0
46909,-0.853,83.545,0.0,0.0,-0.968,349.80060000000003,-40.6,-9.6,5.742,0,1.0,-0.45,310.14000000000004,1.5836000000000001,35.19,0.0,257.695,0.0,0
46909,-1.5350000000000001,83.545,0.0,0.0,-0.968,349.5246,-38.6,-17.0,5.742,0,1.0,-0.47000000000000003,310.14000000000004,-1.7815,33.93,0.0,257.559,0.0,0
46909,-1.0230000000000001,83.545,0.0,0.0,-0.968,349.12690000000003,-40.6,-22.900000000000002,5.742,0,0.0,-0.47000000000000003,310.005,3.3239,33.18,0.0,257.363,0.0,0
46909,-1.364,83.545,0.5,0.0,-0.968,348.6114,-40.6,-29.700000000000003,5.742,0,0.0,-0.5,309.915,-3.4558,33.51,0.0,257.10900000000004,0.0,0
