Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47052,0.0,75.586,0.0,0.0,-0.726,350.0786,0.0,0.0,5.742,0,0.0,-0.49,310.14000000000004,5.2786,37.95,0.0,257.832,0.0,0
47052,0.0,75.586,0.0,0.0,-0.726,350.0786,0.0,-0.2,5.742,0,0.0,-0.51,309.915,-4.9487000000000005,39.45,0.0,257.832,0.0,0
47052,0.341,75.586,0.0,0.0,-0.726,350.0786,0.0,0.0,5.742,0,0.0,-0.53,310.005,-6.7302,39.87,0.0,257.832,0.0,0
47052,0.0,75.586,0.0,0.0,-0.726,350.0786,0.0,-0.5,5.742,0,0.0,-0.5650000000000001,310.14000000000004,5.5425,40.17,0.0,257.832,0.0,0
47052,0.171,75.586,0.0,0.0,-0.726,350.0401,0.0,-3.5,5.742,0,0.0,-0.525,310.005,3.4311000000000003,40.32,0.0,257.813,0.0,0
47052,0.341,75.586,0.0,0.0,-0.726,349.9203,-38.6,-6.800000000000001,5.742,0,0.0,-0.515,309.915,-3.3651,39.6,0.0,257.754,0.0,0
47052,-0.171,75.586,0.0,0.0,-0.726,349.7215,-40.6,-11.700000000000001,5.742,0,0.0,-0.49,310.005,-3.563,39.24,0.0,257.656,0.0,0
47052,-0.171,75.586,0.0,0.0,-0.726,349.4049,-40.6,-18.8,5.742,0,0.0,-0.465,310.005,-2.1114,38.88,0.0,257.5,0.0,0
47052,-0.171,75.586,0.0,0.0,-0.726,348.96860000000004,-79.10000000000001,-24.900000000000002,5.742,0,0.0,-0.46,309.915,-1.3196,38.49,0.0,257.285,0.0,0
47052,-0.171,75.586,0.0,0.0,-0.726,348.4146,-38.6,-32.0,5.742,0,0.0,-0.52,310.005,3.6950000000000003,38.43,0.0,257.012,0.0,0
47052,0.171,75.586,0.0,0.0,-0.726,347.6609,-79.9,-38.9,5.742,0,0.0,-0.505,309.915,-0.132,37.92,0.0,256.641,0.0,0
47052,0.512,75.586,0.0,0.0,-0.726,346.7794,-79.9,-47.300000000000004,5.742,0,1.0,-0.485,310.005,0.46190000000000003,37.230000000000004,0.0,256.211,0.0,0
47052,-0.171,75.586,0.0,0.0,-0.726,345.7379,-121.0,-53.900000000000006,5.742,0,0.0,-0.525,309.915,-1.9795,37.47,0.0,255.703,0.0,0
47052,0.0,75.586,0.0,0.0,-0.726,344.5366,-121.0,-59.7,5.742,0,0.0,-0.515,309.915,-4.7507,38.7,0.0,255.11700000000002,0.0,0
47052,0.0,75.586,0.0,0.0,-0.726,343.2554,-120.9,-66.3,5.742,0,0.0,-0.49,310.005,1.3196,39.54,0.0,254.49200000000002,0.0,0
47052,0.341,75.586,0.0,0.0,-0.726,341.8079,-161.70000000000002,-71.9,5.742,0,0.0,-0.525,310.005,2.0455,39.54,0.0,253.78900000000002,0.0,0
47052,0.171,75.586,0.0,0.0,-0.726,340.2697,-161.70000000000002,-76.0,5.742,0,0.0,-0.51,309.915,-0.7918000000000001,39.51,0.0,253.04700000000003,0.0,0
47052,0.0,75.586,0.0,0.0,-0.726,340.108,-161.70000000000002,-76.5,5.742,0,0.0,-0.515,310.005,-0.6763,39.57,0.0,252.96900000000002,0.0,0
47052,0.171,75.586,0.0,0.0,-0.726,338.4889,-161.70000000000002,-79.10000000000001,5.742,0,0.0,-0.485,310.005,3.1672000000000002,39.87,0.0,252.18800000000002,0.0,0
47052,0.0,75.586,0.0,0.0,-0.726,336.827,-163.0,-80.60000000000001,5.742,0,0.0,-0.515,310.14000000000004,1.4269,39.15,0.0,251.387,0.0,0
47052,0.171,75.586,0.0,0.0,-0.726,335.1467,-163.70000000000002,-81.10000000000001,5.742,0,0.0,-0.515,310.005,0.0495,39.33,0.0,250.586,0.0,0
47052,0.171,75.586,0.0,0.0,-0.726,333.4665,-163.6,-80.3,5.742,0,0.0,-0.5,310.14000000000004,-0.2227,38.97,0.0,249.78500000000003,0.0,0
