Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46606,-0.853,67.62700000000001,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,1.0,-0.485,310.14000000000004,2.4166000000000003,34.74,0.0,257.832,0.0,0
46606,-1.0230000000000001,67.62700000000001,0.5,0.0,-1.573,350.0786,0.0,0.0,5.742,0,1.0,-0.46,310.005,2.3754,35.22,0.0,257.832,0.0,0
46606,-1.194,67.62700000000001,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,1.0,-0.48,310.005,-2.7713,36.33,0.0,257.832,0.0,0
46606,-1.194,67.62700000000001,0.0,0.0,-1.573,350.0786,0.0,-0.2,5.742,0,0.0,-0.455,310.14000000000004,1.7568000000000001,36.24,0.0,257.832,0.0,0
46606,-1.194,67.62700000000001,0.0,0.0,-1.573,350.0401,-38.5,-2.3000000000000003,5.742,0,1.0,-0.445,310.005,6.7302,36.54,0.0,257.813,0.0,0
46606,-1.194,67.62700000000001,-0.5,0.0,-1.573,349.9589,0.0,-6.1000000000000005,5.742,0,1.0,-0.45,310.005,-3.9589000000000003,36.480000000000004,0.0,257.773,0.0,0
46606,-0.853,67.62700000000001,0.0,0.0,-1.573,349.80060000000003,0.0,-10.4,5.742,0,1.0,-0.46,310.005,-5.9137,36.0,0.0,257.695,0.0,0
46606,-1.364,67.62700000000001,0.0,0.0,-1.573,349.5246,-38.6,-16.7,5.742,0,0.0,-0.41500000000000004,310.005,-0.3052,34.92,0.0,257.559,0.0,0
46606,-1.364,67.62700000000001,-0.5,0.0,-1.573,349.0883,-38.6,-22.900000000000002,5.742,0,1.0,-0.47500000000000003,309.915,-0.5773,33.75,0.0,257.344,0.0,0
46606,-1.364,67.62700000000001,0.0,0.0,-1.573,348.5323,-79.10000000000001,-30.5,5.742,0,1.0,-0.45,310.005,-0.5031,33.75,0.0,257.07,0.0,0
46606,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.573,347.8586,-79.10000000000001,-37.9,5.742,0,1.0,-0.495,310.005,1.7815,34.05,0.0,256.738,0.0,0
