Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47047,1.0230000000000001,75.586,-0.5,0.0,-0.302,350.0786,0.0,0.0,5.737,0,1.0,0.32,309.915,-2.1609000000000003,37.68,0.0,257.832,0.0,0
47047,0.853,75.586,0.0,0.0,-0.302,350.0786,0.0,0.0,5.742,0,1.0,-0.665,310.005,-4.1321,37.410000000000004,0.0,257.832,0.0,0
47047,0.512,75.586,0.0,0.0,-0.302,350.0786,0.0,0.2,5.742,0,1.0,-0.45,310.005,1.9795,36.12,0.0,257.832,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,350.0786,0.0,0.0,5.742,0,1.0,-0.56,310.005,-0.0165,36.39,0.0,257.832,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,350.0786,0.0,-0.5,5.742,0,2.0,-0.55,310.005,-0.2639,38.01,0.0,257.832,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,350.0401,0.0,-3.8000000000000003,5.742,0,0.0,-0.51,310.14000000000004,4.923900000000001,39.75,0.0,257.813,0.0,0
47047,1.0230000000000001,75.586,0.5,0.0,-0.302,349.9203,0.0,-6.6000000000000005,5.742,0,0.0,-0.51,309.915,-1.1877,40.35,0.0,257.754,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,349.7215,-40.6,-12.4,5.742,0,1.0,-0.485,309.915,-5.79,39.54,0.0,257.656,0.0,0
47047,1.194,75.586,-0.5,0.0,-0.302,349.4049,-40.6,-18.5,5.742,0,1.0,-0.48,309.915,-3.4806000000000004,39.0,0.0,257.5,0.0,0
47047,0.512,75.586,0.0,0.0,-0.302,348.96860000000004,-40.6,-24.900000000000002,5.742,0,1.0,-0.46,310.005,2.0949,38.01,0.0,257.285,0.0,0
47047,1.0230000000000001,75.586,0.0,0.0,-0.302,348.374,-79.2,-32.800000000000004,5.742,0,0.0,-0.49,309.915,1.4516,37.92,0.0,256.992,0.0,0
47047,1.364,75.586,0.0,0.0,-0.302,347.61990000000003,-79.9,-39.4,5.742,0,2.0,-0.495,310.005,0.7753,37.83,0.0,256.62100000000004,0.0,0
47047,0.853,75.586,0.0,0.0,-0.302,346.7384,-79.9,-47.300000000000004,5.742,0,1.0,-0.485,309.915,-2.2269,37.08,0.0,256.19100000000003,0.0,0
47047,0.853,75.586,0.0,0.0,-0.302,345.699,-118.9,-54.1,5.742,0,1.0,-0.535,309.915,-1.0557,36.69,0.0,255.68400000000003,0.0,0
47047,0.682,75.586,0.5,0.0,-0.302,344.4977,-118.9,-60.5,5.742,0,1.0,-0.515,310.005,-0.39590000000000003,36.09,0.0,255.098,0.0,0
47047,0.853,75.586,0.5,0.0,-0.302,343.1754,-159.9,-66.60000000000001,5.742,0,1.0,-0.505,310.14000000000004,3.9177000000000004,36.87,0.0,254.453,0.0,0
47047,1.194,75.586,0.5,0.0,-0.302,343.0565,-118.9,-67.3,5.742,0,1.0,-0.495,310.14000000000004,4.5858,36.84,0.0,254.395,0.0,0
47047,0.853,75.586,0.0,0.0,-0.302,341.60470000000004,-163.8,-72.5,5.742,0,1.0,-0.48,310.005,4.3548,38.19,0.0,253.691,0.0,0
47047,1.0230000000000001,75.586,-0.5,0.0,-0.302,340.0665,-122.30000000000001,-75.7,5.742,0,0.0,-0.505,310.005,0.7918000000000001,39.42,0.0,252.949,0.0,0
47047,1.0230000000000001,75.586,-0.5,0.0,-0.302,338.4474,-161.70000000000002,-79.3,5.742,0,1.0,-0.53,310.005,-3.1672000000000002,38.910000000000004,0.0,252.168,0.0,0
47047,1.0230000000000001,75.586,0.0,0.0,-0.302,336.785,-163.6,-80.3,5.742,0,1.0,-0.52,310.005,-3.9589000000000003,38.28,0.0,251.36700000000002,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,335.0649,-163.6,-80.9,5.742,0,0.0,-0.445,309.915,-2.1114,37.800000000000004,0.0,250.54700000000003,0.0,0
47047,1.0230000000000001,75.586,0.0,0.0,-0.302,333.3847,-163.6,-79.8,5.742,0,0.0,-0.505,310.005,-0.5279,37.86,0.0,249.746,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,331.7044,-163.6,-80.10000000000001,5.742,0,0.0,-0.51,310.14000000000004,2.5073000000000003,38.1,0.0,248.94500000000002,0.0,0
47047,0.682,75.586,0.5,0.0,-0.302,330.0088,-165.70000000000002,-80.10000000000001,5.742,0,0.0,-0.48,310.005,0.7258,37.980000000000004,0.0,248.145,0.0,0
47047,1.194,75.586,0.5,0.0,-0.302,328.308,-165.6,-80.10000000000001,5.742,0,0.0,-0.48,310.14000000000004,2.9032,37.59,0.0,247.34400000000002,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,326.60720000000003,-165.6,-80.10000000000001,5.742,0,1.0,-0.495,310.005,0.8908,37.29,0.0,246.543,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,324.89430000000004,-167.6,-79.8,5.742,0,1.0,-0.49,310.005,1.0557,36.18,0.0,245.74200000000002,0.0,0
47047,1.0230000000000001,75.586,0.5,0.0,-0.302,323.17240000000004,-169.8,-79.8,5.742,0,0.0,-0.485,309.915,-0.8908,36.72,0.0,244.941,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,321.4527,-208.5,-79.60000000000001,5.742,0,1.0,-0.47000000000000003,309.915,-5.938400000000001,37.980000000000004,0.0,244.14100000000002,0.0,0
47047,0.682,75.586,-0.5,0.0,-0.302,319.7244,-213.3,-80.10000000000001,5.742,0,1.0,-0.505,310.005,-2.6393,39.33,0.0,243.34,0.0,0
47047,1.0230000000000001,75.586,-0.5,0.0,-0.302,317.9814,-213.20000000000002,-80.3,5.742,0,1.0,-0.485,310.005,5.938400000000001,39.69,0.0,242.53900000000002,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,316.2384,-169.70000000000002,-79.8,5.742,0,0.0,-0.47500000000000003,310.005,3.629,39.75,0.0,241.738,0.0,0
47047,0.853,75.586,1.0,0.0,-0.302,314.49690000000004,-170.3,-79.8,5.742,0,1.0,-0.49,310.005,-2.6393,39.06,0.0,240.93800000000002,0.0,0
47047,1.0230000000000001,75.586,0.0,0.0,-0.302,312.7328,-171.8,-80.10000000000001,5.742,0,0.0,-0.495,310.005,-2.9032,38.25,0.0,240.137,0.0,0
47047,1.0230000000000001,75.586,0.0,0.0,-0.302,310.9687,-215.8,-80.3,5.742,0,0.0,-0.5,310.005,-0.2639,37.65,0.0,239.336,0.0,0
47047,0.853,75.586,0.0,0.0,-0.302,309.2046,-215.8,-79.8,5.742,0,2.0,-0.485,309.915,0.066,37.86,0.0,238.53500000000003,0.0,0
47047,0.853,75.586,0.5,0.0,-0.302,307.4248,-218.4,-79.8,5.742,0,1.0,-0.485,310.005,-2.1114,37.92,0.0,237.734,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,305.6845,-173.8,-79.8,5.742,0,0.0,-0.495,309.915,-0.46190000000000003,38.25,0.0,236.953,0.0,0
47047,0.682,75.586,0.0,0.0,-0.302,303.8997,-173.8,-80.10000000000001,5.742,0,1.0,-0.48,309.915,-0.7918000000000001,38.19,0.0,236.15200000000002,0.0,0
47047,1.0230000000000001,75.586,-0.5,0.0,-0.302,302.1078,-175.8,-79.8,5.742,0,0.0,-0.495,310.005,0.0,37.95,0.0,235.352,0.0,0
47047,0.512,75.586,0.5,0.0,-0.302,301.887,-220.8,-79.8,5.742,0,1.0,-0.485,310.005,0.39590000000000003,37.980000000000004,0.0,235.25400000000002,0.0,0
47047,1.0230000000000001,75.586,0.0,0.0,-0.302,300.0819,-220.9,-80.10000000000001,5.742,0,0.0,-0.48,309.915,1.5836000000000001,38.22,0.0,234.453,0.0,0
47047,0.682,75.586,0.0,0.0,-0.302,298.2769,-220.8,-79.8,5.742,0,0.0,-0.485,310.005,1.3691,38.76,0.0,233.65200000000002,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,296.5113,-177.70000000000002,-80.10000000000001,5.742,0,0.0,-0.485,310.14000000000004,0.5691,39.51,0.0,232.871,0.0,0
47047,1.194,75.586,-0.5,0.0,-0.302,294.6868,-177.70000000000002,-80.10000000000001,5.742,0,0.0,-0.485,310.005,3.6125000000000003,39.87,0.0,232.07000000000002,0.0,0
47047,1.0230000000000001,75.586,0.0,0.0,-0.302,292.8646,-177.70000000000002,-80.10000000000001,5.742,0,1.0,-0.505,310.005,-1.1877,39.81,0.0,231.27,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,291.0398,-178.0,-79.8,5.742,0,0.0,-0.48,310.005,-4.2394,39.96,0.0,230.46900000000002,0.0,0
47047,0.853,75.586,0.5,0.0,-0.302,289.1967,-179.5,-79.60000000000001,5.742,0,1.0,-0.465,310.005,0.9238000000000001,39.57,0.0,229.668,0.0,0
47047,1.0230000000000001,75.586,-0.5,0.0,-0.302,287.35360000000003,-179.5,-79.8,5.742,0,0.0,-0.49,309.915,-0.9238000000000001,38.25,0.0,228.86700000000002,0.0,0
47047,1.194,75.586,0.5,0.0,-0.302,285.51050000000004,-181.8,-80.3,5.742,0,0.0,-0.47000000000000003,310.14000000000004,1.8887,38.01,0.0,228.066,0.0,0
47047,1.0230000000000001,75.586,0.0,0.0,-0.302,283.6566,-181.20000000000002,-79.8,5.742,0,0.0,-0.47500000000000003,310.005,4.024900000000001,37.74,0.0,227.26600000000002,0.0,0
47047,1.194,75.586,0.5,0.0,-0.302,281.7959,-181.20000000000002,-80.10000000000001,5.742,0,0.0,-0.495,310.005,-1.0722,37.980000000000004,0.0,226.465,0.0,0
47047,0.853,75.586,0.0,0.0,-0.302,279.93510000000003,-181.20000000000002,-79.60000000000001,5.742,0,1.0,-0.49,310.14000000000004,-4.2476,38.61,0.0,225.66400000000002,0.0,0
47047,1.194,75.586,0.5,0.0,-0.302,278.0666,-182.8,-80.3,5.742,0,1.0,-0.47500000000000003,310.005,1.3856000000000002,38.43,0.0,224.863,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,276.1917,-182.8,-80.10000000000001,5.742,0,2.0,-0.49,310.005,0.5114000000000001,39.06,0.0,224.06300000000002,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,274.31440000000003,-182.8,-79.8,5.742,0,1.0,-0.495,310.005,-2.5486,39.57,0.0,223.262,0.0,0
47047,1.0230000000000001,75.586,0.0,0.0,-0.302,272.4341,-184.20000000000002,-80.10000000000001,5.742,0,1.0,-0.51,309.915,-3.0847,39.9,0.0,222.461,0.0,0
47047,1.194,75.586,-0.5,0.0,-0.302,270.5415,-184.3,-79.3,5.742,0,1.0,-0.485,310.005,-2.9692000000000003,40.410000000000004,0.0,221.66,0.0,0
47047,0.853,75.586,0.0,0.0,-0.302,268.649,-186.70000000000002,-79.8,5.742,0,0.0,-0.48,309.915,-1.0392000000000001,40.410000000000004,0.0,220.859,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,266.7588,-184.3,-80.10000000000001,5.742,0,1.0,-0.49,310.005,-2.2599,39.480000000000004,0.0,220.059,0.0,0
47047,1.0230000000000001,75.586,0.0,0.0,-0.302,264.8533,-185.70000000000002,-80.3,5.742,0,0.0,-0.49,310.005,1.5836000000000001,38.25,0.0,219.258,0.0,0
47047,0.682,75.586,-1.0,0.0,-0.302,262.9468,-185.70000000000002,-80.10000000000001,5.742,0,2.0,-0.51,309.915,5.8724,36.72,0.0,218.45700000000002,0.0,0
47047,0.853,75.586,0.0,0.0,-0.302,262.76120000000003,-185.60000000000002,-80.10000000000001,5.742,0,1.0,-0.5,309.915,5.0147,36.63,0.0,218.37900000000002,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,260.85470000000004,-185.60000000000002,-79.8,5.742,0,1.0,-0.485,310.005,-0.39590000000000003,36.480000000000004,0.0,217.578,0.0,0
47047,0.682,75.586,-0.5,0.0,-0.302,258.93870000000004,-186.8,-79.60000000000001,5.742,0,1.0,-0.485,310.005,0.2639,37.32,0.0,216.77700000000002,0.0,0
47047,1.194,75.586,0.0,0.0,-0.302,257.022,-186.8,-80.10000000000001,5.742,0,0.0,-0.48,310.005,2.5073000000000003,39.03,0.0,215.977,0.0,0
