Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47043,0.682,75.586,0.0,0.0,-0.968,350.0786,0.0,0.0,5.742,0,0.0,-0.54,309.915,-2.3589,41.79,0.0,257.832,0.0,0
47043,0.512,75.586,0.0,0.0,-0.968,350.0786,0.0,0.0,5.742,0,1.0,-0.445,310.005,-1.9795,40.65,0.0,257.832,0.0,0
47043,0.0,75.586,0.5,0.0,-0.968,350.0786,0.0,0.0,5.742,0,0.0,-0.56,310.005,4.1569,39.51,0.0,257.832,0.0,0
47043,0.0,75.586,0.5,0.0,-0.968,350.0786,0.0,-0.2,5.742,0,0.0,-0.51,310.005,2.6228000000000002,39.0,0.0,257.832,0.0,0
47043,0.341,75.586,0.5,0.0,-0.968,350.0786,0.0,-2.3000000000000003,5.742,0,0.0,-0.485,309.915,-4.7507,38.94,0.0,257.832,0.0,0
47043,0.171,75.586,-0.5,0.0,-0.968,349.9589,-40.6,-5.5,5.742,0,0.0,-0.445,310.005,-0.2639,38.61,0.0,257.773,0.0,0
47043,0.512,75.586,0.5,0.0,-0.968,349.80060000000003,-40.6,-9.6,5.742,0,1.0,-0.49,310.14000000000004,2.862,37.980000000000004,0.0,257.695,0.0,0
47043,0.341,75.586,0.0,0.0,-0.968,349.5632,0.0,-16.3,5.742,0,0.0,-0.535,310.005,-1.6001,37.08,0.0,257.57800000000003,0.0,0
47043,0.0,75.586,0.0,0.0,-0.968,349.1675,-38.5,-22.1,5.742,0,0.0,-0.45,309.915,0.5444,37.17,0.0,257.38300000000004,0.0,0
47043,0.341,75.586,0.5,0.0,-0.968,348.6114,-79.2,-29.5,5.742,0,0.0,-0.495,310.005,0.0907,38.160000000000004,0.0,257.10900000000004,0.0,0
47043,0.512,75.586,-0.5,0.0,-0.968,347.9377,-79.10000000000001,-36.9,5.742,0,0.0,-0.525,309.915,-0.066,39.93,0.0,256.777,0.0,0
47043,0.0,75.586,-0.5,0.0,-0.968,347.0992,-120.9,-43.9,5.742,0,0.0,-0.45,310.005,-2.3919,41.1,0.0,256.367,0.0,0
47043,0.341,75.586,0.5,0.0,-0.968,346.1377,-82.0,-50.300000000000004,5.742,0,0.0,-0.52,310.005,-2.4413,41.34,0.0,255.89800000000002,0.0,0
47043,0.341,75.586,0.0,0.0,-0.968,346.0188,-118.9,-51.900000000000006,5.742,0,1.0,-0.525,310.005,-2.2434000000000003,41.34,0.0,255.84,0.0,0
47043,0.341,75.586,0.5,0.0,-0.968,344.8564,-121.0,-58.7,5.742,0,0.0,-0.51,310.005,1.5176,40.53,0.0,255.27300000000002,0.0,0
47043,0.341,75.586,0.5,0.0,-0.968,343.5752,-161.9,-65.3,5.742,0,0.0,-0.555,310.005,1.5836000000000001,39.78,0.0,254.64800000000002,0.0,0
47043,0.0,75.586,0.0,0.0,-0.968,342.1728,-161.70000000000002,-70.4,5.742,0,1.0,-0.445,310.005,0.5279,39.42,0.0,253.965,0.0,0
47043,0.341,75.586,-0.5,0.0,-0.968,340.6739,-161.70000000000002,-75.0,5.742,0,0.0,-0.445,310.005,0.2639,38.94,0.0,253.24200000000002,0.0,0
47043,0.341,75.586,0.5,0.0,-0.968,339.0942,-163.8,-78.3,5.742,0,0.0,-0.44,310.005,1.5836000000000001,38.49,0.0,252.48000000000002,0.0,0
47043,0.341,75.586,0.0,0.0,-0.968,337.4357,-161.70000000000002,-79.8,5.742,0,0.0,-0.49,309.915,0.132,38.34,0.0,251.68,0.0,0
47043,0.341,75.586,0.0,0.0,-0.968,335.76140000000004,-163.6,-80.9,5.742,0,0.0,-0.49,310.14000000000004,0.9567,38.04,0.0,250.87900000000002,0.0,0
47043,0.171,75.586,0.0,0.0,-0.968,334.0811,-163.6,-80.10000000000001,5.742,0,0.0,-0.5,310.14000000000004,1.4516,37.38,0.0,250.078,0.0,0
47043,0.341,75.586,0.0,0.0,-0.968,332.361,-203.4,-80.10000000000001,5.742,0,0.0,-0.465,309.915,0.0,38.46,0.0,249.258,0.0,0
47043,0.341,75.586,0.0,0.0,-0.968,330.67130000000003,-208.10000000000002,-80.3,5.742,0,0.0,-0.5,310.005,-3.4311000000000003,40.53,0.0,248.45700000000002,0.0,0
47043,0.171,75.586,-0.5,0.0,-0.968,329.01300000000003,-165.6,-79.8,5.742,0,0.0,-0.52,310.005,-0.9567,41.49,0.0,247.67600000000002,0.0,0
47043,0.512,75.586,0.5,0.0,-0.968,327.31210000000004,-165.70000000000002,-79.3,5.742,0,0.0,-0.55,310.14000000000004,6.5982,41.13,0.0,246.875,0.0,0
47043,0.171,75.586,0.0,0.0,-0.968,325.60790000000003,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.515,309.915,1.3856000000000002,40.35,0.0,246.074,0.0,0
47043,0.0,75.586,-0.5,0.0,-0.968,323.8861,-169.8,-79.8,5.742,0,0.0,-0.47000000000000003,310.005,-4.3548,39.57,0.0,245.27300000000002,0.0,0
47043,0.171,75.586,0.0,0.0,-0.968,322.16630000000004,-167.70000000000002,-79.8,5.742,0,0.0,-0.5,309.915,-4.3218000000000005,39.45,0.0,244.473,0.0,0
47043,0.0,75.586,-0.5,0.0,-0.968,320.4445,-167.6,-79.8,5.742,0,0.0,-0.54,309.915,-2.1114,38.79,0.0,243.67200000000003,0.0,0
47043,0.341,75.586,0.5,0.0,-0.968,318.7038,-169.8,-79.8,5.742,0,0.0,-0.5,309.825,-3.0352,38.160000000000004,0.0,242.871,0.0,0
47043,0.171,75.586,-0.5,0.0,-0.968,316.9608,-169.70000000000002,-80.60000000000001,5.742,0,0.0,-0.48,309.915,0.7918000000000001,37.71,0.0,242.07000000000002,0.0,0
47043,0.341,75.586,0.0,0.0,-0.968,316.79110000000003,-169.70000000000002,-80.3,5.742,0,0.0,-0.5,310.005,1.1712,37.71,0.0,241.99200000000002,0.0,0
47043,0.171,75.586,-0.5,0.0,-0.968,315.048,-172.0,-80.10000000000001,5.742,0,0.0,-0.515,310.14000000000004,7.4808,37.2,0.0,241.191,0.0,0
47043,0.171,75.586,0.0,0.0,-0.968,313.29220000000004,-171.8,-79.60000000000001,5.742,0,0.0,-0.48,310.005,3.2661000000000002,37.47,0.0,240.39100000000002,0.0,0
47043,0.512,75.586,0.0,0.0,-0.968,311.5281,-171.8,-79.8,5.742,0,0.0,-0.515,309.915,-4.0909,38.730000000000004,0.0,239.59,0.0,0
47043,0.171,75.586,-0.5,0.0,-0.968,309.764,-171.8,-80.10000000000001,5.742,0,0.0,-0.5,309.915,-5.3033,40.59,0.0,238.78900000000002,0.0,0
