Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46592,-0.341,67.62700000000001,-0.5,0.0,-2.844,350.0786,0.0,0.0,5.742,0,0.0,-0.495,309.915,-2.4743,37.86,0.0,257.832,0.0,0
46592,-0.171,67.62700000000001,0.0,0.0,-2.844,350.0786,0.0,0.0,5.742,0,0.0,-0.47000000000000003,310.005,-4.3548,37.980000000000004,0.0,257.832,0.0,0
46592,-0.512,67.62700000000001,0.0,0.0,-2.844,350.0786,0.0,0.0,5.742,0,0.0,-0.455,310.14000000000004,-1.0557,36.54,0.0,257.832,0.0,0
46592,-0.171,67.62700000000001,0.0,0.0,-2.844,350.0786,0.0,0.0,5.742,0,1.0,-0.445,310.005,5.0147,36.24,0.0,257.832,0.0,0
46592,-0.682,67.62700000000001,0.0,0.0,-2.844,350.0786,0.0,0.0,5.742,0,0.0,-0.47000000000000003,309.915,-1.7815,35.97,0.0,257.832,0.0,0
46592,-0.341,67.62700000000001,0.0,0.0,-2.844,350.0786,0.0,0.0,5.742,0,0.0,-0.47500000000000003,310.14000000000004,-2.7713,36.480000000000004,0.0,257.832,0.0,0
46592,-0.512,67.62700000000001,0.0,0.0,-2.844,350.0786,0.0,0.0,5.742,0,0.0,-0.44,310.005,5.2786,36.6,0.0,257.832,0.0,0
46592,-0.853,67.62700000000001,0.0,0.0,-2.844,350.0786,0.0,0.0,5.742,0,0.0,-0.435,310.005,-0.6598,36.12,0.0,257.832,0.0,0
46592,-0.341,67.62700000000001,0.0,0.0,-2.844,350.0786,0.0,0.0,5.742,0,0.0,-0.435,309.825,-7.423,35.160000000000004,0.0,257.832,0.0,0
46592,-0.171,67.62700000000001,0.0,0.0,-2.844,350.0786,0.0,0.0,5.742,0,0.0,-0.5,310.005,-0.2639,34.89,0.0,257.832,0.0,0
