Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46920,-0.853,83.545,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,1.0,-0.545,310.005,-2.3094,34.74,0.0,257.832,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,0.0,-0.505,310.005,3.2166,35.79,0.0,257.832,0.0,0
46920,-0.682,83.545,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,2.0,-0.535,310.005,-0.19790000000000002,36.18,0.0,257.832,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,2.0,-0.495,310.005,-0.39590000000000003,36.12,0.0,257.832,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,350.0786,0.0,-0.2,5.742,0,-1.0,-0.55,310.005,-0.7918000000000001,35.88,0.0,257.832,0.0,0
46920,-1.0230000000000001,83.545,0.0,0.0,-1.815,350.0401,0.0,-3.0,5.742,0,-1.0,-0.52,310.005,-1.7155,35.730000000000004,0.0,257.813,0.0,0
46920,-0.682,83.545,0.0,0.0,-1.815,349.9589,0.0,-6.1000000000000005,5.742,0,0.0,-0.515,310.14000000000004,1.7485000000000002,35.61,0.0,257.773,0.0,0
46920,-0.341,83.545,0.0,0.0,-1.815,349.80060000000003,0.0,-10.9,5.742,0,0.0,-0.525,309.915,1.9795,35.97,0.0,257.695,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,349.48400000000004,-40.6,-17.5,5.742,0,0.0,-0.515,310.005,-5.2786,35.22,0.0,257.539,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,349.0883,-38.6,-23.3,5.742,0,0.0,-0.535,310.14000000000004,0.7918000000000001,34.410000000000004,0.0,257.344,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,348.5323,-40.6,-30.5,5.742,0,0.0,-0.485,310.005,1.7815,33.660000000000004,0.0,257.07,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,347.82,-79.10000000000001,-38.1,5.742,0,0.0,-0.53,310.14000000000004,-1.7155,33.03,0.0,256.719,0.0,0
46920,-0.512,83.545,0.0,0.0,-1.815,346.9393,-120.9,-46.0,5.742,0,1.0,-0.525,310.005,0.6268,33.06,0.0,256.289,0.0,0
46920,-0.682,83.545,0.0,0.0,-1.815,345.9389,-118.9,-52.1,5.742,0,0.0,-0.515,310.005,2.7713,34.14,0.0,255.80100000000002,0.0,0
46920,-0.682,83.545,0.0,0.0,-1.815,344.7765,-120.9,-59.0,5.742,0,0.0,-0.53,310.005,2.4743,35.37,0.0,255.234,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,343.4952,-121.0,-65.60000000000001,5.742,0,0.0,-0.47000000000000003,310.005,-3.2991,35.67,0.0,254.609,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,342.0919,-120.30000000000001,-70.7,5.742,0,1.0,-0.5,310.005,-3.9589000000000003,35.910000000000004,0.0,253.92600000000002,0.0,0
46920,-1.0230000000000001,83.545,0.0,0.0,-1.815,340.5537,-161.70000000000002,-75.0,5.742,0,0.0,-0.545,310.005,1.3196,35.46,0.0,253.18400000000003,0.0,0
46920,-0.512,83.545,0.0,0.0,-1.815,338.974,-161.70000000000002,-78.5,5.742,0,0.0,-0.47500000000000003,309.915,0.5938,35.25,0.0,252.42200000000003,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,337.3134,-161.70000000000002,-80.3,5.742,0,0.0,-0.505,310.14000000000004,3.563,35.22,0.0,251.621,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,335.6376,-163.6,-81.10000000000001,5.742,0,0.0,-0.525,309.915,-0.46190000000000003,34.44,0.0,250.82000000000002,0.0,0
46920,-0.682,83.545,0.0,0.0,-1.815,333.9175,-205.5,-80.60000000000001,5.742,0,0.0,-0.525,310.14000000000004,0.2639,34.05,0.0,250.0,0.0,0
46920,-0.682,83.545,0.0,0.0,-1.815,332.23720000000003,-163.6,-80.3,5.742,0,0.0,-0.525,310.005,-2.5403000000000002,33.78,0.0,249.199,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,330.5461,-167.70000000000002,-79.3,5.742,0,0.0,-0.53,310.005,0.6598,33.15,0.0,248.39800000000002,0.0,0
46920,-0.341,83.545,0.0,0.0,-1.815,328.8473,-165.70000000000002,-79.60000000000001,5.742,0,1.0,-0.56,310.005,-1.4846000000000001,33.09,0.0,247.598,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,328.68170000000003,-165.6,-79.3,5.742,0,1.0,-0.545,310.005,-0.8330000000000001,33.03,0.0,247.52,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,326.9809,-165.6,-79.60000000000001,5.742,0,0.0,-0.53,310.005,-0.7258,33.06,0.0,246.71900000000002,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,325.2726,-167.70000000000002,-79.8,5.742,0,0.0,-0.505,310.005,0.7918000000000001,33.660000000000004,0.0,245.918,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,323.5507,-210.70000000000002,-79.60000000000001,5.742,0,0.0,-0.55,310.14000000000004,5.3198,35.01,0.0,245.11700000000002,0.0,0
46920,-0.682,83.545,0.0,0.0,-1.815,321.8718,-167.70000000000002,-79.8,5.742,0,1.0,-0.52,310.005,2.1774,36.36,0.0,244.336,0.0,0
46920,-1.0230000000000001,83.545,0.0,0.0,-1.815,320.1487,-168.9,-80.10000000000001,5.742,0,2.0,-0.525,310.005,-1.3856000000000002,36.96,0.0,243.53500000000003,0.0,0
46920,-1.194,83.545,0.0,0.0,-1.815,318.4057,-171.9,-79.8,5.742,0,1.0,-0.51,309.915,-3.7857000000000003,36.54,0.0,242.734,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,316.6649,-169.70000000000002,-80.3,5.742,0,0.0,-0.54,309.915,-2.3589,35.25,0.0,241.934,0.0,0
46920,-0.512,83.545,0.0,0.0,-1.815,314.9218,-169.8,-79.8,5.742,0,0.0,-0.47500000000000003,310.005,-0.6351,35.07,0.0,241.133,0.0,0
46920,-0.512,83.545,0.0,0.0,-1.815,313.1623,-171.70000000000002,-79.8,5.742,0,1.0,-0.5,310.14000000000004,7.1508,35.160000000000004,0.0,240.33200000000002,0.0,0
46920,-0.512,83.545,0.0,0.0,-1.815,311.39820000000003,-171.70000000000002,-79.8,5.742,0,0.0,-0.51,310.005,3.8930000000000002,35.22,0.0,239.531,0.0,0
46920,-1.0230000000000001,83.545,0.0,0.0,-1.815,309.6341,-173.9,-80.10000000000001,5.742,0,0.0,-0.51,310.14000000000004,-1.4104,35.22,0.0,238.73000000000002,0.0,0
46920,-0.853,83.545,0.0,0.0,-1.815,307.86150000000004,-173.8,-80.10000000000001,5.742,0,-1.0,-0.505,310.14000000000004,-1.7815,34.08,0.0,237.93,0.0,0
46920,-0.512,83.545,0.0,0.0,-1.815,306.0767,-173.8,-80.10000000000001,5.742,0,0.0,-0.54,310.14000000000004,-2.73,33.6,0.0,237.12900000000002,0.0,0
46920,-1.0230000000000001,83.545,0.0,0.0,-1.815,304.2919,-173.8,-80.10000000000001,5.742,0,2.0,-0.525,310.14000000000004,-0.42060000000000003,33.6,0.0,236.328,0.0,0
46920,-0.682,83.545,0.0,0.0,-1.815,302.5022,-175.70000000000002,-79.8,5.742,0,2.0,-0.535,310.14000000000004,-1.7815,33.93,0.0,235.52700000000002,0.0,0
46920,-0.341,83.545,0.0,0.0,-1.815,300.6994,-175.70000000000002,-80.60000000000001,5.742,0,0.0,-0.535,309.915,-1.3196,35.49,0.0,234.727,0.0,0
