Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46903,-0.682,83.545,0.0,0.0,-2.178,350.0786,0.0,0.0,5.742,0,0.0,-0.665,310.14000000000004,-2.3754,33.99,0.0,257.832,0.0,0
46903,-0.682,83.545,0.0,0.0,-2.178,350.0786,0.0,0.2,5.742,0,-1.0,-0.535,310.005,4.5115,34.02,0.0,257.832,0.0,0
46903,-0.682,83.545,0.5,0.0,-2.178,350.0786,0.0,0.0,5.742,0,0.0,-0.63,310.005,1.3856000000000002,34.26,0.0,257.832,0.0,0
46903,-0.853,83.545,0.5,0.0,-2.178,350.0786,0.0,0.0,5.742,0,-1.0,-0.59,310.005,-4.5528,34.5,0.0,257.832,0.0,0
46903,-0.853,83.545,-0.5,0.0,-2.178,350.0786,0.0,-2.3000000000000003,5.742,0,0.0,-0.54,310.005,-2.1774,34.980000000000004,0.0,257.832,0.0,0
46903,-0.682,83.545,0.5,0.0,-2.178,349.9589,-40.6,-6.1000000000000005,5.742,0,-1.0,-0.58,310.005,-1.4516,34.95,0.0,257.773,0.0,0
46903,-0.341,83.545,-0.5,0.0,-2.178,349.80060000000003,-40.6,-9.9,5.742,0,-1.0,-0.625,310.14000000000004,0.6351,34.95,0.0,257.695,0.0,0
46903,-1.0230000000000001,83.545,0.5,0.0,-2.178,349.5246,-38.6,-16.7,5.742,0,0.0,-0.525,310.005,4.7507,33.81,0.0,257.559,0.0,0
46903,-1.0230000000000001,83.545,0.5,0.0,-2.178,349.12690000000003,-40.6,-22.6,5.742,0,0.0,-0.53,310.14000000000004,0.37120000000000003,32.19,0.0,257.363,0.0,0
46903,-0.853,83.545,0.0,0.0,-2.178,348.6114,-40.6,-29.700000000000003,5.742,0,0.0,-0.5700000000000001,310.14000000000004,-0.8165,31.650000000000002,0.0,257.10900000000004,0.0,0
46903,-0.512,83.545,0.0,0.0,-2.178,347.89910000000003,-79.2,-37.300000000000004,5.742,0,-1.0,-0.555,310.005,2.1774,31.92,0.0,256.75800000000004,0.0,0
46903,-0.853,83.545,0.5,0.0,-2.178,347.0602,-80.0,-45.0,5.742,0,0.0,-0.535,310.005,-3.761,32.61,0.0,256.348,0.0,0
46903,-0.853,83.545,0.0,0.0,-2.178,346.05780000000004,-120.9,-51.1,5.742,0,0.0,-0.5650000000000001,310.005,-2.5486,33.87,0.0,255.859,0.0,0
46903,-0.853,83.545,0.0,0.0,-2.178,345.9778,-80.0,-51.6,5.742,0,0.0,-0.5700000000000001,310.005,-2.2764,33.99,0.0,255.82000000000002,0.0,0
46903,-0.853,83.545,0.0,0.0,-2.178,344.8175,-120.9,-59.2,5.742,0,1.0,-0.545,310.005,1.5836000000000001,34.74,0.0,255.25400000000002,0.0,0
46903,-0.853,83.545,0.0,0.0,-2.178,343.5362,-121.0,-65.60000000000001,5.742,0,-1.0,-0.55,310.005,0.0,35.1,0.0,254.62900000000002,0.0,0
46903,-0.682,83.545,0.0,0.0,-2.178,342.1313,-122.30000000000001,-70.7,5.742,0,-3.0,-0.55,310.005,-1.5836000000000001,34.44,0.0,253.94500000000002,0.0,0
46903,-0.853,83.545,0.0,0.0,-2.178,340.5931,-161.70000000000002,-75.3,5.742,0,0.0,-0.515,310.005,2.3754,34.05,0.0,253.203,0.0,0
46903,-0.853,83.545,0.0,0.0,-2.178,338.974,-161.70000000000002,-78.10000000000001,5.742,0,0.0,-0.545,310.005,0.0,33.84,0.0,252.42200000000003,0.0,0
46903,-0.853,83.545,0.5,0.0,-2.178,337.35490000000004,-161.70000000000002,-80.3,5.742,0,-1.0,-0.555,309.915,-4.9487000000000005,33.87,0.0,251.64100000000002,0.0,0
46903,-0.512,83.545,0.5,0.0,-2.178,335.6795,-163.70000000000002,-80.9,5.742,0,0.0,-0.56,310.14000000000004,1.9795,34.08,0.0,250.84,0.0,0
46903,-0.682,83.545,0.5,0.0,-2.178,333.9594,-163.6,-80.60000000000001,5.742,0,0.0,-0.535,310.14000000000004,0.165,35.07,0.0,250.02,0.0,0
46903,-0.682,83.545,0.5,0.0,-2.178,332.2792,-163.6,-80.10000000000001,5.742,0,0.0,-0.525,310.005,3.8270000000000004,34.86,0.0,249.21900000000002,0.0,0
46903,-0.682,83.545,0.0,0.0,-2.178,330.5885,-165.70000000000002,-79.8,5.742,0,0.0,-0.555,310.005,0.3629,33.87,0.0,248.418,0.0,0
46903,-1.0230000000000001,83.545,0.0,0.0,-2.178,328.8877,-165.6,-79.3,5.742,0,-1.0,-0.54,310.005,-2.7713,32.07,0.0,247.61700000000002,0.0,0
46903,-1.0230000000000001,83.545,0.0,0.0,-2.178,327.18690000000004,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.535,310.005,2.3754,31.830000000000002,0.0,246.816,0.0,0
46903,-0.341,83.545,-0.5,0.0,-2.178,325.48330000000004,-208.5,-80.10000000000001,5.742,0,-1.0,-0.55,310.005,0.39590000000000003,32.04,0.0,246.01600000000002,0.0,0
46903,-0.682,83.545,0.0,0.0,-2.178,323.76140000000004,-210.70000000000002,-80.10000000000001,5.742,0,0.0,-0.535,310.005,2.3754,33.15,0.0,245.215,0.0,0
46903,-0.853,83.545,0.0,0.0,-2.178,322.08250000000004,-167.70000000000002,-79.8,5.742,0,0.0,-0.535,310.005,-1.9795,34.44,0.0,244.43400000000003,0.0,0
46903,-0.853,83.545,0.0,0.0,-2.178,320.36060000000003,-167.70000000000002,-79.8,5.742,0,0.0,-0.56,310.005,-5.0147,36.0,0.0,243.633,0.0,0
46903,-0.853,83.545,-0.5,0.0,-2.178,318.619,-169.70000000000002,-80.3,5.742,0,0.0,-0.545,310.005,0.2639,35.730000000000004,0.0,242.83200000000002,0.0,0
46903,-0.341,83.545,-0.5,0.0,-2.178,316.8759,-169.8,-80.3,5.742,0,0.0,-0.555,310.005,3.9589000000000003,34.89,0.0,242.031,0.0,0
