Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46915,-0.512,83.545,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,0.0,-0.6,310.005,0.7918000000000001,36.27,0.0,257.832,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,1.0,-0.435,310.005,2.1114,35.85,0.0,257.832,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,1.0,-0.49,310.005,0.099,35.61,0.0,257.832,0.0,0
46915,-0.682,83.545,0.0,0.0,-1.815,350.0786,0.0,-0.2,5.742,0,0.0,-0.46,310.14000000000004,2.3754,35.61,0.0,257.832,0.0,0
46915,-0.682,83.545,0.0,0.0,-1.815,350.0786,0.0,-1.0,5.742,0,1.0,-0.47500000000000003,310.005,0.7918000000000001,35.07,0.0,257.832,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,349.9995,-40.6,-4.3,5.742,0,2.0,-0.445,310.005,-2.7713,34.38,0.0,257.793,0.0,0
46915,-0.512,83.545,0.0,0.0,-1.815,349.8798,0.0,-8.3,5.742,0,1.0,-0.485,310.005,-3.0682,33.42,0.0,257.73400000000004,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,349.64230000000003,-40.6,-14.5,5.742,0,1.0,-0.455,310.005,1.9795,33.51,0.0,257.617,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,349.28520000000003,-40.6,-20.3,5.742,0,1.0,-0.465,310.005,3.9589000000000003,33.480000000000004,0.0,257.44100000000003,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,348.81030000000004,-40.6,-27.200000000000003,5.742,0,1.0,-0.485,310.005,-1.9795,34.29,0.0,257.207,0.0,0
46915,-1.0230000000000001,83.545,0.0,0.0,-1.815,348.7312,-79.10000000000001,-27.900000000000002,5.742,0,1.0,-0.495,310.005,-2.5733,34.32,0.0,257.168,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,348.096,-81.2,-35.6,5.742,0,0.0,-0.465,310.14000000000004,-2.2022,35.07,0.0,256.855,0.0,0
46915,-0.682,83.545,0.0,0.0,-1.815,347.30010000000004,-79.9,-42.2,5.742,0,0.0,-0.45,310.005,-0.19790000000000002,35.79,0.0,256.46500000000003,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,346.33860000000004,-80.0,-50.300000000000004,5.742,0,0.0,-0.47000000000000003,309.915,-0.1155,35.88,0.0,255.996,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,345.2172,-121.0,-56.7,5.742,0,1.0,-0.5,310.005,-1.1629,35.76,0.0,255.449,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,344.01590000000004,-121.0,-63.5,5.742,0,1.0,-0.42,309.915,-0.3794,35.7,0.0,254.863,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,342.6157,-159.9,-69.10000000000001,5.742,0,1.0,-0.45,310.14000000000004,3.5218000000000003,35.34,0.0,254.18,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,341.16110000000003,-120.2,-74.0,5.742,0,0.0,-0.455,310.005,2.2434000000000003,35.31,0.0,253.477,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,339.58140000000003,-161.70000000000002,-77.3,5.742,0,0.0,-0.44,310.005,3.2166,35.07,0.0,252.715,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,337.9209,-203.10000000000002,-79.60000000000001,5.742,0,1.0,-0.505,310.005,-3.9589000000000003,34.29,0.0,251.91400000000002,0.0,0
46915,-0.853,83.545,0.0,0.0,-1.815,336.2522,-163.6,-80.60000000000001,5.742,0,1.0,-0.505,310.005,-6.4663,33.15,0.0,251.113,0.0,0
46915,-0.682,83.545,0.0,0.0,-1.815,334.57410000000004,-163.6,-79.8,5.742,0,1.0,-0.5,310.005,-1.0310000000000001,32.97,0.0,250.31300000000002,0.0,0
46915,-0.682,83.545,0.0,0.0,-1.815,332.8938,-163.6,-79.8,5.742,0,1.0,-0.455,310.14000000000004,5.7157,33.36,0.0,249.512,0.0,0
