Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46565,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,1.0,-0.64,310.14000000000004,1.4516,33.660000000000004,0.0,257.832,0.0,0
46565,-1.364,67.62700000000001,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,1.0,-0.5,310.005,4.8002,34.59,0.0,257.832,0.0,0
46565,-1.364,67.62700000000001,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,2.0,-0.445,309.915,-5.3693,35.46,0.0,257.832,0.0,0
46565,-1.705,67.62700000000001,0.0,0.0,-1.573,350.0786,0.0,-0.2,5.742,0,2.0,-0.495,310.005,-2.0207,36.18,0.0,257.832,0.0,0
46565,-1.194,67.62700000000001,0.0,0.0,-1.573,350.0786,0.0,-0.2,5.742,0,1.0,-0.51,310.005,-2.0125,36.300000000000004,0.0,257.832,0.0,0
46565,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.573,350.0786,0.0,-1.7000000000000002,5.742,0,2.0,-0.435,309.915,0.9238000000000001,36.300000000000004,0.0,257.832,0.0,0
46565,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.573,349.9995,0.0,-5.5,5.742,0,1.0,-0.44,310.005,0.46190000000000003,35.37,0.0,257.793,0.0,0
46565,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.573,349.8412,0.0,-8.9,5.742,0,1.0,-0.43,310.005,0.7918000000000001,34.410000000000004,0.0,257.71500000000003,0.0,0
46565,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.573,349.5632,-40.6,-16.0,5.742,0,1.0,-0.49,310.005,-2.9692000000000003,34.38,0.0,257.57800000000003,0.0,0
46565,-1.705,67.62700000000001,-0.5,0.0,-1.573,349.206,-40.6,-21.3,5.742,0,-1.0,-0.47500000000000003,310.005,-1.9795,34.800000000000004,0.0,257.402,0.0,0
46565,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.573,348.6906,-40.6,-28.5,5.742,0,0.0,-0.47500000000000003,309.915,-0.9897,34.95,0.0,257.148,0.0,0
46565,-1.194,67.62700000000001,0.0,0.0,-1.573,348.0168,-79.2,-36.6,5.742,0,2.0,-0.48,310.14000000000004,1.9795,34.86,0.0,256.81600000000003,0.0,0
46565,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.573,347.1791,-80.0,-44.2,5.742,0,1.0,-0.465,309.915,4.2889,34.56,0.0,256.406,0.0,0
46565,-1.364,67.62700000000001,0.0,0.0,-1.573,346.2197,-80.0,-50.300000000000004,5.742,0,-1.0,-0.48,310.14000000000004,4.6188,33.45,0.0,255.93800000000002,0.0,0
46565,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.573,345.0983,-118.9,-57.900000000000006,5.742,0,2.0,-0.495,310.005,-2.8043,32.94,0.0,255.39100000000002,0.0,0
46565,-1.8760000000000001,67.62700000000001,0.0,0.0,-1.573,343.856,-121.0,-64.3,5.742,0,1.0,-0.49,310.14000000000004,4.0909,32.910000000000004,0.0,254.78500000000003,0.0,0
46565,-1.364,67.62700000000001,0.0,0.0,-1.573,342.4558,-159.9,-70.10000000000001,5.742,0,1.0,-0.465,310.005,0.8908,34.14,0.0,254.102,0.0,0
46565,-1.364,67.62700000000001,0.0,0.0,-1.573,340.9579,-161.70000000000002,-74.2,5.742,0,1.0,-0.48,310.14000000000004,-0.7918000000000001,35.22,0.0,253.37900000000002,0.0,0
46565,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.573,339.3782,-161.70000000000002,-77.8,5.742,0,3.0,-0.46,310.14000000000004,3.9589000000000003,35.730000000000004,0.0,252.61700000000002,0.0,0
46565,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.573,337.71770000000004,-203.20000000000002,-80.10000000000001,5.742,0,0.0,-0.485,310.005,-1.0557,35.910000000000004,0.0,251.816,0.0,0
46565,-1.364,67.62700000000001,0.0,0.0,-1.573,336.0487,-163.70000000000002,-80.10000000000001,5.742,0,1.0,-0.455,310.14000000000004,-3.4311000000000003,36.18,0.0,251.01600000000002,0.0,0
46565,-1.364,67.62700000000001,0.0,0.0,-1.573,334.36850000000004,-163.6,-80.3,5.742,0,1.0,-0.465,310.14000000000004,2.9032,35.22,0.0,250.215,0.0,0
46565,-1.364,67.62700000000001,0.0,0.0,-1.573,332.6882,-163.6,-80.10000000000001,5.742,0,0.0,-0.465,310.005,0.7918000000000001,34.08,0.0,249.41400000000002,0.0,0
