Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47038,0.171,75.586,0.5,0.0,-1.331,350.0786,0.0,0.0,5.742,0,1.0,-0.5700000000000001,309.915,3.4971,38.550000000000004,0.0,257.832,0.0,0
47038,0.512,75.586,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,2.0,-0.5700000000000001,310.005,-0.132,37.71,0.0,257.832,0.0,0
47038,0.0,75.586,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,1.0,-0.535,310.005,-0.5279,37.59,0.0,257.832,0.0,0
47038,0.341,75.586,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,3.0,-0.485,310.005,0.7918000000000001,36.63,0.0,257.832,0.0,0
47038,0.0,75.586,0.5,0.0,-1.331,350.0786,0.0,-0.5,5.742,0,1.0,-0.53,309.915,0.5938,36.72,0.0,257.832,0.0,0
47038,0.512,75.586,0.0,0.0,-1.331,350.0401,0.0,-3.8000000000000003,5.742,0,0.0,-0.52,310.005,0.5279,37.5,0.0,257.813,0.0,0
47038,0.341,75.586,0.0,0.0,-1.331,349.9203,0.0,-7.1000000000000005,5.742,0,0.0,-0.555,310.005,0.5279,38.82,0.0,257.754,0.0,0
47038,0.341,75.586,-0.5,0.0,-1.331,349.7215,-40.6,-12.200000000000001,5.742,0,1.0,-0.5,310.005,1.8475000000000001,39.33,0.0,257.656,0.0,0
47038,0.0,75.586,0.5,0.0,-1.331,349.4049,-40.6,-19.3,5.742,0,1.0,-0.455,310.005,1.5836000000000001,39.24,0.0,257.5,0.0,0
47038,0.0,75.586,0.0,0.0,-1.331,348.93,-79.2,-25.1,5.742,0,1.0,-0.5,310.005,-0.39590000000000003,39.39,0.0,257.266,0.0,0
47038,0.171,75.586,0.0,0.0,-1.331,348.3355,-79.10000000000001,-32.800000000000004,5.742,0,0.0,-0.6,310.14000000000004,-0.8908,39.33,0.0,256.973,0.0,0
47038,0.341,75.586,-1.0,0.0,-1.331,347.58090000000004,-118.9,-39.7,5.742,0,1.0,-0.54,309.915,-0.6598,39.09,0.0,256.60200000000003,0.0,0
47038,0.341,75.586,0.5,0.0,-1.331,346.6994,-80.0,-48.0,5.742,0,0.0,-0.5750000000000001,310.14000000000004,0.165,38.31,0.0,256.172,0.0,0
47038,0.341,75.586,0.0,0.0,-1.331,345.658,-79.9,-54.1,5.742,0,2.0,-0.535,309.915,-1.3196,37.65,0.0,255.66400000000002,0.0,0
47038,0.171,75.586,0.5,0.0,-1.331,344.4567,-120.9,-61.0,5.742,0,0.0,-0.505,310.005,-1.6496000000000002,37.29,0.0,255.078,0.0,0
