Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47045,-0.171,75.586,0.0,0.0,-0.181,350.0786,0.0,0.0,5.742,0,0.0,-0.68,310.14000000000004,6.1116,39.12,0.0,257.832,0.0,0
47045,0.853,75.586,0.0,0.0,-0.181,350.0786,0.0,0.0,5.742,0,1.0,-0.5650000000000001,310.005,5.0147,39.45,0.0,257.832,0.0,0
47045,0.512,75.586,0.0,0.0,-0.181,350.0786,0.0,0.0,5.742,0,1.0,-0.46,310.005,-3.728,39.18,0.0,257.832,0.0,0
47045,0.512,75.586,0.0,0.0,-0.181,350.0786,0.0,-0.2,5.742,0,0.0,-0.525,309.915,-2.2681,38.82,0.0,257.832,0.0,0
47045,0.171,75.586,0.0,0.0,-0.181,350.0786,0.0,-0.7000000000000001,5.742,0,0.0,-0.535,310.005,-3.3404000000000003,38.7,0.0,257.832,0.0,0
47045,0.512,75.586,0.0,0.0,-0.181,349.9995,-40.6,-4.5,5.742,0,0.0,-0.52,310.005,0.6598,38.46,0.0,257.793,0.0,0
47045,0.341,75.586,0.0,0.0,-0.181,349.8798,-40.5,-7.6000000000000005,5.742,0,1.0,-0.485,310.005,2.0455,38.88,0.0,257.73400000000004,0.0,0
47045,0.512,75.586,0.0,0.0,-0.181,349.6829,-38.6,-13.5,5.742,0,1.0,-0.49,310.005,-4.4208,37.77,0.0,257.637,0.0,0
47045,0.341,75.586,0.0,0.0,-0.181,349.3258,-38.5,-19.5,5.742,0,1.0,-0.49,310.005,0.1567,36.93,0.0,257.461,0.0,0
47045,0.341,75.586,0.0,0.0,-0.181,348.8509,-38.6,-26.700000000000003,5.742,0,1.0,-0.53,309.915,1.864,36.9,0.0,257.22700000000003,0.0,0
47045,0.0,75.586,0.0,0.0,-0.181,348.2563,-38.6,-34.1,5.742,0,1.0,-0.51,310.005,-0.41240000000000004,37.800000000000004,0.0,256.934,0.0,0
47045,0.512,75.586,0.0,0.0,-0.181,347.46000000000004,-79.9,-41.1,5.742,0,1.0,-0.52,310.14000000000004,1.1629,39.57,0.0,256.543,0.0,0
47045,0.682,75.586,0.0,0.0,-0.181,346.53950000000003,-80.0,-48.5,5.742,0,0.0,-0.445,309.915,0.2144,40.29,0.0,256.094,0.0,0
47045,0.512,75.586,0.0,0.0,-0.181,345.4571,-120.9,-55.400000000000006,5.742,0,0.0,-0.525,310.005,0.0,39.87,0.0,255.566,0.0,0
47045,0.341,75.586,0.0,0.0,-0.181,344.2558,-120.9,-61.7,5.742,0,0.0,-0.505,309.915,0.7423000000000001,38.910000000000004,0.0,254.98000000000002,0.0,0
47045,0.512,75.586,0.0,0.0,-0.181,342.8945,-162.0,-67.60000000000001,5.742,0,1.0,-0.505,309.915,-0.6598,39.0,0.0,254.316,0.0,0
47045,0.682,75.586,0.0,0.0,-0.181,341.44300000000004,-161.70000000000002,-72.9,5.742,0,1.0,-0.495,309.915,-4.1157,39.24,0.0,253.613,0.0,0
47045,0.0,75.586,0.0,0.0,-0.181,339.9048,-161.70000000000002,-76.8,5.742,0,1.0,-0.51,310.14000000000004,3.4558,38.64,0.0,252.871,0.0,0
47045,0.512,75.586,0.0,0.0,-0.181,338.2443,-203.10000000000002,-79.60000000000001,5.742,0,1.0,-0.49,310.005,1.7155,39.33,0.0,252.07000000000002,0.0,0
