Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46901,-0.341,83.545,0.0,0.0,-2.359,350.0786,0.0,0.0,5.742,0,-1.0,-0.685,310.005,2.5733,32.07,0.0,257.832,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,350.0786,0.0,0.0,5.742,0,0.0,-0.5650000000000001,310.005,0.5938,32.07,0.0,257.832,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,350.0786,0.0,0.0,5.742,0,0.0,-0.555,310.005,1.1877,33.0,0.0,257.832,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,350.0786,0.0,0.0,5.742,0,0.0,-0.56,310.14000000000004,4.1569,34.95,0.0,257.832,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,350.0786,0.0,-0.2,5.742,0,0.0,-0.6,310.005,2.3754,35.25,0.0,257.832,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,350.0786,0.0,-0.5,5.742,0,0.0,-0.61,310.005,1.5836000000000001,35.19,0.0,257.832,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,350.0401,0.0,-3.3000000000000003,5.742,0,0.0,-0.595,310.005,-2.7713,35.01,0.0,257.813,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,349.9203,-38.6,-6.800000000000001,5.742,0,1.0,-0.55,310.14000000000004,0.7918000000000001,34.38,0.0,257.754,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,349.7215,-40.6,-12.4,5.742,0,1.0,-0.55,310.005,1.5836000000000001,33.6,0.0,257.656,0.0,0
46901,-0.853,83.545,0.0,0.0,-2.359,349.4049,-40.6,-18.3,5.742,0,0.0,-0.53,309.915,0.5938,34.29,0.0,257.5,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,348.96860000000004,-79.10000000000001,-24.400000000000002,5.742,0,-1.0,-0.545,310.14000000000004,1.1877,34.2,0.0,257.285,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,348.4146,-38.6,-31.700000000000003,5.742,0,0.0,-0.585,310.14000000000004,-2.7383,33.99,0.0,257.012,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,347.6609,-79.9,-39.4,5.742,0,0.0,-0.54,310.14000000000004,2.3754,34.14,0.0,256.641,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,346.7794,-79.9,-47.300000000000004,5.742,0,0.0,-0.555,310.005,-0.4289,33.21,0.0,256.211,0.0,0
46901,-0.853,83.545,0.0,0.0,-2.359,345.7379,-121.0,-53.900000000000006,5.742,0,0.0,-0.6,310.005,-3.9589000000000003,32.64,0.0,255.703,0.0,0
46901,-0.171,83.545,0.0,0.0,-2.359,345.619,-118.9,-54.1,5.742,0,1.0,-0.5750000000000001,310.005,-3.5383,32.7,0.0,255.645,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,344.4177,-159.9,-61.0,5.742,0,0.0,-0.5750000000000001,310.005,-0.767,33.12,0.0,255.05900000000003,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,343.09540000000004,-160.0,-67.3,5.742,0,2.0,-0.5750000000000001,310.005,2.5733,33.42,0.0,254.41400000000002,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,341.6856,-122.30000000000001,-72.2,5.742,0,0.0,-0.56,310.005,0.5938,34.35,0.0,253.73000000000002,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,340.108,-161.70000000000002,-76.3,5.742,0,0.0,-0.5750000000000001,310.005,1.1877,35.22,0.0,252.96900000000002,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,338.4889,-161.70000000000002,-78.8,5.742,0,0.0,-0.5650000000000001,310.005,-0.17320000000000002,36.27,0.0,252.18800000000002,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,336.827,-202.4,-80.9,5.742,0,2.0,-0.55,309.915,-1.8310000000000002,34.980000000000004,0.0,251.387,0.0,0
46901,-0.171,83.545,0.0,0.0,-2.359,335.1467,-163.70000000000002,-80.3,5.742,0,0.0,-0.55,310.14000000000004,2.0455,33.87,0.0,250.586,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,333.4665,-163.6,-80.3,5.742,0,1.0,-0.55,310.14000000000004,-0.0907,33.45,0.0,249.78500000000003,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,331.7862,-165.70000000000002,-79.8,5.742,0,-1.0,-0.555,310.14000000000004,3.1259,33.93,0.0,248.984,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,330.0917,-165.6,-80.10000000000001,5.742,0,-1.0,-0.555,310.005,4.0497000000000005,34.68,0.0,248.18400000000003,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,328.3908,-165.6,-80.3,5.742,0,0.0,-0.5750000000000001,310.005,-3.1672000000000002,34.77,0.0,247.383,0.0,0
46901,-0.853,83.545,0.0,0.0,-2.359,326.69,-165.6,-80.10000000000001,5.742,0,1.0,-0.5700000000000001,310.005,-3.9342,34.17,0.0,246.58200000000002,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,324.97810000000004,-167.70000000000002,-79.8,5.742,0,-1.0,-0.56,310.14000000000004,-0.2639,33.81,0.0,245.781,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,323.25620000000004,-169.8,-80.10000000000001,5.742,0,2.0,-0.5650000000000001,310.005,1.2537,32.85,0.0,244.98000000000002,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,321.5365,-167.70000000000002,-79.60000000000001,5.742,0,0.0,-0.5700000000000001,310.005,0.7918000000000001,32.76,0.0,244.18,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,319.8093,-169.70000000000002,-80.10000000000001,5.742,0,0.0,-0.5650000000000001,310.14000000000004,-0.9897,33.57,0.0,243.37900000000002,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,318.0663,-169.70000000000002,-79.60000000000001,5.742,0,0.0,-0.5750000000000001,309.915,-1.0145,34.92,0.0,242.578,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,316.32320000000004,-169.8,-80.10000000000001,5.742,0,0.0,-0.58,310.14000000000004,-0.8825000000000001,36.18,0.0,241.77700000000002,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,314.5824,-169.70000000000002,-79.8,5.742,0,0.0,-0.535,310.005,-0.7258,36.72,0.0,240.977,0.0,0
46901,-0.171,83.545,0.0,0.0,-2.359,312.81870000000004,-171.8,-80.10000000000001,5.742,0,1.0,-0.585,310.005,3.0187,35.58,0.0,240.17600000000002,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,311.0546,-171.8,-80.10000000000001,5.742,0,0.0,-0.5750000000000001,310.005,0.0,34.59,0.0,239.375,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,310.88280000000003,-171.8,-80.10000000000001,5.742,0,0.0,-0.55,310.005,-0.7918000000000001,34.5,0.0,239.29700000000003,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,309.1187,-171.8,-80.10000000000001,5.742,0,0.0,-0.615,310.14000000000004,1.4846000000000001,34.230000000000004,0.0,238.496,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,307.3379,-173.8,-80.10000000000001,5.742,0,1.0,-0.5650000000000001,310.005,-0.7918000000000001,34.47,0.0,237.69500000000002,0.0,0
46901,-0.853,83.545,0.0,0.0,-2.359,305.5553,-173.8,-80.60000000000001,5.742,0,2.0,-0.54,310.14000000000004,-3.2661000000000002,34.65,0.0,236.895,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,303.7705,-173.8,-80.3,5.742,0,3.0,-0.5750000000000001,310.005,-1.5836000000000001,34.77,0.0,236.09400000000002,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,301.9748,-175.8,-80.10000000000001,5.742,0,0.0,-0.53,310.005,-1.8475000000000001,34.2,0.0,235.293,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,300.1698,-175.8,-79.60000000000001,5.742,0,0.0,-0.535,310.005,-2.5073000000000003,33.81,0.0,234.49200000000002,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,298.3648,-178.0,-80.10000000000001,5.742,0,0.0,-0.54,310.005,1.5836000000000001,32.910000000000004,0.0,233.691,0.0,0
46901,-0.853,83.545,0.0,0.0,-2.359,296.55690000000004,-177.6,-79.8,5.742,0,0.0,-0.545,310.005,0.0,32.88,0.0,232.89100000000002,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,294.73240000000004,-177.6,-80.10000000000001,5.742,0,0.0,-0.5650000000000001,309.915,1.3856000000000002,33.54,0.0,232.09,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,292.90790000000004,-223.20000000000002,-79.8,5.742,0,1.0,-0.585,310.005,1.5836000000000001,35.52,0.0,231.28900000000002,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,291.08340000000004,-223.20000000000002,-80.3,5.742,0,2.0,-0.5650000000000001,310.005,-1.0557,35.910000000000004,0.0,230.488,0.0,0
46901,-0.853,83.545,0.0,0.0,-2.359,289.2427,-223.20000000000002,-80.10000000000001,5.742,0,0.0,-0.5700000000000001,310.005,1.8475000000000001,36.42,0.0,229.68800000000002,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,287.4433,-179.5,-80.10000000000001,5.742,0,0.0,-0.5,310.005,3.9589000000000003,35.550000000000004,0.0,228.906,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,285.6003,-181.70000000000002,-80.10000000000001,5.742,0,0.0,-0.5650000000000001,309.915,-1.8475000000000001,34.62,0.0,228.10500000000002,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,283.7472,-181.20000000000002,-80.3,5.742,0,2.0,-0.54,310.005,-4.486800000000001,34.05,0.0,227.305,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,281.8865,-181.20000000000002,-80.3,5.742,0,0.0,-0.58,310.005,-1.1877,33.660000000000004,0.0,226.50400000000002,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,280.02570000000003,-181.20000000000002,-80.10000000000001,5.742,0,-1.0,-0.54,310.14000000000004,4.8497,33.15,0.0,225.703,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,278.158,-182.8,-80.10000000000001,5.742,0,1.0,-0.54,310.005,0.2639,34.11,0.0,224.90200000000002,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,277.9307,-227.3,-80.10000000000001,5.742,0,0.0,-0.54,310.14000000000004,0.767,34.08,0.0,224.805,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,276.0534,-229.70000000000002,-80.10000000000001,5.742,0,0.0,-0.5700000000000001,310.14000000000004,0.899,33.96,0.0,224.00400000000002,0.0,0
46901,-0.512,83.545,0.0,0.0,-2.359,274.223,-182.8,-80.10000000000001,5.742,0,1.0,-0.56,310.14000000000004,0.46190000000000003,34.11,0.0,223.223,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,272.3419,-184.3,-80.60000000000001,5.742,0,-1.0,-0.6,310.005,0.0,34.29,0.0,222.422,0.0,0
46901,-0.171,83.545,0.0,0.0,-2.359,270.4494,-184.3,-80.3,5.742,0,0.0,-0.5700000000000001,310.005,-0.767,34.44,0.0,221.621,0.0,0
46901,-0.171,83.545,0.0,0.0,-2.359,268.5569,-184.20000000000002,-79.8,5.742,0,0.0,-0.55,310.14000000000004,-2.4001,35.550000000000004,0.0,220.82000000000002,0.0,0
46901,-0.682,83.545,0.0,0.0,-2.359,266.6667,-184.3,-80.10000000000001,5.742,0,2.0,-0.545,310.005,-1.1877,35.94,0.0,220.02,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,264.76050000000004,-185.70000000000002,-79.8,5.742,0,0.0,-0.62,310.005,-2.4413,36.27,0.0,219.21900000000002,0.0,0
46901,-0.341,83.545,0.0,0.0,-2.359,262.854,-185.70000000000002,-79.60000000000001,5.742,0,0.0,-0.56,310.14000000000004,-1.5176,35.64,0.0,218.418,0.0,0
