Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46578,-0.853,67.62700000000001,0.0,0.0,-2.238,350.0786,0.0,0.0,5.742,0,0.0,-0.64,310.14000000000004,6.0044,34.62,0.0,257.832,0.0,0
46578,-1.194,67.62700000000001,-0.5,0.0,-2.238,350.0786,0.0,0.0,5.742,0,0.0,-0.505,310.005,2.6228000000000002,33.93,0.0,257.832,0.0,0
46578,-1.5350000000000001,67.62700000000001,-0.5,0.0,-2.238,350.0786,0.0,0.0,5.742,0,0.0,-0.5700000000000001,310.005,-0.6351,33.660000000000004,0.0,257.832,0.0,0
46578,-1.5350000000000001,67.62700000000001,0.0,0.0,-2.238,350.0786,0.0,0.0,5.742,0,-1.0,-0.545,310.14000000000004,3.2331000000000003,34.2,0.0,257.832,0.0,0
46578,-1.364,67.62700000000001,0.0,0.0,-2.238,350.0786,0.0,-1.0,5.742,0,0.0,-0.49,310.005,-0.767,34.14,0.0,257.832,0.0,0
46578,-1.364,67.62700000000001,-0.5,0.0,-2.238,349.9995,-40.6,-4.3,5.742,0,0.0,-0.515,309.915,-5.8559,33.45,0.0,257.793,0.0,0
46578,-1.0230000000000001,67.62700000000001,0.0,0.0,-2.238,349.8798,0.0,-8.1,5.742,0,0.0,-0.535,310.14000000000004,-1.9795,33.99,0.0,257.73400000000004,0.0,0
46578,-1.0230000000000001,67.62700000000001,0.0,0.0,-2.238,349.8798,0.0,-8.9,5.742,0,0.0,-0.505,310.14000000000004,-0.5279,34.11,0.0,257.73400000000004,0.0,0
46578,-1.364,67.62700000000001,0.0,0.0,-2.238,349.64230000000003,0.0,-14.700000000000001,5.742,0,0.0,-0.515,310.005,2.9032,34.59,0.0,257.617,0.0,0
46578,-1.5350000000000001,67.62700000000001,0.0,0.0,-2.238,349.2466,-38.6,-20.8,5.742,0,0.0,-0.52,310.14000000000004,5.4106000000000005,35.85,0.0,257.422,0.0,0
46578,-1.364,67.62700000000001,0.5,0.0,-2.238,348.77180000000004,-38.5,-27.700000000000003,5.742,0,1.0,-0.49,310.005,0.8908,36.300000000000004,0.0,257.188,0.0,0
