Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,350.0786,0.0,0.0,5.742,0,0.0,-0.665,310.005,-2.1114,35.58,0.0,257.832,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,350.0786,0.0,0.0,5.742,0,0.0,-0.535,310.005,0.5279,35.25,0.0,257.832,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,350.0786,0.0,0.0,5.742,0,0.0,-0.49,310.005,-1.4846000000000001,35.94,0.0,257.832,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,350.0786,0.0,-0.2,5.742,0,0.0,-0.49,310.23,2.9032,35.67,0.0,257.832,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,350.0786,0.0,-1.5,5.742,0,0.0,-0.47000000000000003,310.005,1.3196,35.01,0.0,257.832,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,349.9995,0.0,-4.8,5.742,0,0.0,-0.465,310.005,-2.2434000000000003,34.35,0.0,257.793,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,349.8798,0.0,-8.9,5.742,0,0.0,-0.47500000000000003,310.005,-1.4186,33.84,0.0,257.73400000000004,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,349.60380000000004,-38.5,-15.0,5.742,0,0.0,-0.47000000000000003,310.005,0.0,34.68,0.0,257.598,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,349.2466,-38.6,-21.3,5.742,0,0.0,-0.47500000000000003,310.005,0.0,35.31,0.0,257.422,0.0,0
46667,0.0,67.62700000000001,0.0,0.0,-1.089,348.7312,-79.10000000000001,-27.700000000000003,5.742,0,0.0,-0.45,310.005,1.9795,36.21,0.0,257.168,0.0,0
46667,-0.853,67.62700000000001,0.0,0.0,-1.089,348.6906,-40.6,-28.700000000000003,5.742,0,0.0,-0.46,310.005,1.7815,36.21,0.0,257.148,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,348.0168,-79.2,-36.300000000000004,5.742,0,0.0,-0.47500000000000003,310.14000000000004,4.1321,36.06,0.0,256.81600000000003,0.0,0
46667,0.0,67.62700000000001,0.0,0.0,-1.089,347.2201,-80.0,-43.2,5.742,0,0.0,-0.47500000000000003,310.005,1.5836000000000001,35.61,0.0,256.426,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,346.2197,-118.9,-50.300000000000004,5.742,0,0.0,-0.485,310.005,-3.629,34.77,0.0,255.93800000000002,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,345.0983,-118.9,-57.5,5.742,0,0.0,-0.495,310.14000000000004,1.4516,34.92,0.0,255.39100000000002,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,343.856,-121.0,-64.3,5.742,0,0.0,-0.465,310.005,2.2022,35.4,0.0,254.78500000000003,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,342.4948,-120.9,-69.9,5.742,0,0.0,-0.485,310.005,-4.1569,36.51,0.0,254.121,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,340.9973,-163.8,-74.2,5.742,0,0.0,-0.495,310.005,-3.3404000000000003,36.0,0.0,253.39800000000002,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,339.41970000000003,-161.70000000000002,-77.5,5.742,0,0.0,-0.495,310.005,2.5733,35.28,0.0,252.637,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,337.7591,-161.8,-79.3,5.742,0,0.0,-0.455,310.14000000000004,2.7465,34.2,0.0,251.836,0.0,0
46667,0.0,67.62700000000001,0.0,0.0,-1.089,336.08860000000004,-163.6,-80.10000000000001,5.742,0,0.0,-0.505,310.14000000000004,2.9445,33.45,0.0,251.03500000000003,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,334.4083,-165.8,-80.3,5.742,0,0.0,-0.48,310.005,0.2227,33.9,0.0,250.234,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,332.7302,-163.6,-80.10000000000001,5.742,0,0.0,-0.46,310.005,-4.1321,35.58,0.0,249.43400000000003,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,331.0451,-165.6,-80.3,5.742,0,1.0,-0.49,310.005,-3.3404000000000003,36.81,0.0,248.633,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,329.3442,-165.6,-80.3,5.742,0,0.0,-0.455,310.005,0.0,37.02,0.0,247.83200000000002,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,327.64340000000004,-165.6,-79.8,5.742,0,0.0,-0.465,310.005,2.1774,36.12,0.0,247.031,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,325.9425,-167.8,-79.8,5.742,0,0.0,-0.47000000000000003,310.005,1.9795,35.37,0.0,246.23000000000002,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,324.22360000000003,-167.6,-79.8,5.742,0,0.0,-0.47500000000000003,310.005,-1.9795,34.800000000000004,0.0,245.43,0.0,0
46667,0.0,67.62700000000001,0.0,0.0,-1.089,322.5017,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.495,310.005,0.9238000000000001,34.56,0.0,244.62900000000002,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,320.7798,-167.70000000000002,-79.8,5.742,0,-1.0,-0.485,310.005,1.1217000000000001,35.79,0.0,243.828,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,319.0433,-169.70000000000002,-79.8,5.742,0,0.0,-0.48,310.005,-2.5733,35.94,0.0,243.02700000000002,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,317.3025,-169.70000000000002,-79.3,5.742,0,0.0,-0.465,309.915,-0.932,35.49,0.0,242.227,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,315.55940000000004,-169.8,-79.8,5.742,0,0.0,-0.49,310.14000000000004,1.2289,34.44,0.0,241.42600000000002,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,313.8075,-171.8,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.005,2.9527,33.93,0.0,240.625,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,312.0434,-171.8,-79.60000000000001,5.742,0,0.0,-0.47500000000000003,310.14000000000004,1.8063,33.72,0.0,239.824,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,310.2794,-173.9,-79.3,5.742,0,0.0,-0.485,310.14000000000004,-0.8165,34.35,0.0,239.02300000000002,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,308.5144,-173.8,-79.60000000000001,5.742,0,0.0,-0.505,310.005,-1.3196,34.89,0.0,238.223,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,306.7296,-173.8,-80.3,5.742,0,-1.0,-0.505,310.005,-3.9589000000000003,35.85,0.0,237.42200000000003,0.0,0
46667,0.0,67.62700000000001,0.0,0.0,-1.089,306.55580000000003,-173.8,-80.10000000000001,5.742,0,0.0,-0.505,310.005,-4.2229,35.82,0.0,237.34400000000002,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,304.77090000000004,-173.9,-79.8,5.742,0,0.0,-0.47000000000000003,309.915,0.9567,35.730000000000004,0.0,236.543,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,302.9861,-173.8,-79.60000000000001,5.742,0,0.0,-0.5,310.14000000000004,4.3548,36.0,0.0,235.74200000000002,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,301.1816,-178.0,-79.60000000000001,5.742,0,0.0,-0.485,310.005,1.3196,35.88,0.0,234.941,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,299.3788,-175.8,-79.60000000000001,5.742,0,0.0,-0.49,310.005,0.2639,34.83,0.0,234.14100000000002,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,297.5738,-175.8,-80.10000000000001,5.742,0,0.0,-0.485,310.14000000000004,-2.3754,34.5,0.0,233.34,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,295.7551,-177.70000000000002,-79.60000000000001,5.742,0,0.0,-0.48,310.005,-0.7918000000000001,33.99,0.0,232.53900000000002,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,293.9306,-177.70000000000002,-79.8,5.742,0,0.0,-0.47500000000000003,309.915,-1.7815,34.35,0.0,231.738,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,292.1084,-177.6,-79.10000000000001,5.742,0,0.0,-0.47500000000000003,310.005,-3.563,34.2,0.0,230.93800000000002,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,290.27590000000004,-179.4,-80.10000000000001,5.742,0,0.0,-0.505,310.005,2.9032,34.230000000000004,0.0,230.137,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,288.4328,-179.5,-79.8,5.742,0,0.0,-0.485,310.005,0.9238000000000001,33.54,0.0,229.336,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,286.5897,-179.5,-80.10000000000001,5.742,0,0.0,-0.485,310.14000000000004,-0.099,33.78,0.0,228.53500000000003,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,284.7438,-183.5,-79.60000000000001,5.742,0,0.0,-0.495,310.005,4.486800000000001,34.95,0.0,227.734,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,282.8854,-181.20000000000002,-79.60000000000001,5.742,0,0.0,-0.47500000000000003,310.005,1.5836000000000001,35.7,0.0,226.934,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,281.0246,-225.4,-80.10000000000001,5.742,0,0.0,-0.465,310.14000000000004,-2.9032,36.300000000000004,0.0,226.133,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,279.1639,-227.70000000000002,-79.60000000000001,5.742,0,0.0,-0.505,309.915,2.1774,36.15,0.0,225.33200000000002,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,277.2885,-229.70000000000002,-79.8,5.742,0,0.0,-0.47500000000000003,310.005,1.3196,36.45,0.0,224.531,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,275.4112,-229.70000000000002,-79.8,5.742,0,0.0,-0.47500000000000003,310.14000000000004,-1.0557,35.04,0.0,223.73000000000002,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,273.5808,-182.8,-79.8,5.742,0,0.0,-0.47000000000000003,310.005,1.4516,34.71,0.0,222.949,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,271.6945,-186.70000000000002,-79.8,5.742,0,0.0,-0.45,310.005,-2.3754,33.84,0.0,222.14800000000002,0.0,0
46667,-0.682,67.62700000000001,0.0,0.0,-1.089,269.8044,-184.3,-80.10000000000001,5.742,0,0.0,-0.49,310.005,-1.4516,33.84,0.0,221.348,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,267.9118,-184.3,-79.8,5.742,0,0.0,-0.47000000000000003,310.14000000000004,1.2207000000000001,33.33,0.0,220.547,0.0,0
46667,0.0,67.62700000000001,0.0,0.0,-1.089,266.01480000000004,-185.70000000000002,-79.8,5.742,0,0.0,-0.48,310.14000000000004,3.0352,33.63,0.0,219.746,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,264.1083,-185.70000000000002,-79.8,5.742,0,0.0,-0.48,310.14000000000004,0.9567,33.75,0.0,218.94500000000002,0.0,0
46667,0.0,67.62700000000001,0.0,0.0,-1.089,262.2042,-185.70000000000002,-80.10000000000001,5.742,0,0.0,-0.48,310.14000000000004,-2.9032,34.38,0.0,218.145,0.0,0
46667,0.171,67.62700000000001,0.0,0.0,-1.089,260.2971,-186.3,-79.60000000000001,5.742,0,0.0,-0.47000000000000003,310.005,-0.6928000000000001,35.04,0.0,217.34400000000002,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,258.378,-186.9,-80.10000000000001,5.742,0,0.0,-0.49,309.915,-4.0909,35.52,0.0,216.543,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,256.4589,-186.9,-80.10000000000001,5.742,0,0.0,-0.47500000000000003,310.005,-3.596,35.97,0.0,215.74200000000002,0.0,0
46667,0.0,67.62700000000001,0.0,0.0,-1.089,254.5398,-189.3,-79.8,5.742,0,0.0,-0.495,310.14000000000004,2.9032,36.0,0.0,214.941,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,252.61460000000002,-187.9,-80.10000000000001,5.742,0,0.0,-0.485,310.005,2.8372,35.550000000000004,0.0,214.14100000000002,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,250.6844,-188.0,-80.3,5.742,0,0.0,-0.49,310.14000000000004,1.9795,34.86,0.0,213.34,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,250.49640000000002,-188.0,-80.3,5.742,0,0.0,-0.48,310.005,1.3856000000000002,34.92,0.0,213.262,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,248.5663,-187.9,-80.10000000000001,5.742,0,0.0,-0.5,310.005,-1.9547,34.68,0.0,212.461,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,246.6304,-188.9,-80.10000000000001,5.742,0,0.0,-0.47500000000000003,310.14000000000004,-1.8063,34.62,0.0,211.66,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,244.69070000000002,-191.3,-79.8,5.742,0,0.0,-0.5,310.005,0.7505000000000001,33.63,0.0,210.859,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,242.7534,-188.9,-80.3,5.742,0,0.0,-0.47500000000000003,309.915,0.34640000000000004,33.09,0.0,210.059,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,240.8111,-189.60000000000002,-80.3,5.742,0,0.0,-0.47000000000000003,310.005,-1.3196,33.3,0.0,209.258,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,238.8634,-189.70000000000002,-80.10000000000001,5.742,0,0.0,-0.485,310.005,2.3754,33.69,0.0,208.45700000000002,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,236.91580000000002,-189.60000000000002,-80.3,5.742,0,0.0,-0.455,310.005,-0.2639,34.2,0.0,207.656,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,234.9678,-192.4,-79.8,5.742,0,0.0,-0.46,310.005,-2.1774,34.53,0.0,206.85500000000002,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,233.0163,-190.3,-80.60000000000001,5.742,0,0.0,-0.49,310.005,-1.4516,34.89,0.0,206.055,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,231.06240000000003,-190.3,-80.10000000000001,5.742,0,0.0,-0.495,310.005,-1.3196,34.86,0.0,205.25400000000002,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,229.10850000000002,-190.3,-79.8,5.742,0,0.0,-0.485,310.005,-0.132,34.71,0.0,204.453,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,227.1511,-190.70000000000002,-79.60000000000001,5.742,0,0.0,-0.425,309.915,0.8083,34.68,0.0,203.65200000000002,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,225.19510000000002,-190.70000000000002,-80.10000000000001,5.742,0,0.0,-0.47500000000000003,310.005,0.2639,34.59,0.0,202.852,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,223.2367,-190.70000000000002,-79.8,5.742,0,0.0,-0.45,310.005,0.39590000000000003,34.29,0.0,202.05100000000002,0.0,0
46667,0.0,67.62700000000001,0.0,0.0,-1.089,221.2769,-190.9,-80.10000000000001,5.742,0,0.0,-0.45,310.14000000000004,2.4166000000000003,34.2,0.0,201.25,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,221.0859,-191.0,-79.60000000000001,5.742,0,0.0,-0.445,310.14000000000004,3.2991,34.02,0.0,201.172,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,219.12470000000002,-191.0,-79.8,5.742,0,0.0,-0.44,309.915,-0.19790000000000002,33.0,0.0,200.371,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,217.1636,-190.9,-80.10000000000001,5.742,0,0.0,-0.44,310.14000000000004,4.0909,32.31,0.0,199.57000000000002,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,215.20450000000002,-191.10000000000002,-80.10000000000001,5.742,0,0.0,-0.45,310.005,1.4186,32.28,0.0,198.77,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,213.2424,-191.10000000000002,-80.3,5.742,0,0.0,-0.44,310.005,-1.7155,33.03,0.0,197.96900000000002,0.0,0
46667,0.0,67.62700000000001,0.0,0.0,-1.089,211.2803,-191.10000000000002,-79.60000000000001,5.742,0,0.0,-0.455,310.005,-2.2764,33.96,0.0,197.168,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,209.31820000000002,-191.10000000000002,-79.8,5.742,0,0.0,-0.45,310.005,1.5836000000000001,34.44,0.0,196.36700000000002,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,207.3571,-193.4,-79.8,5.742,0,0.0,-0.505,310.005,-2.3754,35.31,0.0,195.566,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,205.3983,-191.0,-80.3,5.742,0,0.0,-0.48,310.14000000000004,0.7918000000000001,35.7,0.0,194.76600000000002,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,203.43710000000002,-191.0,-79.8,5.742,0,0.0,-0.515,310.14000000000004,4.651800000000001,35.37,0.0,193.965,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,201.47820000000002,-190.70000000000002,-79.8,5.742,0,0.0,-0.53,309.915,-1.4516,34.74,0.0,193.16400000000002,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,199.5198,-190.70000000000002,-80.10000000000001,5.742,0,0.0,-0.53,310.005,-4.3878,34.32,0.0,192.363,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,197.56380000000001,-190.70000000000002,-79.60000000000001,5.742,0,0.0,-0.5,310.14000000000004,0.132,34.71,0.0,191.56300000000002,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,195.6079,-190.3,-79.8,5.742,0,1.0,-0.505,310.14000000000004,1.9465000000000001,35.25,0.0,190.762,0.0,0
46667,0.0,67.62700000000001,0.0,0.0,-1.089,193.6543,-190.20000000000002,-79.8,5.742,0,0.0,-0.535,310.005,-0.6598,34.5,0.0,189.961,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,191.7006,-190.3,-79.8,5.742,0,1.0,-0.53,310.14000000000004,-3.6950000000000003,33.96,0.0,189.16,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,191.5104,-190.20000000000002,-79.8,5.742,0,0.0,-0.505,310.14000000000004,-2.4413,33.81,0.0,189.08200000000002,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,189.5591,-189.60000000000002,-79.8,5.742,0,0.0,-0.505,310.005,-1.2949000000000002,33.33,0.0,188.281,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,187.6121,-192.0,-79.60000000000001,5.742,0,0.0,-0.48,310.005,0.19790000000000002,32.94,0.0,187.48000000000002,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,185.66750000000002,-189.60000000000002,-79.8,5.742,0,0.0,-0.48,310.005,-2.1527000000000003,33.21,0.0,186.68,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,183.7212,-189.0,-80.3,5.742,0,0.0,-0.505,310.005,2.1774,34.59,0.0,185.87900000000002,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,181.78300000000002,-188.70000000000002,-80.10000000000001,5.742,0,0.0,-0.48,310.14000000000004,-0.7505000000000001,35.22,0.0,185.078,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,179.84470000000002,-188.8,-79.60000000000001,5.742,0,0.0,-0.5,310.005,-0.7918000000000001,36.03,0.0,184.27700000000002,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,177.90890000000002,-188.70000000000002,-79.3,5.742,0,0.0,-0.495,309.915,-1.3691,36.72,0.0,183.477,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,175.97920000000002,-187.70000000000002,-80.3,5.742,0,0.0,-0.47000000000000003,309.915,-5.7405,36.0,0.0,182.67600000000002,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,174.0515,-187.70000000000002,-79.8,5.742,0,0.0,-0.49,310.005,2.4413,34.92,0.0,181.875,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,172.12390000000002,-187.70000000000002,-80.10000000000001,5.742,0,0.0,-0.54,310.005,2.8372,34.86,0.0,181.074,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,170.2031,-188.9,-79.8,5.742,0,0.0,-0.48,310.14000000000004,3.9177000000000004,34.77,0.0,180.273,0.0,0
46667,-0.171,67.62700000000001,0.0,0.0,-1.089,168.2906,-186.5,-79.8,5.742,0,0.0,-0.435,310.005,1.6083,34.62,0.0,179.473,0.0,0
46667,-0.341,67.62700000000001,0.0,0.0,-1.089,166.3757,-186.5,-80.10000000000001,5.742,0,0.0,-0.47500000000000003,310.005,-0.9897,34.11,0.0,178.672,0.0,0
46667,-0.512,67.62700000000001,0.0,0.0,-1.089,164.46470000000002,-185.10000000000002,-79.8,5.742,0,0.0,-0.445,310.005,-2.7713,33.660000000000004,0.0,177.871,0.0,0
