Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46677,-0.512,67.62700000000001,0.0,0.0,-1.21,350.0786,0.0,-0.2,5.742,0,1.0,-0.585,310.005,-1.3196,34.11,0.0,257.832,0.0,0
46677,-0.512,67.62700000000001,0.0,0.0,-1.21,350.0786,0.0,0.0,5.742,0,1.0,-0.54,310.005,-0.6928000000000001,35.97,0.0,257.832,0.0,0
46677,0.0,67.62700000000001,0.0,0.0,-1.21,350.0786,0.0,0.0,5.742,0,0.0,-0.445,310.005,0.132,37.17,0.0,257.832,0.0,0
46677,-0.341,67.62700000000001,0.0,0.0,-1.21,350.0786,0.0,0.0,5.742,0,1.0,-0.47000000000000003,310.005,1.5836000000000001,37.77,0.0,257.832,0.0,0
46677,0.0,67.62700000000001,0.0,0.0,-1.21,350.0786,0.0,-2.0,5.742,0,1.0,-0.495,310.005,-1.9795,36.63,0.0,257.832,0.0,0
46677,-0.341,67.62700000000001,0.0,0.0,-1.21,349.9589,-40.6,-5.3,5.742,0,0.0,-0.47000000000000003,310.14000000000004,-0.8908,36.0,0.0,257.773,0.0,0
46677,0.0,67.62700000000001,0.0,0.0,-1.21,349.80060000000003,-40.6,-9.9,5.742,0,0.0,-0.465,310.005,2.7713,34.77,0.0,257.695,0.0,0
46677,-0.341,67.62700000000001,0.0,0.0,-1.21,349.5632,0.0,-16.3,5.742,0,1.0,-0.47500000000000003,310.14000000000004,-1.6826,34.08,0.0,257.57800000000003,0.0,0
46677,-0.512,67.62700000000001,0.0,0.0,-1.21,349.12690000000003,-79.10000000000001,-22.1,5.742,0,1.0,-0.485,310.14000000000004,-0.7918000000000001,33.63,0.0,257.363,0.0,0
46677,0.0,67.62700000000001,0.0,0.0,-1.21,348.6114,-79.2,-29.700000000000003,5.742,0,0.0,-0.45,310.005,5.5425,34.11,0.0,257.10900000000004,0.0,0
46677,-0.171,67.62700000000001,0.0,0.0,-1.21,347.9377,-79.10000000000001,-37.1,5.742,0,1.0,-0.455,310.14000000000004,-0.9238000000000001,34.47,0.0,256.777,0.0,0
46677,0.0,67.62700000000001,0.0,0.0,-1.21,347.0992,-79.9,-44.2,5.742,0,2.0,-0.47000000000000003,310.005,-1.7485000000000002,34.35,0.0,256.367,0.0,0
46677,-0.171,67.62700000000001,0.0,0.0,-1.21,346.09880000000004,-120.9,-51.1,5.742,0,0.0,-0.46,310.14000000000004,1.5836000000000001,34.65,0.0,255.87900000000002,0.0,0
46677,0.0,67.62700000000001,0.0,0.0,-1.21,344.9774,-120.9,-58.5,5.742,0,0.0,-0.42,310.005,-5.7075000000000005,35.37,0.0,255.33200000000002,0.0,0
46677,-0.171,67.62700000000001,0.0,0.0,-1.21,343.6961,-159.9,-64.8,5.742,0,1.0,-0.47500000000000003,310.14000000000004,1.8475000000000001,35.730000000000004,0.0,254.70700000000002,0.0,0
46677,0.0,67.62700000000001,0.0,0.0,-1.21,342.293,-162.8,-69.9,5.742,0,1.0,-0.47500000000000003,310.005,3.2661000000000002,36.480000000000004,0.0,254.02300000000002,0.0,0
46677,-0.341,67.62700000000001,0.0,0.0,-1.21,340.7962,-161.70000000000002,-75.0,5.742,0,0.0,-0.48,309.915,-2.6393,36.21,0.0,253.30100000000002,0.0,0
46677,-0.341,67.62700000000001,0.0,0.0,-1.21,340.6345,-161.70000000000002,-75.3,5.742,0,0.0,-0.495,310.005,-2.9032,36.15,0.0,253.223,0.0,0
46677,0.0,67.62700000000001,0.0,0.0,-1.21,339.0548,-161.70000000000002,-78.8,5.742,0,1.0,-0.46,310.005,-2.9445,35.22,0.0,252.461,0.0,0
46677,-0.512,67.62700000000001,0.0,0.0,-1.21,337.39430000000004,-161.70000000000002,-79.8,5.742,0,1.0,-0.465,310.005,0.9238000000000001,35.37,0.0,251.66000000000003,0.0,0
46677,0.0,67.62700000000001,0.0,0.0,-1.21,335.7194,-165.70000000000002,-80.3,5.742,0,1.0,-0.46,310.14000000000004,1.2124000000000001,35.37,0.0,250.859,0.0,0
46677,0.0,67.62700000000001,0.0,0.0,-1.21,334.0412,-163.70000000000002,-80.60000000000001,5.742,0,1.0,-0.455,310.005,0.8578,35.64,0.0,250.05900000000003,0.0,0
46677,-0.341,67.62700000000001,0.0,0.0,-1.21,332.361,-163.6,-79.8,5.742,0,1.0,-0.485,310.005,2.3754,35.28,0.0,249.258,0.0,0
46677,-0.512,67.62700000000001,0.0,0.0,-1.21,330.67130000000003,-165.70000000000002,-79.60000000000001,5.742,0,0.0,-0.465,310.14000000000004,0.5938,34.65,0.0,248.45700000000002,0.0,0
46677,-0.512,67.62700000000001,0.0,0.0,-1.21,328.9705,-165.6,-79.8,5.742,0,1.0,-0.48,310.005,1.5836000000000001,34.2,0.0,247.656,0.0,0
46677,0.171,67.62700000000001,0.0,0.0,-1.21,327.2697,-167.70000000000002,-80.3,5.742,0,1.0,-0.49,310.005,0.0,33.78,0.0,246.85500000000002,0.0,0
