Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46604,-0.512,67.62700000000001,-0.5,0.0,-0.846,350.0786,0.0,0.0,5.742,0,2.0,-0.435,310.14000000000004,3.0599000000000003,33.69,0.0,257.832,0.0,0
46604,-0.512,67.62700000000001,0.5,0.0,-0.846,350.0786,0.0,0.0,5.742,0,2.0,-0.43,310.005,0.9897,33.96,0.0,257.832,0.0,0
46604,-0.682,67.62700000000001,0.5,0.0,-0.846,350.0786,0.0,0.0,5.742,0,2.0,-0.445,309.915,-0.9073,35.13,0.0,257.832,0.0,0
46604,-0.512,67.62700000000001,0.5,0.0,-0.846,350.0786,0.0,0.0,5.742,0,1.0,-0.48,310.14000000000004,-0.9485,36.99,0.0,257.832,0.0,0
46604,-0.853,67.62700000000001,0.5,0.0,-0.846,350.0401,0.0,-3.0,5.742,0,1.0,-0.5,309.915,-0.1155,38.04,0.0,257.813,0.0,0
46604,-0.512,67.62700000000001,0.0,0.0,-0.846,349.9589,0.0,-7.1000000000000005,5.742,0,2.0,-0.38,310.14000000000004,-1.1464,37.2,0.0,257.773,0.0,0
46604,-0.341,67.62700000000001,0.0,0.0,-0.846,349.76210000000003,0.0,-11.700000000000001,5.742,0,1.0,-0.505,310.005,-0.6351,36.75,0.0,257.676,0.0,0
46604,-0.682,67.62700000000001,-0.5,0.0,-0.846,349.44550000000004,-38.5,-18.0,5.742,0,2.0,-0.44,310.005,0.5938,35.730000000000004,0.0,257.52000000000004,0.0,0
46604,-1.0230000000000001,67.62700000000001,-0.5,0.0,-0.846,349.0092,-38.5,-24.1,5.742,0,1.0,-0.49,310.005,-0.8330000000000001,35.4,0.0,257.305,0.0,0
46604,-0.512,67.62700000000001,0.0,0.0,-0.846,348.45320000000004,-40.5,-31.3,5.742,0,1.0,-0.48,310.005,1.1877,35.37,0.0,257.031,0.0,0
46604,-0.341,67.62700000000001,0.0,0.0,-0.846,347.69980000000004,-79.60000000000001,-38.4,5.742,0,2.0,-0.455,310.005,1.7815,35.37,0.0,256.66,0.0,0
46604,-0.853,67.62700000000001,-0.5,0.0,-0.846,346.8183,-121.0,-46.5,5.742,0,2.0,-0.49,310.14000000000004,0.5031,35.1,0.0,256.23,0.0,0
46604,-0.853,67.62700000000001,0.0,0.0,-0.846,345.8179,-80.0,-53.1,5.742,0,2.0,-0.435,310.005,-1.2537,34.47,0.0,255.74200000000002,0.0,0
46604,-0.512,67.62700000000001,0.0,0.0,-0.846,344.6166,-120.9,-59.7,5.742,0,2.0,-0.435,310.005,1.7815,33.54,0.0,255.156,0.0,0
46604,-0.853,67.62700000000001,0.0,0.0,-0.846,343.3353,-121.0,-66.10000000000001,5.742,0,2.0,-0.47000000000000003,310.005,-0.6351,34.17,0.0,254.531,0.0,0
46604,-0.682,67.62700000000001,0.0,0.0,-0.846,341.88870000000003,-161.70000000000002,-71.4,5.742,0,2.0,-0.46,310.005,1.5011,35.550000000000004,0.0,253.828,0.0,0
46604,-0.853,67.62700000000001,0.0,0.0,-0.846,341.7685,-120.2,-71.9,5.742,0,2.0,-0.455,310.005,0.39590000000000003,35.7,0.0,253.77,0.0,0
46604,-0.853,67.62700000000001,-0.5,0.0,-0.846,340.2282,-122.30000000000001,-75.5,5.742,0,2.0,-0.495,310.14000000000004,-0.099,36.93,0.0,253.02700000000002,0.0,0
46604,-0.512,67.62700000000001,0.0,0.0,-0.846,338.6091,-161.70000000000002,-79.10000000000001,5.742,0,1.0,-0.465,310.005,0.5279,37.77,0.0,252.246,0.0,0
46604,-0.512,67.62700000000001,-0.5,0.0,-0.846,336.9486,-161.70000000000002,-80.9,5.742,0,1.0,-0.45,310.14000000000004,1.7485000000000002,37.62,0.0,251.44500000000002,0.0,0
46604,-0.512,67.62700000000001,0.0,0.0,-0.846,335.2285,-205.60000000000002,-80.60000000000001,5.742,0,1.0,-0.41000000000000003,310.005,-1.1877,37.050000000000004,0.0,250.625,0.0,0
46604,-0.682,67.62700000000001,-0.5,0.0,-0.846,333.54830000000004,-163.6,-79.8,5.742,0,2.0,-0.48,310.005,-2.3754,36.42,0.0,249.824,0.0,0
46604,-0.512,67.62700000000001,0.0,0.0,-0.846,331.868,-165.70000000000002,-79.60000000000001,5.742,0,1.0,-0.45,310.14000000000004,-1.9795,35.61,0.0,249.02300000000002,0.0,0
46604,-0.512,67.62700000000001,0.0,0.0,-0.846,330.1745,-165.6,-80.10000000000001,5.742,0,3.0,-0.48,310.14000000000004,2.2764,35.43,0.0,248.223,0.0,0
46604,-0.853,67.62700000000001,0.0,0.0,-0.846,328.47360000000003,-165.70000000000002,-79.60000000000001,5.742,0,1.0,-0.49,310.005,1.9795,35.58,0.0,247.42200000000003,0.0,0
46604,-0.512,67.62700000000001,0.5,0.0,-0.846,326.7728,-165.6,-79.8,5.742,0,2.0,-0.455,310.005,-0.6928000000000001,35.31,0.0,246.621,0.0,0
46604,-0.341,67.62700000000001,-0.5,0.0,-0.846,325.06190000000004,-210.70000000000002,-80.10000000000001,5.742,0,2.0,-0.48,310.005,-5.1466,34.29,0.0,245.82000000000002,0.0,0
46604,-0.682,67.62700000000001,-0.5,0.0,-0.846,323.3831,-167.6,-79.8,5.742,0,3.0,-0.465,310.14000000000004,-0.8908,34.92,0.0,245.03900000000002,0.0,0
46604,-0.512,67.62700000000001,0.0,0.0,-0.846,321.6612,-167.70000000000002,-79.60000000000001,5.742,0,2.0,-0.47500000000000003,310.005,1.1877,34.95,0.0,244.238,0.0,0
46604,-0.853,67.62700000000001,0.5,0.0,-0.846,319.9377,-169.70000000000002,-80.3,5.742,0,1.0,-0.47000000000000003,310.005,-0.7918000000000001,35.97,0.0,243.43800000000002,0.0,0
46604,-0.341,67.62700000000001,-0.5,0.0,-0.846,318.19460000000004,-169.8,-80.10000000000001,5.742,0,2.0,-0.49,310.14000000000004,0.0,36.54,0.0,242.637,0.0,0
46604,-0.341,67.62700000000001,0.0,0.0,-0.846,316.45160000000004,-169.70000000000002,-79.60000000000001,5.742,0,1.0,-0.55,310.14000000000004,1.2207000000000001,37.59,0.0,241.836,0.0,0
46604,-0.512,67.62700000000001,0.0,0.0,-0.846,314.7086,-169.70000000000002,-80.10000000000001,5.742,0,3.0,-0.435,310.005,0.2639,36.78,0.0,241.03500000000003,0.0,0
46604,-0.512,67.62700000000001,-0.5,0.0,-0.846,312.94640000000004,-174.0,-79.60000000000001,5.742,0,1.0,-0.445,310.14000000000004,4.7507,36.78,0.0,240.234,0.0,0
46604,-0.682,67.62700000000001,0.0,0.0,-0.846,311.1845,-171.8,-80.10000000000001,5.742,0,2.0,-0.47000000000000003,310.005,0.39590000000000003,36.84,0.0,239.434,0.0,0
46604,-0.341,67.62700000000001,0.0,0.0,-0.846,309.42040000000003,-171.8,-79.8,5.742,0,1.0,-0.46,310.14000000000004,-4.8497,35.79,0.0,238.633,0.0,0
46604,-0.682,67.62700000000001,-0.5,0.0,-0.846,307.64320000000004,-173.8,-80.10000000000001,5.742,0,2.0,-0.47500000000000003,310.14000000000004,0.9238000000000001,35.58,0.0,237.83200000000002,0.0,0
46604,-0.682,67.62700000000001,0.5,0.0,-0.846,305.85830000000004,-173.8,-80.10000000000001,5.742,0,1.0,-0.49,310.005,5.0147,35.07,0.0,237.031,0.0,0
46604,-0.341,67.62700000000001,0.5,0.0,-0.846,305.6845,-173.8,-79.8,5.742,0,2.0,-0.425,310.005,4.1569,34.980000000000004,0.0,236.953,0.0,0
46604,-0.341,67.62700000000001,-0.5,0.0,-0.846,303.8997,-173.8,-80.3,5.742,0,2.0,-0.505,310.14000000000004,-2.7713,35.28,0.0,236.15200000000002,0.0,0
46604,-0.853,67.62700000000001,0.5,0.0,-0.846,302.1078,-175.8,-80.60000000000001,5.742,0,1.0,-0.48,309.915,-6.029100000000001,35.730000000000004,0.0,235.352,0.0,0
46604,-0.512,67.62700000000001,0.0,0.0,-0.846,300.3028,-175.70000000000002,-80.10000000000001,5.742,0,1.0,-0.45,310.14000000000004,0.5691,35.49,0.0,234.55100000000002,0.0,0
