Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46600,-1.194,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,0.0,5.742,0,0.0,-0.68,310.005,0.2639,35.31,0.0,257.832,0.0,0
46600,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,0.0,5.742,0,0.0,-0.53,310.005,0.132,35.22,0.0,257.832,0.0,0
46600,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,0.2,5.742,0,0.0,-0.44,310.005,1.4516,35.7,0.0,257.832,0.0,0
46600,-1.194,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,0.0,5.742,0,0.0,-0.425,310.005,0.0,36.84,0.0,257.832,0.0,0
46600,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,-2.0,5.742,0,0.0,-0.47000000000000003,310.005,1.7815,37.11,0.0,257.832,0.0,0
46600,-1.364,67.62700000000001,0.0,0.0,-1.996,349.9995,0.0,-5.3,5.742,0,0.0,-0.445,310.005,-0.19790000000000002,36.96,0.0,257.793,0.0,0
46600,-1.194,67.62700000000001,0.0,0.0,-1.996,349.8412,0.0,-9.1,5.742,0,0.0,-0.31,310.005,-2.1774,36.87,0.0,257.71500000000003,0.0,0
46600,-1.364,67.62700000000001,0.0,0.0,-1.996,349.5632,-40.6,-15.5,5.742,0,0.0,-0.46,310.005,0.0,36.78,0.0,257.57800000000003,0.0,0
46600,-1.364,67.62700000000001,0.0,0.0,-1.996,349.1675,-38.5,-22.1,5.742,0,0.0,-0.405,310.005,2.5733,36.57,0.0,257.38300000000004,0.0,0
46600,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.996,348.65200000000004,-79.2,-28.900000000000002,5.742,0,0.0,-0.49,310.14000000000004,4.923900000000001,36.03,0.0,257.129,0.0,0
