Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46560,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.786,350.0786,0.0,0.0,5.742,0,0.0,-0.635,310.005,0.6186,34.44,0.0,257.832,0.0,0
46560,-0.853,67.62700000000001,0.0,0.0,-0.786,350.0786,0.0,0.0,5.742,0,0.0,-0.485,310.005,-2.3094,34.47,0.0,257.832,0.0,0
46560,-1.364,67.62700000000001,0.0,0.0,-0.786,350.0786,0.0,0.0,5.742,0,0.0,-0.5,310.005,-3.2331000000000003,35.22,0.0,257.832,0.0,0
46560,-1.194,67.62700000000001,0.0,0.0,-0.786,350.0786,0.0,-0.2,5.742,0,1.0,-0.45,310.14000000000004,3.3651,34.86,0.0,257.832,0.0,0
46560,-0.853,67.62700000000001,0.0,0.0,-0.786,350.0786,0.0,-2.3000000000000003,5.742,0,2.0,-0.445,310.14000000000004,4.1321,34.62,0.0,257.832,0.0,0
46560,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.786,349.9589,-40.6,-5.5,5.742,0,0.0,-0.47000000000000003,309.915,-2.4249,33.84,0.0,257.773,0.0,0
46560,-0.853,67.62700000000001,0.0,0.0,-0.786,349.8412,0.0,-9.9,5.742,0,0.0,-0.47500000000000003,310.14000000000004,-3.629,33.36,0.0,257.71500000000003,0.0,0
46560,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.786,349.5632,-40.6,-16.3,5.742,0,0.0,-0.445,310.14000000000004,3.629,32.94,0.0,257.57800000000003,0.0,0
46560,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.786,349.1675,-38.5,-22.1,5.742,0,0.0,-0.5,310.005,2.4249,33.45,0.0,257.38300000000004,0.0,0
46560,-1.364,67.62700000000001,0.0,0.0,-0.786,348.6114,-79.2,-29.200000000000003,5.742,0,0.0,-0.47000000000000003,310.005,-6.3096000000000005,34.77,0.0,257.10900000000004,0.0,0
46560,-0.682,67.62700000000001,0.0,0.0,-0.786,347.9377,-79.10000000000001,-36.9,5.742,0,2.0,-0.52,310.005,0.0247,35.67,0.0,256.777,0.0,0
46560,-0.853,67.62700000000001,0.0,0.0,-0.786,347.0992,-120.9,-44.2,5.742,0,0.0,-0.48,310.005,0.39590000000000003,36.69,0.0,256.367,0.0,0
46560,-1.194,67.62700000000001,0.0,0.0,-0.786,346.1377,-82.0,-50.800000000000004,5.742,0,0.0,-0.515,310.14000000000004,-1.0145,36.24,0.0,255.89800000000002,0.0,0
46560,-0.853,67.62700000000001,0.0,0.0,-0.786,344.9774,-120.9,-58.2,5.742,0,0.0,-0.505,310.14000000000004,4.7507,35.13,0.0,255.33200000000002,0.0,0
46560,-1.194,67.62700000000001,0.0,0.0,-0.786,343.7371,-118.9,-64.5,5.742,0,1.0,-0.465,310.005,2.7713,34.53,0.0,254.727,0.0,0
46560,-0.853,67.62700000000001,0.0,0.0,-0.786,342.3345,-160.3,-70.10000000000001,5.742,0,1.0,-0.485,310.005,-4.9487000000000005,34.59,0.0,254.043,0.0,0
46560,-1.364,67.62700000000001,0.0,0.0,-0.786,342.2122,-122.30000000000001,-70.7,5.742,0,1.0,-0.49,310.005,-5.938400000000001,34.68,0.0,253.984,0.0,0
46560,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.786,340.6739,-161.70000000000002,-75.0,5.742,0,0.0,-0.485,310.14000000000004,-2.3754,34.65,0.0,253.24200000000002,0.0,0
46560,-1.364,67.62700000000001,0.0,0.0,-0.786,339.0942,-163.8,-78.5,5.742,0,0.0,-0.48,309.915,-1.0557,34.26,0.0,252.48000000000002,0.0,0
