Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46593,-0.682,67.62700000000001,0.0,0.0,-2.602,350.0786,0.0,0.0,5.742,0,0.0,-0.46,310.005,0.0,36.42,0.0,257.832,0.0,0
46593,-0.341,67.62700000000001,0.0,0.0,-2.602,350.0786,0.0,0.0,5.742,0,1.0,-0.445,310.005,2.5733,36.72,0.0,257.832,0.0,0
46593,-0.341,67.62700000000001,0.0,0.0,-2.602,350.0786,0.0,0.0,5.742,0,0.0,-0.445,310.005,-0.8578,36.75,0.0,257.832,0.0,0
46593,-0.341,67.62700000000001,0.0,0.0,-2.602,350.0786,0.0,0.0,5.742,0,1.0,-0.45,309.915,-2.029,35.910000000000004,0.0,257.832,0.0,0
46593,-0.341,67.62700000000001,0.0,0.0,-2.602,350.0786,0.0,0.0,5.742,0,0.0,-0.44,309.915,0.23920000000000002,34.980000000000004,0.0,257.832,0.0,0
46593,-0.341,67.62700000000001,0.0,0.0,-2.602,350.0786,0.0,0.0,5.742,0,1.0,-0.455,310.005,1.7155,35.28,0.0,257.832,0.0,0
46593,-0.682,67.62700000000001,0.0,0.0,-2.602,350.0786,0.0,0.0,5.742,0,0.0,-0.45,310.005,2.5733,34.86,0.0,257.832,0.0,0
46593,-0.341,67.62700000000001,0.0,0.0,-2.602,350.0786,0.0,0.0,5.742,0,0.0,-0.43,310.005,1.2372,35.1,0.0,257.832,0.0,0
46593,-0.512,67.62700000000001,0.0,0.0,-2.602,350.0786,0.0,0.0,5.742,0,0.0,-0.43,310.005,0.19790000000000002,35.19,0.0,257.832,0.0,0
46593,-0.512,67.62700000000001,0.0,0.0,-2.602,350.0786,0.0,-0.5,5.742,0,0.0,-0.455,310.005,-2.3754,34.86,0.0,257.832,0.0,0
46593,-0.512,67.62700000000001,0.0,0.0,-2.602,350.0401,0.0,-3.0,5.742,0,0.0,-0.45,310.23,1.6826,34.74,0.0,257.813,0.0,0
