Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46908,-1.0230000000000001,83.545,0.0,0.0,-1.694,350.0786,0.0,0.0,5.742,0,0.0,-0.675,310.14000000000004,3.0682,33.03,0.0,257.832,0.0,0
46908,-1.194,83.545,0.0,0.0,-1.694,350.0786,0.0,0.0,5.742,0,-1.0,-0.505,309.915,3.563,33.51,0.0,257.832,0.0,0
46908,-1.0230000000000001,83.545,0.0,0.0,-1.694,350.0786,0.0,0.0,5.742,0,1.0,-0.525,310.005,-2.7053000000000003,34.44,0.0,257.832,0.0,0
46908,-1.364,83.545,0.0,0.0,-1.694,350.0786,0.0,0.0,5.742,0,2.0,-0.53,310.14000000000004,-1.8475000000000001,35.04,0.0,257.832,0.0,0
46908,-0.853,83.545,0.0,0.0,-1.694,350.0786,0.0,-1.7000000000000002,5.742,0,0.0,-0.49,309.915,-0.5279,34.800000000000004,0.0,257.832,0.0,0
46908,-1.0230000000000001,83.545,-0.5,0.0,-1.694,349.9995,0.0,-5.1000000000000005,5.742,0,1.0,-0.495,310.14000000000004,0.7918000000000001,35.7,0.0,257.793,0.0,0
46908,-1.0230000000000001,83.545,0.0,0.0,-1.694,349.8412,-38.6,-8.9,5.742,0,2.0,-0.51,310.005,-0.165,35.1,0.0,257.71500000000003,0.0,0
46908,-1.0230000000000001,83.545,0.0,0.0,-1.694,349.60380000000004,-38.5,-15.5,5.742,0,1.0,-0.48,310.005,-0.6598,35.25,0.0,257.598,0.0,0
46908,-1.364,83.545,0.0,0.0,-1.694,349.206,-40.6,-21.900000000000002,5.742,0,1.0,-0.5750000000000001,310.14000000000004,-1.5836000000000001,34.65,0.0,257.402,0.0,0
46908,-1.5350000000000001,83.545,0.0,0.0,-1.694,348.7312,-40.6,-27.900000000000002,5.742,0,-1.0,-0.515,310.14000000000004,6.9941,34.980000000000004,0.0,257.168,0.0,0
46908,-1.364,83.545,0.5,0.0,-1.694,348.05740000000003,-79.2,-35.6,5.742,0,0.0,-0.515,310.005,2.1114,35.1,0.0,256.836,0.0,0
46908,-1.194,83.545,0.0,0.0,-1.694,347.2591,-79.9,-42.7,5.742,0,0.0,-0.51,310.005,-6.8622000000000005,34.74,0.0,256.445,0.0,0
46908,-1.0230000000000001,83.545,0.0,0.0,-1.694,346.25870000000003,-120.9,-49.800000000000004,5.742,0,1.0,-0.49,309.915,-5.3776,34.11,0.0,255.95700000000002,0.0,0
46908,-1.194,83.545,0.0,0.0,-1.694,345.17830000000004,-118.9,-57.5,5.742,0,1.0,-0.515,310.005,-0.7918000000000001,33.0,0.0,255.43,0.0,0
46908,-1.364,83.545,-0.5,0.0,-1.694,343.93600000000004,-120.9,-63.800000000000004,5.742,0,0.0,-0.5,310.14000000000004,2.0125,33.12,0.0,254.824,0.0,0
46908,-1.364,83.545,0.0,0.0,-1.694,342.5358,-159.9,-69.7,5.742,0,0.0,-0.52,310.005,5.0147,33.87,0.0,254.14100000000002,0.0,0
46908,-0.853,83.545,0.0,0.0,-1.694,342.4148,-121.0,-70.4,5.742,0,0.0,-0.535,310.005,4.2064,33.96,0.0,254.08200000000002,0.0,0
46908,-1.194,83.545,0.0,0.0,-1.694,340.91650000000004,-122.30000000000001,-74.7,5.742,0,0.0,-0.525,309.915,-2.6228000000000002,34.56,0.0,253.359,0.0,0
46908,-1.194,83.545,0.0,0.0,-1.694,339.29740000000004,-161.70000000000002,-77.8,5.742,0,0.0,-0.53,310.005,-6.705500000000001,36.09,0.0,252.578,0.0,0
46908,-1.194,83.545,0.0,0.0,-1.694,337.67830000000004,-161.70000000000002,-79.8,5.742,0,0.0,-0.535,309.915,-1.1712,35.88,0.0,251.79700000000003,0.0,0
46908,-1.0230000000000001,83.545,0.0,0.0,-1.694,336.0068,-163.6,-80.9,5.742,0,0.0,-0.485,310.005,1.699,35.01,0.0,250.996,0.0,0
46908,-1.364,83.545,0.0,0.0,-1.694,334.3265,-163.6,-80.3,5.742,0,0.0,-0.515,310.14000000000004,5.5013000000000005,34.5,0.0,250.19500000000002,0.0,0
46908,-1.364,83.545,0.0,0.0,-1.694,332.6064,-205.60000000000002,-80.10000000000001,5.742,0,1.0,-0.5,310.005,4.4043,34.59,0.0,249.375,0.0,0
46908,-1.194,83.545,0.0,0.0,-1.694,330.9198,-208.10000000000002,-79.8,5.742,0,0.0,-0.5,310.14000000000004,1.3609,34.44,0.0,248.574,0.0,0
46908,-1.0230000000000001,83.545,0.0,0.0,-1.694,329.2189,-208.10000000000002,-79.8,5.742,0,1.0,-0.525,310.005,-0.5691,34.62,0.0,247.77300000000002,0.0,0
46908,-1.5350000000000001,83.545,0.0,0.0,-1.694,327.5606,-165.6,-79.8,5.742,0,2.0,-0.545,310.005,-2.1774,33.9,0.0,246.99200000000002,0.0,0
46908,-0.853,83.545,0.0,0.0,-1.694,325.8595,-168.0,-80.10000000000001,5.742,0,2.0,-0.505,310.005,-0.9650000000000001,33.27,0.0,246.191,0.0,0
46908,-1.364,83.545,-0.5,0.0,-1.694,324.1397,-167.70000000000002,-79.8,5.742,0,0.0,-0.51,310.005,-0.17320000000000002,32.85,0.0,245.39100000000002,0.0,0
46908,-1.5350000000000001,83.545,0.5,0.0,-1.694,322.41790000000003,-167.6,-80.3,5.742,0,0.0,-0.53,310.005,1.1877,33.33,0.0,244.59,0.0,0
46908,-1.705,83.545,0.0,0.0,-1.694,320.696,-167.70000000000002,-80.3,5.742,0,-1.0,-0.47000000000000003,309.915,-1.6083,33.96,0.0,243.78900000000002,0.0,0
46908,-1.0230000000000001,83.545,0.0,0.0,-1.694,318.95840000000004,-169.8,-80.3,5.742,0,-2.0,-0.535,310.005,-2.0455,34.71,0.0,242.988,0.0,0
46908,-1.194,83.545,0.0,0.0,-1.694,317.2176,-169.70000000000002,-80.3,5.742,0,-1.0,-0.51,310.005,2.0702000000000003,35.52,0.0,242.18800000000002,0.0,0
46908,-0.853,83.545,-0.5,0.0,-1.694,315.4746,-169.70000000000002,-80.10000000000001,5.742,0,0.0,-0.49,310.005,-0.0825,35.79,0.0,241.387,0.0,0
46908,-1.194,83.545,0.0,0.0,-1.694,313.7217,-171.70000000000002,-79.8,5.742,0,0.0,-0.515,310.14000000000004,-0.0247,36.0,0.0,240.586,0.0,0
46908,-1.364,83.545,0.0,0.0,-1.694,311.9576,-171.70000000000002,-80.3,5.742,0,0.0,-0.52,309.915,-0.3134,35.61,0.0,239.78500000000003,0.0,0
46908,-1.364,83.545,0.0,0.0,-1.694,310.19350000000003,-173.9,-80.10000000000001,5.742,0,0.0,-0.505,310.14000000000004,2.5321000000000002,35.19,0.0,238.984,0.0,0
46908,-0.853,83.545,0.0,0.0,-1.694,308.4275,-173.8,-79.60000000000001,5.742,0,1.0,-0.505,309.915,2.4166000000000003,34.92,0.0,238.184,0.0,0
46908,-0.853,83.545,0.0,0.0,-1.694,306.6427,-173.8,-80.10000000000001,5.742,0,1.0,-0.47500000000000003,310.14000000000004,3.4558,34.08,0.0,237.383,0.0,0
46908,-1.0230000000000001,83.545,0.0,0.0,-1.694,304.8578,-173.9,-80.3,5.742,0,0.0,-0.485,310.005,2.4001,33.75,0.0,236.58200000000002,0.0,0
46908,-1.194,83.545,0.5,0.0,-1.694,303.07300000000004,-173.8,-79.8,5.742,0,0.0,-0.515,310.14000000000004,0.7258,34.230000000000004,0.0,235.781,0.0,0
46908,-1.364,83.545,0.0,0.0,-1.694,301.2695,-178.0,-79.8,5.742,0,0.0,-0.525,310.005,-4.726,33.93,0.0,234.98000000000002,0.0,0
