Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47036,0.512,75.586,0.0,0.0,-1.029,350.0786,0.0,0.0,5.742,0,2.0,-0.74,310.005,-1.0557,36.300000000000004,0.0,257.832,0.0,0
47036,0.512,75.586,0.0,0.0,-1.029,350.0786,0.0,0.0,5.742,0,1.0,-0.53,310.14000000000004,1.3196,37.65,0.0,257.832,0.0,0
47036,0.341,75.586,0.0,0.0,-1.029,350.0786,0.0,0.0,5.742,0,2.0,-0.525,309.915,0.7918000000000001,38.88,0.0,257.832,0.0,0
47036,0.171,75.586,0.0,0.0,-1.029,350.0786,0.0,-0.5,5.742,0,2.0,-0.535,310.005,-1.7155,39.84,0.0,257.832,0.0,0
47036,0.171,75.586,-0.5,0.0,-1.029,350.0401,0.0,-2.7,5.742,0,2.0,-0.505,310.005,0.6268,40.230000000000004,0.0,257.813,0.0,0
47036,0.171,75.586,0.5,0.0,-1.029,350.0401,0.0,-3.3000000000000003,5.742,0,1.0,-0.49,310.005,1.5423,40.230000000000004,0.0,257.813,0.0,0
47036,0.341,75.586,0.5,0.0,-1.029,349.9203,-38.6,-6.6000000000000005,5.742,0,1.0,-0.52,309.915,0.19790000000000002,39.21,0.0,257.754,0.0,0
47036,0.512,75.586,0.0,0.0,-1.029,349.76210000000003,0.0,-11.9,5.742,0,1.0,-0.535,310.005,-0.132,38.19,0.0,257.676,0.0,0
47036,0.0,75.586,0.5,0.0,-1.029,349.44550000000004,-38.5,-18.0,5.742,0,1.0,-0.47000000000000003,310.005,-0.5938,38.01,0.0,257.52000000000004,0.0,0
47036,0.0,75.586,0.0,0.0,-1.029,349.0092,-38.5,-24.400000000000002,5.742,0,2.0,-0.45,310.14000000000004,0.767,37.95,0.0,257.305,0.0,0
47036,0.512,75.586,0.0,0.0,-1.029,348.4146,-79.10000000000001,-32.300000000000004,5.742,0,2.0,-0.51,310.005,1.1217000000000001,37.38,0.0,257.012,0.0,0
47036,0.512,75.586,0.0,0.0,-1.029,347.69980000000004,-79.60000000000001,-38.9,5.742,0,0.0,-0.55,310.14000000000004,2.4826,36.87,0.0,256.66,0.0,0
47036,0.341,75.586,-0.5,0.0,-1.029,346.7794,-120.9,-47.0,5.742,0,2.0,-0.445,310.005,-1.4269,36.27,0.0,256.211,0.0,0
47036,0.512,75.586,0.5,0.0,-1.029,345.7379,-121.0,-53.400000000000006,5.742,0,1.0,-0.535,310.005,-2.8372,35.910000000000004,0.0,255.703,0.0,0
47036,0.341,75.586,0.0,0.0,-1.029,344.5776,-118.9,-60.0,5.742,0,0.0,-0.425,309.915,0.7011000000000001,36.87,0.0,255.137,0.0,0
47036,0.171,75.586,0.0,0.0,-1.029,343.2554,-159.9,-66.10000000000001,5.742,0,2.0,-0.52,310.005,1.3691,37.89,0.0,254.49200000000002,0.0,0
47036,0.341,75.586,0.0,0.0,-1.029,341.8494,-120.2,-71.9,5.742,0,1.0,-0.47500000000000003,310.005,0.39590000000000003,39.39,0.0,253.80900000000003,0.0,0
47036,0.171,75.586,0.0,0.0,-1.029,340.3091,-163.70000000000002,-76.0,5.742,0,4.0,-0.55,310.005,0.2227,39.6,0.0,253.066,0.0,0
47036,0.341,75.586,0.0,0.0,-1.029,338.69,-161.70000000000002,-78.8,5.742,0,2.0,-0.5750000000000001,310.005,-1.2537,38.31,0.0,252.28500000000003,0.0,0
47036,0.0,75.586,-0.5,0.0,-1.029,337.0294,-163.8,-79.8,5.742,0,2.0,-0.515,310.005,0.5526,37.62,0.0,251.484,0.0,0
47036,0.512,75.586,0.0,0.0,-1.029,335.3523,-163.6,-80.9,5.742,0,3.0,-0.515,309.915,-1.963,37.980000000000004,0.0,250.68400000000003,0.0,0
47036,0.171,75.586,0.0,0.0,-1.029,333.672,-163.70000000000002,-80.60000000000001,5.742,0,2.0,-0.515,310.14000000000004,3.1424000000000003,37.56,0.0,249.883,0.0,0
47036,0.341,75.586,0.0,0.0,-1.029,331.9918,-163.6,-80.10000000000001,5.742,0,1.0,-0.47000000000000003,310.005,2.7713,36.36,0.0,249.08200000000002,0.0,0
47036,0.171,75.586,0.0,0.0,-1.029,330.2976,-165.70000000000002,-80.3,5.742,0,2.0,-0.51,310.005,-0.41240000000000004,35.46,0.0,248.281,0.0,0
47036,0.512,75.586,0.5,0.0,-1.029,328.59680000000003,-167.70000000000002,-80.3,5.742,0,0.0,-0.52,310.005,-1.8887,36.12,0.0,247.48000000000002,0.0,0
