Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46913,-0.341,83.545,0.0,0.0,-2.359,350.0786,0.0,0.2,5.737,0,1.0,-0.525,310.14000000000004,8.1818,32.94,0.0,257.832,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,350.0786,0.0,0.0,5.742,0,-2.0,-0.56,310.005,-2.6393,33.54,0.0,257.832,0.0,0
46913,-0.171,83.545,0.0,0.0,-2.359,350.0786,0.0,0.0,5.742,0,1.0,-0.545,310.005,-5.6745,34.05,0.0,257.832,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,350.0786,0.0,0.0,5.742,0,1.0,-0.485,310.005,0.099,34.68,0.0,257.832,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,350.0786,0.0,-0.5,5.742,0,0.0,-0.5700000000000001,309.915,0.132,35.28,0.0,257.832,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,350.0401,0.0,-3.5,5.742,0,0.0,-0.485,310.14000000000004,4.9157,34.62,0.0,257.813,0.0,0
46913,-0.682,83.545,0.5,0.0,-2.359,349.9203,-38.6,-6.800000000000001,5.742,0,0.0,-0.5650000000000001,310.14000000000004,4.7507,34.56,0.0,257.754,0.0,0
46913,-0.171,83.545,0.0,0.0,-2.359,349.7215,-40.6,-11.9,5.742,0,2.0,-0.595,310.005,-2.9692000000000003,34.59,0.0,257.656,0.0,0
46913,-1.0230000000000001,83.545,0.0,0.0,-2.359,349.4049,-40.6,-18.8,5.742,0,1.0,-0.495,310.14000000000004,-1.1877,34.74,0.0,257.5,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,348.96860000000004,-40.6,-24.900000000000002,5.742,0,0.0,-0.495,310.14000000000004,0.7918000000000001,35.1,0.0,257.285,0.0,0
46913,-0.512,83.545,0.5,0.0,-2.359,348.374,-79.2,-32.0,5.742,0,0.0,-0.555,310.005,-3.2991,35.43,0.0,256.992,0.0,0
46913,-0.171,83.545,0.0,0.0,-2.359,347.6609,-79.9,-39.1,5.742,0,1.0,-0.535,310.005,-2.2764,34.86,0.0,256.641,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,346.7384,-120.9,-47.5,5.742,0,-1.0,-0.505,309.915,-1.3196,34.53,0.0,256.19100000000003,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,345.699,-118.9,-53.6,5.742,0,0.0,-0.555,310.005,-2.1114,33.72,0.0,255.68400000000003,0.0,0
46913,-0.682,83.545,0.0,0.0,-2.359,344.5366,-121.0,-60.0,5.742,0,0.0,-0.555,310.14000000000004,1.3196,33.660000000000004,0.0,255.11700000000002,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,344.4177,-118.9,-61.300000000000004,5.742,0,0.0,-0.5700000000000001,310.005,1.1877,33.63,0.0,255.05900000000003,0.0,0
46913,-0.512,83.545,0.5,0.0,-2.359,343.09540000000004,-121.0,-67.3,5.742,0,0.0,-0.54,310.14000000000004,4.4456,33.57,0.0,254.41400000000002,0.0,0
46913,-0.682,83.545,0.0,0.0,-2.359,341.6462,-122.30000000000001,-71.9,5.742,0,0.0,-0.555,310.005,1.3856000000000002,33.93,0.0,253.711,0.0,0
46913,-0.682,83.545,-0.5,0.0,-2.359,340.0665,-161.70000000000002,-76.5,5.742,0,0.0,-0.53,310.005,0.2227,34.56,0.0,252.949,0.0,0
46913,-0.512,83.545,0.5,0.0,-2.359,338.4889,-161.70000000000002,-79.10000000000001,5.742,0,0.0,-0.545,310.005,0.2227,35.49,0.0,252.18800000000002,0.0,0
46913,-0.853,83.545,0.0,0.0,-2.359,336.827,-163.0,-80.9,5.742,0,0.0,-0.55,310.005,-1.3856000000000002,35.61,0.0,251.387,0.0,0
46913,-0.512,83.545,0.5,0.0,-2.359,335.1048,-165.70000000000002,-80.9,5.742,0,1.0,-0.55,310.005,-5.2786,35.4,0.0,250.566,0.0,0
46913,-0.682,83.545,0.0,0.0,-2.359,333.4266,-163.6,-80.10000000000001,5.742,0,0.0,-0.545,310.005,1.0145,34.89,0.0,249.76600000000002,0.0,0
46913,-0.171,83.545,0.0,0.0,-2.359,331.7463,-163.70000000000002,-79.8,5.742,0,0.0,-0.5650000000000001,310.005,3.6950000000000003,34.2,0.0,248.965,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,330.04920000000004,-165.6,-79.8,5.742,0,0.0,-0.56,310.005,1.5011,34.410000000000004,0.0,248.16400000000002,0.0,0
46913,-0.682,83.545,-0.5,0.0,-2.359,328.3484,-165.6,-79.8,5.742,0,0.0,-0.525,310.005,-1.1217000000000001,34.74,0.0,247.363,0.0,0
46913,-0.171,83.545,-0.5,0.0,-2.359,326.6496,-165.70000000000002,-79.60000000000001,5.742,0,1.0,-0.54,310.14000000000004,1.1877,34.53,0.0,246.56300000000002,0.0,0
46913,-0.512,83.545,0.5,0.0,-2.359,324.9373,-167.6,-79.60000000000001,5.742,0,0.0,-0.54,310.005,1.7155,33.84,0.0,245.762,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,323.2154,-167.70000000000002,-79.3,5.742,0,1.0,-0.535,310.005,-0.28040000000000004,32.94,0.0,244.961,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,321.49350000000004,-167.70000000000002,-79.8,5.742,0,0.0,-0.535,310.14000000000004,-5.0806000000000004,32.94,0.0,244.16000000000003,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,319.7658,-171.9,-80.3,5.742,0,0.0,-0.54,310.14000000000004,1.3609,33.75,0.0,243.359,0.0,0
46913,-0.853,83.545,0.0,0.0,-2.359,318.0249,-169.70000000000002,-79.8,5.742,0,0.0,-0.5,310.005,3.8930000000000002,35.160000000000004,0.0,242.559,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,316.2819,-169.70000000000002,-79.60000000000001,5.742,0,1.0,-0.545,310.005,-2.4578,36.54,0.0,241.758,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,314.5387,-169.9,-79.8,5.742,0,0.0,-0.58,310.14000000000004,-4.486800000000001,36.54,0.0,240.95700000000002,0.0,0
46913,-0.682,83.545,0.0,0.0,-2.359,312.7746,-171.8,-79.8,5.742,0,0.0,-0.535,309.915,0.9650000000000001,35.910000000000004,0.0,240.156,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,311.01050000000004,-215.9,-80.60000000000001,5.742,0,0.0,-0.545,310.005,4.2229,34.800000000000004,0.0,239.35500000000002,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,309.2486,-213.70000000000002,-79.8,5.742,0,0.0,-0.54,310.14000000000004,1.5423,34.59,0.0,238.555,0.0,0
46913,-0.171,83.545,0.0,0.0,-2.359,307.4694,-218.3,-79.60000000000001,5.742,0,0.0,-0.545,310.23,0.4041,35.34,0.0,237.75400000000002,0.0,0
46913,-0.853,83.545,-0.5,0.0,-2.359,305.7291,-173.8,-80.10000000000001,5.742,0,0.0,-0.55,309.915,-1.0805,35.25,0.0,236.973,0.0,0
46913,-0.682,83.545,0.0,0.0,-2.359,303.9443,-173.8,-80.3,5.742,0,1.0,-0.525,310.005,-6.0456,35.19,0.0,236.17200000000003,0.0,0
46913,-0.682,83.545,-0.5,0.0,-2.359,302.1506,-175.8,-80.3,5.742,0,0.0,-0.56,310.005,-2.5898000000000003,34.95,0.0,235.371,0.0,0
46913,-0.682,83.545,-0.5,0.0,-2.359,300.3456,-175.70000000000002,-80.10000000000001,5.742,0,0.0,-0.535,309.915,5.1466,34.38,0.0,234.57000000000002,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,298.5428,-175.8,-80.3,5.742,0,1.0,-0.525,310.14000000000004,0.0412,33.36,0.0,233.77,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,296.7345,-177.70000000000002,-79.60000000000001,5.742,0,0.0,-0.52,310.005,1.7815,32.82,0.0,232.96900000000002,0.0,0
46913,-0.682,83.545,0.5,0.0,-2.359,294.91,-177.70000000000002,-80.10000000000001,5.742,0,0.0,-0.555,309.915,0.5031,34.02,0.0,232.168,0.0,0
46913,-0.682,83.545,0.0,0.0,-2.359,293.0855,-177.70000000000002,-80.3,5.742,0,0.0,-0.535,310.14000000000004,-2.2434000000000003,35.7,0.0,231.36700000000002,0.0,0
46913,-0.682,83.545,-0.5,0.0,-2.359,292.90790000000004,-177.6,-80.10000000000001,5.742,0,0.0,-0.545,310.14000000000004,-1.3196,35.79,0.0,231.28900000000002,0.0,0
46913,-0.341,83.545,-0.5,0.0,-2.359,291.08340000000004,-177.6,-80.10000000000001,5.742,0,0.0,-0.52,310.14000000000004,4.3548,36.81,0.0,230.488,0.0,0
46913,-0.512,83.545,0.5,0.0,-2.359,289.2427,-179.5,-79.8,5.742,0,0.0,-0.515,310.005,-1.3856000000000002,36.96,0.0,229.68800000000002,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,287.3996,-179.5,-80.3,5.742,0,0.0,-0.555,310.005,-6.5982,36.27,0.0,228.887,0.0,0
46913,-0.171,83.545,-0.5,0.0,-2.359,287.22020000000003,-179.4,-80.60000000000001,5.742,0,0.0,-0.53,310.14000000000004,-5.6745,36.18,0.0,228.809,0.0,0
46913,-0.682,83.545,0.0,0.0,-2.359,285.37710000000004,-179.4,-80.3,5.742,0,1.0,-0.525,310.005,1.4104,35.31,0.0,228.008,0.0,0
46913,-0.341,83.545,0.5,0.0,-2.359,283.5196,-181.10000000000002,-80.10000000000001,5.742,0,1.0,-0.515,310.005,2.1774,34.62,0.0,227.20700000000002,0.0,0
46913,-0.341,83.545,-0.5,0.0,-2.359,281.6588,-181.20000000000002,-80.3,5.742,0,0.0,-0.55,310.005,-3.761,34.53,0.0,226.406,0.0,0
46913,-0.853,83.545,0.0,0.0,-2.359,279.79810000000003,-183.5,-79.60000000000001,5.742,0,0.0,-0.525,309.915,-1.897,34.56,0.0,225.60500000000002,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,277.9307,-182.8,-80.10000000000001,5.742,0,0.0,-0.555,310.005,-3.1424000000000003,34.56,0.0,224.805,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,276.0534,-182.8,-80.3,5.742,0,0.0,-0.5,310.005,2.8372,34.32,0.0,224.00400000000002,0.0,0
46913,-0.171,83.545,-0.5,0.0,-2.359,274.1761,-182.8,-79.8,5.742,0,0.0,-0.54,310.005,3.4971,34.14,0.0,223.203,0.0,0
46913,-0.682,83.545,-0.5,0.0,-2.359,272.29470000000003,-184.20000000000002,-80.60000000000001,5.742,0,0.0,-0.53,310.005,-1.3856000000000002,33.81,0.0,222.40200000000002,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,270.4045,-184.3,-80.10000000000001,5.742,0,0.0,-0.52,310.14000000000004,1.3856000000000002,34.47,0.0,221.602,0.0,0
46913,-0.512,83.545,0.5,0.0,-2.359,268.512,-184.3,-80.3,5.742,0,0.0,-0.525,310.005,3.563,34.980000000000004,0.0,220.80100000000002,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,266.6194,-184.3,-80.10000000000001,5.742,0,0.0,-0.545,310.005,-1.8475000000000001,36.06,0.0,220.0,0.0,0
46913,-0.512,83.545,0.5,0.0,-2.359,264.7129,-185.70000000000002,-80.3,5.742,0,0.0,-0.545,309.915,-5.3693,36.36,0.0,219.199,0.0,0
46913,-0.512,83.545,-0.5,0.0,-2.359,262.8064,-188.0,-79.8,5.742,0,0.0,-0.55,309.915,-1.8063,36.57,0.0,218.39800000000002,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,260.9023,-185.60000000000002,-80.10000000000001,5.742,0,0.0,-0.53,310.005,2.9692000000000003,35.730000000000004,0.0,217.598,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,258.9866,-186.9,-80.3,5.742,0,0.0,-0.495,310.14000000000004,6.5075,35.01,0.0,216.797,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,257.0675,-186.9,-79.8,5.742,0,0.0,-0.5700000000000001,309.915,4.2889,35.31,0.0,215.996,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,255.1484,-186.9,-79.8,5.742,0,0.0,-0.53,310.005,-3.2991,34.800000000000004,0.0,215.19500000000002,0.0,0
46913,-0.512,83.545,-0.5,0.0,-2.359,253.22660000000002,-188.0,-80.10000000000001,5.742,0,0.0,-0.55,310.005,-5.3198,34.5,0.0,214.395,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,251.2965,-187.9,-80.10000000000001,5.742,0,0.0,-0.52,310.14000000000004,3.1012,34.35,0.0,213.59400000000002,0.0,0
46913,-0.682,83.545,0.0,0.0,-2.359,249.36630000000002,-188.0,-80.10000000000001,5.742,0,0.0,-0.53,310.14000000000004,1.7568000000000001,33.93,0.0,212.793,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,247.4344,-188.8,-80.3,5.742,0,0.0,-0.545,310.005,2.5733,34.38,0.0,211.99200000000002,0.0,0
46913,-0.512,83.545,0.5,0.0,-2.359,247.24550000000002,-188.9,-80.3,5.742,0,0.0,-0.53,310.005,1.9795,34.38,0.0,211.91400000000002,0.0,0
46913,-0.682,83.545,0.0,0.0,-2.359,245.3058,-188.9,-79.8,5.742,0,0.0,-0.5650000000000001,310.14000000000004,1.5836000000000001,34.14,0.0,211.113,0.0,0
46913,-0.512,83.545,0.5,0.0,-2.359,243.3685,-188.9,-80.10000000000001,5.742,0,-1.0,-0.52,310.005,-3.1672000000000002,34.5,0.0,210.31300000000002,0.0,0
46913,-0.682,83.545,0.5,0.0,-2.359,241.42870000000002,-189.0,-80.10000000000001,5.742,0,0.0,-0.54,310.14000000000004,-0.8908,35.46,0.0,209.512,0.0,0
46913,-0.682,83.545,-0.5,0.0,-2.359,239.48100000000002,-189.70000000000002,-79.8,5.742,0,0.0,-0.53,310.005,0.39590000000000003,36.36,0.0,208.711,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,237.5334,-189.60000000000002,-80.10000000000001,5.742,0,0.0,-0.535,309.915,-1.7815,37.11,0.0,207.91,0.0,0
46913,-0.853,83.545,-0.5,0.0,-2.359,235.5857,-192.10000000000002,-79.8,5.742,0,0.0,-0.515,310.14000000000004,-2.7713,37.230000000000004,0.0,207.109,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,233.63590000000002,-190.3,-80.3,5.742,0,0.0,-0.52,310.005,0.2639,36.27,0.0,206.309,0.0,0
46913,-0.341,83.545,-0.5,0.0,-2.359,231.68200000000002,-190.3,-80.3,5.742,0,0.0,-0.505,310.14000000000004,3.6950000000000003,35.1,0.0,205.508,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,229.7281,-190.3,-80.3,5.742,0,0.0,-0.545,310.005,0.8908,34.86,0.0,204.70700000000002,0.0,0
46913,-0.171,83.545,0.0,0.0,-2.359,227.77210000000002,-190.70000000000002,-80.3,5.742,0,0.0,-0.52,310.14000000000004,3.563,34.38,0.0,203.906,0.0,0
46913,-0.853,83.545,-0.5,0.0,-2.359,225.8137,-193.10000000000002,-79.8,5.742,0,0.0,-0.5650000000000001,310.14000000000004,2.3754,34.44,0.0,203.10500000000002,0.0,0
46913,-0.512,83.545,0.5,0.0,-2.359,223.85770000000002,-190.70000000000002,-79.60000000000001,5.742,0,0.0,-0.56,310.005,-2.3754,33.96,0.0,202.305,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,221.89880000000002,-190.9,-79.8,5.742,0,0.0,-0.505,310.005,-2.2764,33.96,0.0,201.50400000000002,0.0,0
46913,-0.341,83.545,0.5,0.0,-2.359,219.9376,-191.0,-80.10000000000001,5.742,0,0.0,-0.52,310.005,-2.3754,34.86,0.0,200.703,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,217.9764,-191.0,-80.10000000000001,5.742,0,0.0,-0.55,310.14000000000004,3.8600000000000003,35.82,0.0,199.90200000000002,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,216.01770000000002,-191.0,-80.10000000000001,5.742,0,0.0,-0.54,310.005,3.1672000000000002,36.27,0.0,199.102,0.0,0
46913,-0.682,83.545,0.0,0.0,-2.359,214.0557,-191.0,-80.10000000000001,5.742,0,0.0,-0.56,310.005,-0.7918000000000001,36.63,0.0,198.30100000000002,0.0,0
46913,-0.341,83.545,0.0,0.0,-2.359,212.0936,-191.0,-79.8,5.742,0,0.0,-0.53,310.005,-4.7507,35.97,0.0,197.5,0.0,0
46913,-0.512,83.545,-0.5,0.0,-2.359,210.1314,-191.10000000000002,-80.3,5.742,0,0.0,-0.52,310.14000000000004,-3.5301,35.04,0.0,196.699,0.0,0
46913,-0.341,83.545,-0.5,0.0,-2.359,208.1699,-193.5,-80.10000000000001,5.742,0,0.0,-0.52,310.005,1.4516,35.19,0.0,195.898,0.0,0
46913,-0.512,83.545,0.0,0.0,-2.359,206.21120000000002,-191.0,-80.10000000000001,5.742,0,0.0,-0.535,310.14000000000004,2.2764,35.46,0.0,195.098,0.0,0
