Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46902,-0.341,83.545,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,-1.0,-0.525,309.915,0.7423000000000001,34.05,0.0,257.832,0.0,0
46902,-0.682,83.545,-0.5,0.0,-1.875,350.0786,0.0,-0.2,5.742,0,-1.0,-0.5750000000000001,309.915,0.8083,34.59,0.0,257.832,0.0,0
46902,-0.682,83.545,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,0.0,-0.54,310.005,-0.066,34.26,0.0,257.832,0.0,0
46902,-0.682,83.545,0.5,0.0,-1.875,350.0786,0.0,0.0,5.742,0,-1.0,-0.52,310.14000000000004,0.6186,33.84,0.0,257.832,0.0,0
46902,-0.682,83.545,0.0,0.0,-1.875,350.0786,0.0,-1.3,5.742,0,0.0,-0.515,310.005,3.4971,33.0,0.0,257.832,0.0,0
46902,-0.682,83.545,0.0,0.0,-1.875,349.9995,0.0,-4.5,5.742,0,0.0,-0.515,310.005,-0.39590000000000003,32.04,0.0,257.793,0.0,0
46902,-0.682,83.545,-0.5,0.0,-1.875,349.8798,0.0,-7.9,5.742,0,0.0,-0.515,310.14000000000004,-2.2022,33.15,0.0,257.73400000000004,0.0,0
46902,-0.853,83.545,0.0,0.0,-1.875,349.64230000000003,-40.6,-15.0,5.742,0,-1.0,-0.495,310.005,2.3754,33.9,0.0,257.617,0.0,0
46902,-0.853,83.545,-0.5,0.0,-1.875,349.28520000000003,-40.6,-20.3,5.742,0,0.0,-0.47500000000000003,310.14000000000004,1.8887,35.19,0.0,257.44100000000003,0.0,0
46902,-0.853,83.545,-0.5,0.0,-1.875,348.81030000000004,-40.6,-27.200000000000003,5.742,0,2.0,-0.5750000000000001,310.005,-2.2846,35.52,0.0,257.207,0.0,0
