Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,350.0786,0.0,0.0,5.742,0,1.0,-0.53,310.005,0.7918000000000001,36.51,0.0,257.832,0.0,0
46816,-0.512,51.719,0.0,0.0,-1.5130000000000001,350.0786,0.0,0.0,5.742,0,2.0,-0.47500000000000003,309.915,0.0,36.39,0.0,257.832,0.0,0
46816,-0.682,51.719,0.0,0.0,-1.5130000000000001,350.0786,0.0,0.0,5.742,0,1.0,-0.535,310.005,-0.7918000000000001,36.18,0.0,257.832,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,350.0786,0.0,-0.2,5.742,0,2.0,-0.495,310.14000000000004,4.3878,36.06,0.0,257.832,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,350.0401,0.0,-3.3000000000000003,5.742,0,4.0,-0.47000000000000003,309.915,3.563,35.07,0.0,257.813,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,349.9589,0.0,-6.800000000000001,5.742,0,1.0,-0.41000000000000003,310.005,-4.486800000000001,33.96,0.0,257.773,0.0,0
46816,-0.512,51.719,0.0,0.0,-1.5130000000000001,349.76210000000003,-38.5,-11.1,5.742,0,2.0,-0.47500000000000003,310.005,-5.5425,32.910000000000004,0.0,257.676,0.0,0
46816,-0.853,51.719,0.0,0.0,-1.5130000000000001,349.44550000000004,-38.5,-18.0,5.742,0,2.0,-0.51,310.14000000000004,3.5301,33.42,0.0,257.52000000000004,0.0,0
46816,-0.853,51.719,0.0,0.0,-1.5130000000000001,349.0092,-79.10000000000001,-23.6,5.742,0,2.0,-0.505,310.005,2.5073000000000003,34.77,0.0,257.305,0.0,0
46816,-0.682,51.719,0.0,0.0,-1.5130000000000001,348.45320000000004,-79.10000000000001,-31.3,5.742,0,2.0,-0.47500000000000003,310.005,0.7918000000000001,36.57,0.0,257.031,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,347.74080000000004,-79.2,-38.6,5.742,0,2.0,-0.47500000000000003,310.14000000000004,-1.7155,37.08,0.0,256.68,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,346.8593,-80.0,-46.5,5.742,0,2.0,-0.465,310.005,-1.5836000000000001,36.96,0.0,256.25,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,345.8179,-121.0,-52.900000000000006,5.742,0,2.0,-0.49,310.14000000000004,2.9032,36.36,0.0,255.74200000000002,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,344.6576,-118.9,-59.5,5.742,0,1.0,-0.48,310.005,-0.6928000000000001,35.46,0.0,255.17600000000002,0.0,0
46816,-0.512,51.719,0.0,0.0,-1.5130000000000001,343.3353,-159.9,-65.9,5.742,0,0.0,-0.485,310.14000000000004,3.563,35.13,0.0,254.531,0.0,0
46816,-0.682,51.719,0.0,0.0,-1.5130000000000001,343.2164,-118.9,-66.60000000000001,5.742,0,0.0,-0.48,310.005,2.9692000000000003,35.160000000000004,0.0,254.473,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,341.7685,-161.70000000000002,-71.7,5.742,0,2.0,-0.47500000000000003,310.005,-0.37120000000000003,35.85,0.0,253.77,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,340.2282,-161.70000000000002,-75.7,5.742,0,1.0,-0.465,310.005,-0.9897,35.7,0.0,253.02700000000002,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,338.6506,-161.70000000000002,-78.8,5.742,0,1.0,-0.465,310.14000000000004,1.9795,35.19,0.0,252.26600000000002,0.0,0
46816,-0.682,51.719,0.0,0.0,-1.5130000000000001,338.4474,-203.20000000000002,-78.8,5.742,0,1.0,-0.455,310.14000000000004,3.1672000000000002,35.01,0.0,252.168,0.0,0
46816,-0.512,51.719,0.0,0.0,-1.5130000000000001,336.785,-205.0,-80.60000000000001,5.742,0,1.0,-0.465,309.915,-1.7815,34.2,0.0,251.36700000000002,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,335.1048,-165.70000000000002,-80.3,5.742,0,1.0,-0.48,310.005,0.0,33.69,0.0,250.566,0.0,0
46816,-0.512,51.719,0.0,0.0,-1.5130000000000001,333.4266,-163.6,-80.3,5.742,0,2.0,-0.49,310.005,-0.9567,34.11,0.0,249.76600000000002,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,331.7463,-163.70000000000002,-79.60000000000001,5.742,0,0.0,-0.465,309.915,-3.2991,34.62,0.0,248.965,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,330.04920000000004,-165.6,-79.8,5.742,0,-1.0,-0.46,309.915,-1.5176,36.0,0.0,248.16400000000002,0.0,0
46816,-0.682,51.719,0.0,0.0,-1.5130000000000001,328.3484,-165.6,-79.8,5.742,0,0.0,-0.47500000000000003,310.005,0.0,36.9,0.0,247.363,0.0,0
46816,-0.512,51.719,0.0,0.0,-1.5130000000000001,326.6496,-165.70000000000002,-79.60000000000001,5.742,0,1.0,-0.48,310.005,1.5176,36.96,0.0,246.56300000000002,0.0,0
46816,-0.682,51.719,0.0,0.0,-1.5130000000000001,324.9373,-167.6,-80.3,5.742,0,1.0,-0.48,310.005,2.5073000000000003,36.42,0.0,245.762,0.0,0
46816,-0.682,51.719,0.0,0.0,-1.5130000000000001,323.2154,-167.70000000000002,-79.3,5.742,0,1.0,-0.46,310.14000000000004,4.1239,35.1,0.0,244.961,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,321.49350000000004,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.14000000000004,3.9589000000000003,34.35,0.0,244.16000000000003,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,319.7658,-171.9,-80.10000000000001,5.742,0,0.0,-0.48,310.005,-1.0557,34.35,0.0,243.359,0.0,0
46816,-0.512,51.719,0.0,0.0,-1.5130000000000001,318.0249,-169.70000000000002,-80.10000000000001,5.742,0,2.0,-0.46,309.915,-4.8827,34.980000000000004,0.0,242.559,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,316.2819,-169.70000000000002,-79.60000000000001,5.742,0,1.0,-0.47000000000000003,310.14000000000004,-1.5836000000000001,35.07,0.0,241.758,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,314.5387,-169.9,-80.3,5.742,0,-1.0,-0.47000000000000003,310.005,1.9795,34.38,0.0,240.95700000000002,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,312.7746,-171.8,-79.8,5.742,0,0.0,-0.48,310.005,-1.3856000000000002,33.24,0.0,240.156,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,311.01050000000004,-174.0,-79.60000000000001,5.742,0,2.0,-0.5,310.005,-4.3548,33.660000000000004,0.0,239.35500000000002,0.0,0
46816,-0.682,51.719,0.0,0.0,-1.5130000000000001,309.2486,-171.8,-79.8,5.742,0,3.0,-0.48,310.14000000000004,2.5403000000000002,34.230000000000004,0.0,238.555,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,307.4694,-218.3,-79.8,5.742,0,0.0,-0.47500000000000003,309.915,2.6393,34.800000000000004,0.0,237.75400000000002,0.0,0
46816,-0.682,51.719,0.0,0.0,-1.5130000000000001,305.6845,-218.4,-79.60000000000001,5.742,0,0.0,-0.47000000000000003,309.915,-2.3094,35.7,0.0,236.953,0.0,0
46816,-0.682,51.719,0.0,0.0,-1.5130000000000001,303.8997,-218.4,-80.3,5.742,0,1.0,-0.46,310.14000000000004,-1.9795,35.46,0.0,236.15200000000002,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,302.1078,-218.60000000000002,-80.10000000000001,5.742,0,0.0,-0.485,309.915,1.3196,35.730000000000004,0.0,235.352,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,301.9298,-178.0,-79.8,5.742,0,1.0,-0.48,309.915,0.3299,35.730000000000004,0.0,235.27300000000002,0.0,0
46816,-0.512,51.719,0.0,0.0,-1.5130000000000001,300.127,-175.8,-80.10000000000001,5.742,0,2.0,-0.485,310.14000000000004,0.2227,35.52,0.0,234.473,0.0,0
46816,-0.512,51.719,0.0,0.0,-1.5130000000000001,298.322,-175.70000000000002,-79.8,5.742,0,1.0,-0.46,310.005,0.6846,34.68,0.0,233.672,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,296.5113,-223.20000000000002,-79.8,5.742,0,0.0,-0.49,310.005,-1.6001,34.53,0.0,232.871,0.0,0
46816,-0.682,51.719,0.0,0.0,-1.5130000000000001,294.6868,-223.20000000000002,-79.8,5.742,0,-1.0,-0.47500000000000003,309.915,-3.3651,34.26,0.0,232.07000000000002,0.0,0
46816,-0.512,51.719,0.0,0.0,-1.5130000000000001,292.8646,-220.9,-79.8,5.742,0,0.0,-0.455,310.005,0.7918000000000001,33.54,0.0,231.27,0.0,0
46816,-0.512,51.719,0.0,0.0,-1.5130000000000001,291.08340000000004,-177.6,-80.10000000000001,5.742,0,-2.0,-0.495,310.005,0.6598,33.54,0.0,230.488,0.0,0
46816,-1.0230000000000001,51.719,0.0,0.0,-1.5130000000000001,289.2427,-179.5,-79.8,5.742,0,1.0,-0.465,310.005,1.4351,33.21,0.0,229.68800000000002,0.0,0
46816,-0.512,51.719,0.0,0.0,-1.5130000000000001,287.3996,-179.5,-80.10000000000001,5.742,0,1.0,-0.48,310.14000000000004,4.3301,33.0,0.0,228.887,0.0,0
46816,-0.171,51.719,0.0,0.0,-1.5130000000000001,285.5565,-179.5,-79.8,5.742,0,1.0,-0.455,310.005,2.5733,33.480000000000004,0.0,228.086,0.0,0
46816,-1.0230000000000001,51.719,0.0,0.0,-1.5130000000000001,283.70070000000004,-181.20000000000002,-80.3,5.742,0,2.0,-0.5,310.005,-3.4971,34.44,0.0,227.28500000000003,0.0,0
46816,-0.512,51.719,0.0,0.0,-1.5130000000000001,281.84000000000003,-183.5,-80.10000000000001,5.742,0,1.0,-0.46,310.14000000000004,-1.4516,35.37,0.0,226.484,0.0,0
46816,-0.341,51.719,0.0,0.0,-1.5130000000000001,279.9816,-181.20000000000002,-79.8,5.742,0,-1.0,-0.47500000000000003,309.915,0.37120000000000003,35.94,0.0,225.684,0.0,0
46816,-0.682,51.719,0.0,0.0,-1.5130000000000001,279.79810000000003,-183.5,-79.60000000000001,5.742,0,1.0,-0.48,309.915,0.6598,35.97,0.0,225.60500000000002,0.0,0
46816,-0.682,51.719,0.0,0.0,-1.5130000000000001,277.9307,-182.8,-80.3,5.742,0,1.0,-0.485,310.005,-1.3196,36.21,0.0,224.805,0.0,0
