Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47007,-0.682,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,-0.2,5.742,0,1.0,-0.71,310.14000000000004,3.2579000000000002,37.77,0.0,257.832,0.0,0
47007,-0.853,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,0.0,5.742,0,1.0,-0.555,310.005,3.2166,37.35,0.0,257.832,0.0,0
47007,-0.682,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,0.2,5.742,0,0.0,-0.535,310.005,2.7713,37.35,0.0,257.832,0.0,0
47007,-0.682,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,0.0,5.742,0,0.0,-0.48,310.005,0.2639,37.230000000000004,0.0,257.832,0.0,0
47007,-0.682,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,-0.2,5.742,0,0.0,-0.48,310.005,-4.0909,36.84,0.0,257.832,0.0,0
47007,-0.853,67.62700000000001,-0.5,0.0,-1.996,350.0786,0.0,-2.3000000000000003,5.742,0,2.0,-0.505,309.915,0.3299,36.9,0.0,257.832,0.0,0
47007,-0.682,67.62700000000001,0.0,0.0,-1.996,349.9589,-40.6,-5.5,5.742,0,0.0,-0.505,309.915,-0.6598,37.86,0.0,257.773,0.0,0
47007,-0.853,67.62700000000001,0.0,0.0,-1.996,349.80060000000003,-40.6,-10.1,5.742,0,1.0,-0.495,310.005,1.5836000000000001,37.74,0.0,257.695,0.0,0
47007,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.996,349.5246,-38.6,-17.0,5.742,0,0.0,-0.425,310.14000000000004,5.0147,39.0,0.0,257.559,0.0,0
47007,-0.853,67.62700000000001,0.0,0.0,-1.996,349.48400000000004,-40.6,-16.7,5.742,0,0.0,-0.445,310.005,4.3383,39.12,0.0,257.539,0.0,0
