Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46950,-0.853,75.586,0.0,0.0,-1.21,350.0786,0.0,0.0,5.742,0,1.0,-0.505,310.005,-5.7157,34.26,0.0,257.832,0.0,0
46950,-1.194,75.586,0.0,0.0,-1.21,350.0786,0.0,0.0,5.742,0,1.0,-0.535,310.14000000000004,1.3856000000000002,33.78,0.0,257.832,0.0,0
46950,-1.364,75.586,0.0,0.0,-1.21,350.0786,0.0,0.0,5.742,0,1.0,-0.495,309.915,0.47840000000000005,33.72,0.0,257.832,0.0,0
46950,-0.853,75.586,0.0,0.0,-1.21,350.0786,0.0,0.0,5.742,0,2.0,-0.5700000000000001,309.915,-3.3486000000000002,34.14,0.0,257.832,0.0,0
46950,-0.853,75.586,0.0,0.0,-1.21,350.0786,0.0,-1.3,5.742,0,0.0,-0.6,310.005,0.1567,35.61,0.0,257.832,0.0,0
46950,-0.853,75.586,0.0,0.0,-1.21,349.9995,0.0,-4.3,5.742,0,1.0,-0.525,309.915,3.7115,36.99,0.0,257.793,0.0,0
46950,-0.853,75.586,0.0,0.0,-1.21,349.8798,0.0,-8.1,5.742,0,0.0,-0.53,310.14000000000004,2.1362,36.87,0.0,257.73400000000004,0.0,0
46950,-0.512,75.586,0.0,0.0,-1.21,349.8412,-38.6,-9.1,5.742,0,1.0,-0.43,310.14000000000004,1.9465000000000001,36.81,0.0,257.71500000000003,0.0,0
46950,-1.0230000000000001,75.586,0.0,0.0,-1.21,349.60380000000004,-38.5,-15.700000000000001,5.742,0,1.0,-0.53,310.005,-1.7155,35.49,0.0,257.598,0.0,0
46950,-1.194,75.586,0.0,0.0,-1.21,349.2466,-38.6,-21.1,5.742,0,1.0,-0.47500000000000003,309.915,0.7918000000000001,35.1,0.0,257.422,0.0,0
