Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46782,0.0,51.719,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,1.0,-0.61,310.005,-4.0909,40.68,0.0,257.832,0.0,0
46782,-0.171,51.719,0.5,0.0,-1.331,350.0786,0.0,0.0,5.742,0,1.0,-0.515,310.005,3.5218000000000003,40.2,0.0,257.832,0.0,0
46782,-0.512,51.719,0.0,0.0,-1.331,350.0786,0.0,0.2,5.742,0,1.0,-0.43,309.915,-1.3032000000000001,39.18,0.0,257.832,0.0,0
46782,-0.512,51.719,0.0,0.0,-1.331,350.0786,0.0,-0.2,5.742,0,1.0,-0.44,310.005,-4.3548,38.52,0.0,257.832,0.0,0
46782,-0.171,51.719,0.0,0.0,-1.331,350.0401,-38.5,-3.3000000000000003,5.742,0,1.0,-0.41500000000000004,310.005,1.0805,37.800000000000004,0.0,257.813,0.0,0
46782,-0.171,51.719,0.0,0.0,-1.331,349.9589,0.0,-5.800000000000001,5.742,0,1.0,-0.42,310.005,1.4351,37.35,0.0,257.773,0.0,0
46782,-0.171,51.719,0.0,0.0,-1.331,349.80060000000003,0.0,-10.9,5.742,0,1.0,-0.41000000000000003,310.005,2.1774,37.230000000000004,0.0,257.695,0.0,0
46782,-0.171,51.719,0.0,0.0,-1.331,349.48400000000004,-40.6,-17.0,5.742,0,1.0,-0.41000000000000003,309.915,1.4681,37.02,0.0,257.539,0.0,0
46782,-0.171,51.719,0.0,0.0,-1.331,349.0883,-38.6,-23.1,5.742,0,1.0,-0.41500000000000004,309.915,-4.3383,36.9,0.0,257.344,0.0,0
46782,-0.512,51.719,0.0,0.0,-1.331,348.5323,-40.6,-30.700000000000003,5.742,0,1.0,-0.405,310.14000000000004,0.1072,37.47,0.0,257.07,0.0,0
46782,-0.171,51.719,0.0,0.0,-1.331,347.82,-79.10000000000001,-38.1,5.742,0,1.0,-0.405,310.005,3.563,38.94,0.0,256.719,0.0,0
46782,0.0,51.719,-0.5,0.0,-1.331,346.9393,-79.9,-45.7,5.742,0,1.0,-0.43,309.915,-1.8475000000000001,40.32,0.0,256.289,0.0,0
46782,-0.512,51.719,0.0,0.0,-1.331,345.9389,-79.9,-52.6,5.742,0,1.0,-0.42,309.915,-4.9322,41.07,0.0,255.80100000000002,0.0,0
46782,0.0,51.719,0.0,0.0,-1.331,344.7765,-120.9,-58.7,5.742,0,1.0,-0.45,309.825,-3.0022,40.68,0.0,255.234,0.0,0
46782,-0.171,51.719,0.5,0.0,-1.331,343.4952,-121.0,-65.60000000000001,5.742,0,1.0,-0.395,310.005,-1.3196,39.39,0.0,254.609,0.0,0
46782,-0.512,51.719,0.0,0.0,-1.331,342.0919,-120.30000000000001,-70.9,5.742,0,1.0,-0.435,310.005,1.8310000000000002,38.94,0.0,253.92600000000002,0.0,0
46782,-0.341,51.719,0.0,0.0,-1.331,340.5537,-161.70000000000002,-75.3,5.742,0,1.0,-0.42,310.005,5.2621,38.46,0.0,253.18400000000003,0.0,0
46782,-0.512,51.719,0.0,0.0,-1.331,338.9325,-203.20000000000002,-78.3,5.742,0,1.0,-0.41500000000000004,310.005,2.8372,37.47,0.0,252.40200000000002,0.0,0
46782,-0.512,51.719,0.0,0.0,-1.331,337.3134,-161.70000000000002,-80.10000000000001,5.742,0,0.0,-0.4,310.005,0.7258,37.410000000000004,0.0,251.621,0.0,0
46782,-0.341,51.719,0.0,0.0,-1.331,335.6376,-163.6,-80.60000000000001,5.742,0,1.0,-0.435,310.005,0.066,37.83,0.0,250.82000000000002,0.0,0
46782,-0.171,51.719,0.0,0.0,-1.331,333.9175,-163.6,-80.3,5.742,0,1.0,-0.41500000000000004,310.005,-0.767,37.53,0.0,250.0,0.0,0
46782,0.0,51.719,0.0,0.0,-1.331,332.23720000000003,-163.6,-80.10000000000001,5.742,0,1.0,-0.425,309.915,-1.699,38.4,0.0,249.199,0.0,0
46782,-0.341,51.719,0.0,0.0,-1.331,332.0736,-163.6,-79.8,5.742,0,1.0,-0.44,309.915,-2.0455,38.43,0.0,249.121,0.0,0
46782,-0.341,51.719,0.0,0.0,-1.331,330.3804,-165.70000000000002,-79.3,5.742,0,1.0,-0.42,309.915,-2.3754,39.36,0.0,248.32000000000002,0.0,0
46782,-0.171,51.719,-0.5,0.0,-1.331,328.68170000000003,-165.6,-79.8,5.742,0,1.0,-0.4,309.915,0.5938,40.08,0.0,247.52,0.0,0
46782,0.0,51.719,0.0,0.0,-1.331,326.9809,-165.6,-80.10000000000001,5.742,0,0.0,-0.42,310.005,3.8270000000000004,40.5,0.0,246.71900000000002,0.0,0
46782,-0.341,51.719,0.0,0.0,-1.331,325.2726,-167.70000000000002,-80.3,5.742,0,1.0,-0.395,310.005,-1.1217000000000001,40.26,0.0,245.918,0.0,0
46782,-0.512,51.719,0.0,0.0,-1.331,323.5507,-167.70000000000002,-79.8,5.742,0,1.0,-0.425,310.14000000000004,4.6188,39.480000000000004,0.0,245.11700000000002,0.0,0
46782,-0.512,51.719,0.0,0.0,-1.331,321.82890000000003,-210.60000000000002,-79.8,5.742,0,1.0,-0.42,310.005,1.8475000000000001,39.39,0.0,244.316,0.0,0
46782,-0.512,51.719,0.0,0.0,-1.331,320.10740000000004,-210.20000000000002,-79.60000000000001,5.742,0,1.0,-0.45,310.005,-1.4516,38.76,0.0,243.51600000000002,0.0,0
46782,-0.512,51.719,0.0,0.0,-1.331,318.3644,-213.20000000000002,-79.8,5.742,0,1.0,-0.41000000000000003,309.915,-0.099,38.58,0.0,242.715,0.0,0
46782,-0.171,51.719,0.0,0.0,-1.331,316.6213,-213.3,-79.8,5.742,0,0.0,-0.405,310.005,-2.1114,38.160000000000004,0.0,241.91400000000002,0.0,0
46782,0.0,51.719,0.0,0.0,-1.331,314.8783,-213.3,-80.10000000000001,5.742,0,1.0,-0.42,310.005,-2.1114,38.4,0.0,241.113,0.0,0
46782,-0.341,51.719,0.0,0.0,-1.331,313.1204,-213.60000000000002,-79.60000000000001,5.742,0,1.0,-0.425,309.915,0.0,38.07,0.0,240.31300000000002,0.0,0
46782,-0.512,51.719,0.0,0.0,-1.331,311.35630000000003,-213.60000000000002,-79.60000000000001,5.742,0,0.0,-0.42,309.915,0.066,38.25,0.0,239.512,0.0,0
46782,-0.682,51.719,0.0,0.0,-1.331,309.5922,-215.8,-79.8,5.742,0,1.0,-0.44,310.005,-1.0557,39.39,0.0,238.711,0.0,0
46782,-0.682,51.719,0.0,0.0,-1.331,307.86150000000004,-173.8,-80.10000000000001,5.742,0,1.0,-0.41000000000000003,310.005,2.0455,40.89,0.0,237.93,0.0,0
46782,0.0,51.719,0.0,0.0,-1.331,306.0767,-173.8,-79.8,5.742,0,1.0,-0.39,309.915,1.5836000000000001,41.52,0.0,237.12900000000002,0.0,0
46782,-0.341,51.719,0.0,0.0,-1.331,305.85830000000004,-218.4,-79.60000000000001,5.742,0,1.0,-0.41500000000000004,310.14000000000004,2.3341000000000003,41.46,0.0,237.031,0.0,0
46782,-0.341,51.719,0.0,0.0,-1.331,304.0735,-218.4,-80.10000000000001,5.742,0,1.0,-0.405,310.005,2.7053000000000003,41.28,0.0,236.23000000000002,0.0,0
46782,-0.341,51.719,0.0,0.0,-1.331,302.32640000000004,-175.8,-79.8,5.742,0,1.0,-0.38,310.005,-1.3856000000000002,41.160000000000004,0.0,235.449,0.0,0
