Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47027,-0.512,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,0.0,-0.625,310.005,-1.5176,40.62,0.0,257.832,0.0,0
47027,-0.171,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,0.0,-0.59,309.915,-3.6125000000000003,40.65,0.0,257.832,0.0,0
47027,-0.341,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,0.0,-0.545,310.005,0.2639,39.81,0.0,257.832,0.0,0
47027,-0.512,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,0.0,5.742,0,0.0,-0.52,310.005,-0.28040000000000004,38.730000000000004,0.0,257.832,0.0,0
47027,-0.341,67.62700000000001,0.0,0.0,-2.54,350.0786,0.0,-0.5,5.742,0,0.0,-0.51,310.005,-1.0722,38.67,0.0,257.832,0.0,0
47027,-0.171,67.62700000000001,0.0,0.0,-2.54,350.0401,0.0,-3.5,5.742,0,0.0,-0.515,309.915,0.0165,37.980000000000004,0.0,257.813,0.0,0
47027,-0.341,67.62700000000001,0.0,0.0,-2.54,349.9203,-38.6,-6.800000000000001,5.742,0,0.0,-0.52,310.005,2.2434000000000003,38.25,0.0,257.754,0.0,0
47027,-0.171,67.62700000000001,0.5,0.0,-2.54,349.7215,-40.6,-11.9,5.742,0,0.0,-0.525,310.005,0.6598,38.07,0.0,257.656,0.0,0
47027,-0.853,67.62700000000001,0.0,0.0,-2.54,349.4049,-40.6,-18.5,5.742,0,0.0,-0.47500000000000003,310.005,-1.4681,37.71,0.0,257.5,0.0,0
47027,-0.512,67.62700000000001,0.5,0.0,-2.54,348.96860000000004,-79.10000000000001,-24.900000000000002,5.742,0,1.0,-0.485,310.005,1.9135000000000002,37.5,0.0,257.285,0.0,0
47027,-0.341,67.62700000000001,0.0,0.0,-2.54,348.4146,-38.6,-32.0,5.742,0,0.0,-0.51,310.005,5.1466,38.1,0.0,257.012,0.0,0
