Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46992,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,0.0,5.742,0,3.0,-0.62,310.005,4.0084,38.25,0.0,257.832,0.0,0
46992,-1.194,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,0.0,5.742,0,4.0,-0.49,310.005,-0.066,38.37,0.0,257.832,0.0,0
46992,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,0.0,5.742,0,-2.0,-0.52,310.005,-2.1774,37.95,0.0,257.832,0.0,0
46992,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,-0.2,5.742,0,-3.0,-0.465,309.915,2.1939,36.96,0.0,257.832,0.0,0
46992,-1.194,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,-2.0,5.742,0,-4.0,-0.495,310.005,-0.6103000000000001,36.54,0.0,257.832,0.0,0
46992,-1.194,67.62700000000001,0.0,0.0,-1.996,349.9995,0.0,-5.5,5.742,0,-3.0,-0.51,310.005,-2.9692000000000003,36.33,0.0,257.793,0.0,0
46992,-1.194,67.62700000000001,0.0,0.0,-1.996,349.8412,0.0,-9.4,5.742,0,-3.0,-0.535,310.14000000000004,2.5486,36.21,0.0,257.71500000000003,0.0,0
46992,-0.853,67.62700000000001,0.0,0.0,-1.996,349.5632,-40.6,-16.0,5.742,0,3.0,-0.45,309.915,3.5795000000000003,36.27,0.0,257.57800000000003,0.0,0
46992,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.996,349.1675,-38.5,-21.1,5.742,0,2.0,-0.505,310.005,-0.9238000000000001,37.410000000000004,0.0,257.38300000000004,0.0,0
46992,-1.364,67.62700000000001,0.0,0.0,-1.996,348.65200000000004,-79.2,-29.200000000000003,5.742,0,3.0,-0.38,310.005,-3.9342,37.56,0.0,257.129,0.0,0
46992,-1.194,67.62700000000001,0.0,0.0,-1.996,347.9783,-79.10000000000001,-36.9,5.742,0,3.0,-0.515,310.005,1.7155,37.56,0.0,256.797,0.0,0
