Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46987,-1.364,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,1.0,-0.73,310.005,-0.7918000000000001,35.37,0.0,257.832,0.0,0
46987,-1.194,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,0.0,-0.45,310.005,-1.4516,35.4,0.0,257.832,0.0,0
46987,-1.364,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,0.0,-0.51,309.915,1.3856000000000002,35.52,0.0,257.832,0.0,0
46987,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,-0.2,5.742,0,0.0,-0.515,310.005,-0.39590000000000003,35.46,0.0,257.832,0.0,0
46987,-1.364,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,-2.0,5.742,0,0.0,-0.445,310.005,-1.0557,35.4,0.0,257.832,0.0,0
46987,-1.194,67.62700000000001,0.0,0.0,-1.331,349.9995,0.0,-5.800000000000001,5.742,0,1.0,-0.41000000000000003,309.915,0.0,35.22,0.0,257.793,0.0,0
46987,-0.853,67.62700000000001,0.0,0.0,-1.331,349.8412,0.0,-9.9,5.742,0,0.0,-0.47500000000000003,310.005,-0.5279,36.27,0.0,257.71500000000003,0.0,0
46987,-0.853,67.62700000000001,0.0,0.0,-1.331,349.5632,-40.6,-16.3,5.742,0,1.0,-0.46,310.005,0.7918000000000001,37.74,0.0,257.57800000000003,0.0,0
46987,-1.364,67.62700000000001,0.0,0.0,-1.331,349.1675,-38.5,-22.3,5.742,0,0.0,-0.455,310.14000000000004,0.8908,37.56,0.0,257.38300000000004,0.0,0
46987,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.331,349.12690000000003,-40.6,-22.6,5.742,0,0.0,-0.455,310.14000000000004,1.2124000000000001,37.44,0.0,257.363,0.0,0
