Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46627,-0.682,67.62700000000001,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,0.0,-0.555,310.005,-4.7672,34.77,0.0,257.832,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,0.0,-0.48,310.14000000000004,1.1629,35.01,0.0,257.832,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,0.0,-0.525,309.915,3.8435,35.1,0.0,257.832,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,350.0786,0.0,-0.2,5.742,0,0.0,-0.505,310.005,0.7258,36.03,0.0,257.832,0.0,0
46627,-0.682,67.62700000000001,0.0,0.0,-1.815,350.0401,-38.5,-2.3000000000000003,5.742,0,0.0,-0.45,310.005,-5.344600000000001,36.72,0.0,257.813,0.0,0
46627,-0.682,67.62700000000001,0.0,0.0,-1.815,349.9589,-40.6,-5.800000000000001,5.742,0,0.0,-0.54,310.14000000000004,-0.1072,36.93,0.0,257.773,0.0,0
46627,-0.682,67.62700000000001,0.0,0.0,-1.815,349.80060000000003,-40.6,-9.9,5.742,0,0.0,-0.515,310.005,2.5733,36.42,0.0,257.695,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,349.5246,-38.6,-17.0,5.742,0,0.0,-0.455,310.005,5.476500000000001,36.45,0.0,257.559,0.0,0
46627,-1.194,67.62700000000001,0.0,0.0,-1.815,349.12690000000003,-40.6,-22.6,5.742,0,0.0,-0.495,309.915,-3.2166,36.84,0.0,257.363,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,348.5729,-79.10000000000001,-30.0,5.742,0,0.0,-0.495,310.14000000000004,-7.2828,36.45,0.0,257.09000000000003,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,347.89910000000003,-79.2,-37.300000000000004,5.742,0,0.0,-0.47500000000000003,310.14000000000004,2.6558,35.76,0.0,256.75800000000004,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,347.0192,-121.0,-44.7,5.742,0,0.0,-0.45,310.14000000000004,4.9734,35.43,0.0,256.32800000000003,0.0,0
46627,-0.682,67.62700000000001,0.0,0.0,-1.815,346.0188,-118.9,-51.1,5.742,0,0.0,-0.47000000000000003,310.005,-3.1177,34.83,0.0,255.84,0.0,0
46627,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.815,344.8974,-121.0,-58.7,5.742,0,0.0,-0.46,310.005,-4.594,34.35,0.0,255.293,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,343.6162,-120.9,-65.10000000000001,5.742,0,0.0,-0.5,310.14000000000004,2.5486,34.83,0.0,254.668,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,342.2122,-163.70000000000002,-70.7,5.742,0,0.0,-0.48,310.14000000000004,2.9445,36.09,0.0,253.984,0.0,0
46627,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.815,340.7154,-161.70000000000002,-74.7,5.742,0,0.0,-0.485,309.915,-2.9032,37.2,0.0,253.262,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,339.13570000000004,-161.70000000000002,-78.3,5.742,0,0.0,-0.5,310.005,-4.66,36.96,0.0,252.5,0.0,0
46627,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.815,337.4751,-161.70000000000002,-79.8,5.742,0,0.0,-0.54,310.005,-2.8537000000000003,36.78,0.0,251.699,0.0,0
46627,-1.0230000000000001,67.62700000000001,0.5,0.0,-1.815,335.8012,-165.70000000000002,-80.9,5.742,0,0.0,-0.46,309.915,-0.39590000000000003,36.93,0.0,250.89800000000002,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,334.0811,-205.60000000000002,-80.60000000000001,5.742,0,0.0,-0.425,310.005,0.39590000000000003,36.75,0.0,250.078,0.0,0
46627,-0.853,67.62700000000001,0.5,0.0,-1.815,332.4008,-163.6,-80.3,5.742,0,0.0,-0.47000000000000003,310.005,4.4208,36.99,0.0,249.27700000000002,0.0,0
46627,-0.682,67.62700000000001,0.0,0.0,-1.815,330.7138,-165.6,-79.60000000000001,5.742,0,0.0,-0.47500000000000003,309.915,3.0517000000000003,36.81,0.0,248.477,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,329.01300000000003,-165.6,-79.3,5.742,0,0.0,-0.425,310.14000000000004,1.4929000000000001,36.63,0.0,247.67600000000002,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,327.31210000000004,-208.10000000000002,-79.60000000000001,5.742,0,0.0,-0.47500000000000003,310.005,0.0907,36.660000000000004,0.0,246.875,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,325.65090000000004,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.465,310.14000000000004,2.7960000000000003,35.88,0.0,246.09400000000002,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,323.9291,-167.6,-79.8,5.742,0,0.0,-0.46,310.005,-1.3609,35.52,0.0,245.293,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,323.76140000000004,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.505,310.005,-1.1877,35.58,0.0,245.215,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,322.03950000000003,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.46,310.005,-3.4311000000000003,36.09,0.0,244.41400000000002,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,320.3176,-167.70000000000002,-79.8,5.742,0,0.0,-0.445,310.14000000000004,0.2639,36.93,0.0,243.613,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,318.5776,-169.8,-79.8,5.742,0,0.0,-0.46,310.005,3.9589000000000003,37.17,0.0,242.81300000000002,0.0,0
46627,-0.853,67.62700000000001,0.5,0.0,-1.815,316.8346,-169.70000000000002,-80.3,5.742,0,0.0,-0.43,309.915,-3.4311000000000003,37.71,0.0,242.012,0.0,0
46627,-0.682,67.62700000000001,0.0,0.0,-1.815,315.0916,-169.70000000000002,-80.10000000000001,5.742,0,0.0,-0.46,310.005,-2.0125,37.83,0.0,241.211,0.0,0
46627,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.815,313.334,-171.8,-80.10000000000001,5.742,0,0.0,-0.46,310.005,1.1877,37.35,0.0,240.41000000000003,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,311.5699,-174.0,-79.60000000000001,5.742,0,0.0,-0.47500000000000003,310.14000000000004,4.8497,37.68,0.0,239.609,0.0,0
46627,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.815,309.808,-171.8,-80.3,5.742,0,0.0,-0.46,310.14000000000004,3.9589000000000003,36.87,0.0,238.809,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,308.0353,-173.8,-80.60000000000001,5.742,0,0.0,-0.46,310.005,0.0,36.24,0.0,238.008,0.0,0
46627,-0.512,67.62700000000001,0.0,0.0,-1.815,306.2505,-173.8,-80.3,5.742,0,0.0,-0.47000000000000003,309.915,-3.8270000000000004,35.76,0.0,237.20700000000002,0.0,0
46627,-1.364,67.62700000000001,0.0,0.0,-1.815,304.4657,-173.8,-80.10000000000001,5.742,0,0.0,-0.485,310.14000000000004,-5.5425,35.76,0.0,236.406,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,302.6779,-178.0,-80.10000000000001,5.742,0,0.0,-0.44,310.005,2.2434000000000003,36.12,0.0,235.60500000000002,0.0,0
46627,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.815,300.87510000000003,-175.8,-80.3,5.742,0,0.0,-0.47500000000000003,310.005,1.7815,36.24,0.0,234.805,0.0,0
46627,-0.853,67.62700000000001,0.0,0.0,-1.815,299.0701,-175.8,-80.3,5.742,0,0.0,-0.47000000000000003,309.915,-6.5982,36.480000000000004,0.0,234.00400000000002,0.0,0
