Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47035,0.171,75.586,0.0,0.0,-1.452,350.0786,0.0,-0.2,5.742,0,0.0,-0.54,310.005,0.9897,37.050000000000004,0.0,257.832,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,350.0786,0.0,0.0,5.742,0,-1.0,-0.5,310.005,0.5279,38.730000000000004,0.0,257.832,0.0,0
47035,0.171,75.586,0.5,0.0,-1.452,350.0786,0.0,0.0,5.742,0,-1.0,-0.48,310.14000000000004,-1.7815,39.63,0.0,257.832,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,350.0786,0.0,-0.5,5.742,0,0.0,-0.49,310.005,3.3651,40.68,0.0,257.832,0.0,0
47035,0.0,75.586,0.5,0.0,-1.452,350.0401,0.0,-3.5,5.742,0,0.0,-0.43,309.915,-4.8002,40.14,0.0,257.813,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,349.9203,-38.6,-6.6000000000000005,5.742,0,0.0,-0.505,310.005,-5.6745,39.33,0.0,257.754,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,349.7215,-40.6,-12.4,5.742,0,0.0,-0.485,310.005,2.7053000000000003,38.910000000000004,0.0,257.656,0.0,0
47035,0.341,75.586,0.5,0.0,-1.452,349.4049,-40.6,-18.3,5.742,0,-1.0,-0.43,309.915,1.5176,38.64,0.0,257.5,0.0,0
47035,-0.171,75.586,0.0,0.0,-1.452,348.96860000000004,-40.6,-24.900000000000002,5.742,0,-1.0,-0.465,310.005,-3.4971,39.36,0.0,257.285,0.0,0
47035,0.341,75.586,-0.5,0.0,-1.452,348.374,-79.2,-31.700000000000003,5.742,0,-1.0,-0.485,309.915,-1.8063,38.910000000000004,0.0,256.992,0.0,0
47035,0.171,75.586,0.5,0.0,-1.452,347.6609,-79.9,-39.4,5.742,0,-1.0,-0.485,310.005,5.724,38.85,0.0,256.641,0.0,0
47035,0.171,75.586,0.0,0.0,-1.452,346.7384,-120.9,-47.300000000000004,5.742,0,-1.0,-0.505,309.915,0.3299,37.59,0.0,256.19100000000003,0.0,0
47035,0.171,75.586,0.5,0.0,-1.452,345.699,-118.9,-53.400000000000006,5.742,0,0.0,-0.5,309.915,1.4516,37.89,0.0,255.68400000000003,0.0,0
47035,0.171,75.586,0.0,0.0,-1.452,344.5366,-121.0,-60.0,5.742,0,0.0,-0.52,310.005,-0.43710000000000004,38.67,0.0,255.11700000000002,0.0,0
47035,0.171,75.586,0.5,0.0,-1.452,343.2164,-118.9,-66.60000000000001,5.742,0,0.0,-0.485,309.915,-1.2537,40.08,0.0,254.473,0.0,0
47035,0.341,75.586,-0.5,0.0,-1.452,341.7685,-161.70000000000002,-71.7,5.742,0,0.0,-0.465,309.915,-1.2784,40.32,0.0,253.77,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,340.2282,-161.70000000000002,-75.7,5.742,0,-1.0,-0.505,310.005,1.1877,40.38,0.0,253.02700000000002,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,338.6091,-161.70000000000002,-78.8,5.742,0,0.0,-0.49,310.005,2.3754,39.300000000000004,0.0,252.246,0.0,0
47035,0.171,75.586,0.0,0.0,-1.452,336.99,-161.70000000000002,-80.60000000000001,5.742,0,0.0,-0.515,309.915,2.3094,39.480000000000004,0.0,251.465,0.0,0
47035,0.512,75.586,0.0,0.0,-1.452,335.2705,-163.6,-81.10000000000001,5.742,0,0.0,-0.485,310.005,-0.19790000000000002,39.21,0.0,250.645,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,333.59020000000004,-163.6,-80.10000000000001,5.742,0,0.0,-0.505,310.005,0.46190000000000003,39.0,0.0,249.84400000000002,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,331.91,-163.6,-79.8,5.742,0,0.0,-0.47500000000000003,309.915,-1.9382000000000001,38.730000000000004,0.0,249.043,0.0,0
47035,0.171,75.586,0.0,0.0,-1.452,330.2148,-165.6,-79.60000000000001,5.742,0,0.0,-0.47500000000000003,310.005,-1.9795,38.01,0.0,248.24200000000002,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,328.514,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.485,310.005,1.9795,37.17,0.0,247.441,0.0,0
47035,0.341,75.586,0.5,0.0,-1.452,326.81530000000004,-165.6,-80.10000000000001,5.742,0,0.0,-0.51,310.14000000000004,3.6538000000000004,37.230000000000004,0.0,246.64100000000002,0.0,0
47035,-0.171,75.586,0.0,0.0,-1.452,325.10490000000004,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.48,309.915,-0.0495,38.28,0.0,245.84,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,323.3831,-167.6,-79.8,5.742,0,-1.0,-0.505,310.005,-2.9692000000000003,39.21,0.0,245.03900000000002,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,321.6612,-167.70000000000002,-80.3,5.742,0,0.0,-0.5,310.005,-0.132,40.050000000000004,0.0,244.238,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,319.9377,-169.70000000000002,-79.3,5.742,0,0.0,-0.51,310.005,2.5568,40.35,0.0,243.43800000000002,0.0,0
47035,0.512,75.586,0.0,0.0,-1.452,318.19460000000004,-169.8,-80.3,5.742,0,-1.0,-0.485,310.005,-1.2702,39.81,0.0,242.637,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,316.45160000000004,-169.70000000000002,-79.8,5.742,0,0.0,-0.505,310.005,0.0,39.57,0.0,241.836,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,316.2819,-169.70000000000002,-79.8,5.742,0,0.0,-0.505,310.005,0.0,39.6,0.0,241.758,0.0,0
47035,0.512,75.586,0.0,0.0,-1.452,314.5387,-169.9,-80.10000000000001,5.742,0,0.0,-0.47500000000000003,310.005,-1.3196,38.97,0.0,240.95700000000002,0.0,0
47035,0.171,75.586,0.0,0.0,-1.452,312.7746,-171.8,-80.10000000000001,5.742,0,0.0,-0.495,310.005,-2.6393,39.18,0.0,240.156,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,311.01050000000004,-174.0,-80.3,5.742,0,0.0,-0.485,310.005,0.0,38.52,0.0,239.35500000000002,0.0,0
47035,0.341,75.586,-0.5,0.0,-1.452,309.2486,-171.8,-79.8,5.742,0,0.0,-0.485,309.915,3.2331000000000003,37.74,0.0,238.555,0.0,0
47035,0.341,75.586,0.5,0.0,-1.452,307.4694,-173.8,-79.8,5.742,0,0.0,-0.485,310.005,0.132,37.17,0.0,237.75400000000002,0.0,0
47035,0.171,75.586,0.0,0.0,-1.452,305.6845,-173.8,-79.8,5.742,0,0.0,-0.49,309.915,-2.8372,37.17,0.0,236.953,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,303.8997,-218.4,-80.10000000000001,5.742,0,0.0,-0.5,310.005,1.0557,38.61,0.0,236.15200000000002,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,302.1078,-218.60000000000002,-80.10000000000001,5.742,0,-1.0,-0.47500000000000003,310.005,2.1114,39.6,0.0,235.352,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,300.3028,-218.5,-79.8,5.742,0,0.0,-0.49,310.005,1.4516,40.29,0.0,234.55100000000002,0.0,0
47035,0.171,75.586,0.0,0.0,-1.452,298.4977,-220.9,-79.8,5.742,0,0.0,-0.48,309.915,-2.0455,40.44,0.0,233.75,0.0,0
47035,0.171,75.586,0.5,0.0,-1.452,296.689,-223.20000000000002,-80.10000000000001,5.742,0,-1.0,-0.505,310.14000000000004,1.3196,40.32,0.0,232.949,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,294.8645,-223.20000000000002,-79.8,5.742,0,-1.0,-0.47500000000000003,310.005,1.3196,39.81,0.0,232.14800000000002,0.0,0
47035,0.171,75.586,0.0,0.0,-1.452,293.0423,-220.9,-80.10000000000001,5.742,0,0.0,-0.485,310.005,3.9589000000000003,38.64,0.0,231.348,0.0,0
47035,0.171,75.586,0.0,0.0,-1.452,291.261,-180.0,-79.8,5.742,0,0.0,-0.47500000000000003,309.915,-3.5301,38.34,0.0,230.566,0.0,0
47035,0.171,75.586,0.0,0.0,-1.452,289.42220000000003,-179.5,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.14000000000004,-1.0557,37.71,0.0,229.76600000000002,0.0,0
47035,0.512,75.586,0.0,0.0,-1.452,287.57910000000004,-179.5,-79.8,5.742,0,0.0,-0.505,310.14000000000004,4.3878,36.96,0.0,228.965,0.0,0
47035,0.171,75.586,-0.5,0.0,-1.452,285.736,-179.5,-79.8,5.742,0,0.0,-0.465,310.005,5.1466,37.77,0.0,228.16400000000002,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,283.88190000000003,-181.20000000000002,-80.10000000000001,5.742,0,0.0,-0.48,310.005,-2.2764,38.22,0.0,227.363,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,282.0235,-181.20000000000002,-79.8,5.742,0,0.0,-0.5,310.005,-4.7507,38.88,0.0,226.56300000000002,0.0,0
47035,0.171,75.586,0.0,0.0,-1.452,280.1628,-181.20000000000002,-80.3,5.742,0,-1.0,-0.505,309.915,0.3299,38.85,0.0,225.762,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,278.29630000000003,-182.8,-80.10000000000001,5.742,0,0.0,-0.505,310.005,-0.132,39.87,0.0,224.961,0.0,0
47035,0.171,75.586,0.0,0.0,-1.452,276.41900000000004,-182.8,-80.10000000000001,5.742,0,0.0,-0.48,310.005,0.5279,40.14,0.0,224.16,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,274.5417,-185.20000000000002,-80.3,5.742,0,0.0,-0.495,310.14000000000004,4.6188,40.71,0.0,223.359,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,272.66560000000004,-184.0,-80.10000000000001,5.742,0,0.0,-0.48,310.005,-0.7918000000000001,39.78,0.0,222.559,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,270.7731,-184.3,-79.8,5.742,0,0.0,-0.47500000000000003,310.005,-1.4516,39.09,0.0,221.758,0.0,0
47035,0.341,75.586,0.0,0.0,-1.452,268.88050000000004,-184.3,-79.8,5.742,0,0.0,-0.495,310.005,1.9465000000000001,37.410000000000004,0.0,220.95700000000002,0.0,0
47035,0.171,75.586,0.0,0.0,-1.452,266.988,-184.3,-79.8,5.742,0,0.0,-0.485,310.005,2.3754,36.480000000000004,0.0,220.156,0.0,0
47035,0.341,75.586,-0.5,0.0,-1.452,266.8037,-184.3,-80.60000000000001,5.742,0,0.0,-0.49,310.14000000000004,2.7465,36.45,0.0,220.078,0.0,0
47035,0.171,75.586,-0.5,0.0,-1.452,264.8986,-185.60000000000002,-80.3,5.742,0,0.0,-0.525,310.005,1.5836000000000001,36.54,0.0,219.27700000000002,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,262.9944,-185.70000000000002,-80.3,5.742,0,0.0,-0.47500000000000003,310.005,-4.2889,37.35,0.0,218.477,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,261.0879,-185.70000000000002,-80.3,5.742,0,0.0,-0.48,310.005,-4.7507,38.4,0.0,217.67600000000002,0.0,0
47035,0.0,75.586,0.5,0.0,-1.452,259.1735,-186.8,-80.3,5.742,0,0.0,-0.485,310.005,0.9238000000000001,38.94,0.0,216.875,0.0,0
47035,0.0,75.586,0.0,0.0,-1.452,257.25440000000003,-186.8,-80.3,5.742,0,-1.0,-0.495,310.005,0.5114000000000001,39.480000000000004,0.0,216.074,0.0,0
