Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46713,0.171,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,0.0,-0.64,310.14000000000004,-2.994,37.83,0.0,257.832,0.0,0
46713,0.171,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,0.0,-0.47000000000000003,310.005,5.0806000000000004,37.980000000000004,0.0,257.832,0.0,0
46713,0.341,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,0.2,5.742,0,0.0,-0.435,310.005,2.3589,36.9,0.0,257.832,0.0,0
46713,0.171,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,0.0,-0.425,309.915,-4.6023000000000005,35.37,0.0,257.832,0.0,0
46713,0.171,67.62700000000001,0.0,0.0,-1.331,350.0786,0.0,-0.5,5.742,0,0.0,-0.485,310.005,-0.132,35.46,0.0,257.832,0.0,0
46713,0.171,67.62700000000001,0.0,0.0,-1.331,350.0401,0.0,-3.8000000000000003,5.742,0,-1.0,-0.455,310.005,3.1507,35.61,0.0,257.813,0.0,0
46713,0.341,67.62700000000001,0.0,0.0,-1.331,349.9203,0.0,-6.800000000000001,5.742,0,0.0,-0.495,310.005,-0.5444,35.94,0.0,257.754,0.0,0
46713,0.341,67.62700000000001,0.0,0.0,-1.331,349.7215,-40.6,-12.4,5.742,0,0.0,-0.45,310.005,-1.7815,35.730000000000004,0.0,257.656,0.0,0
46713,0.682,67.62700000000001,0.0,0.0,-1.331,349.4049,-40.6,-19.1,5.742,0,0.0,-0.465,310.14000000000004,2.5486,34.800000000000004,0.0,257.5,0.0,0
46713,0.0,67.62700000000001,0.0,0.0,-1.331,349.3643,-40.6,-19.5,5.742,0,-1.0,-0.445,310.14000000000004,3.0682,34.74,0.0,257.48,0.0,0
46713,0.0,67.62700000000001,0.0,0.0,-1.331,348.8895,-79.10000000000001,-26.1,5.742,0,0.0,-0.465,310.005,2.7713,34.56,0.0,257.24600000000004,0.0,0
46713,0.341,67.62700000000001,0.0,0.0,-1.331,348.29490000000004,-79.10000000000001,-33.300000000000004,5.742,0,-1.0,-0.47000000000000003,310.14000000000004,-1.6826,35.01,0.0,256.95300000000003,0.0,0
46713,0.341,67.62700000000001,0.0,0.0,-1.331,347.5399,-80.0,-40.9,5.742,0,0.0,-0.455,310.005,-1.5836000000000001,36.15,0.0,256.582,0.0,0
46713,0.171,67.62700000000001,0.0,0.0,-1.331,346.6195,-79.9,-48.300000000000004,5.742,0,-1.0,-0.455,310.005,-1.8475000000000001,37.050000000000004,0.0,256.13300000000004,0.0,0
46713,0.171,67.62700000000001,0.0,0.0,-1.331,345.53700000000003,-121.0,-54.400000000000006,5.742,0,0.0,-0.455,310.005,-4.486800000000001,37.83,0.0,255.60500000000002,0.0,0
46713,0.171,67.62700000000001,0.0,0.0,-1.331,344.3378,-159.9,-61.0,5.742,0,0.0,-0.46,310.005,0.5279,37.56,0.0,255.02,0.0,0
46713,0.682,67.62700000000001,0.0,0.0,-1.331,343.01550000000003,-159.9,-66.9,5.742,0,0.0,-0.43,310.005,2.2434000000000003,37.08,0.0,254.375,0.0,0
46713,0.171,67.62700000000001,0.0,0.0,-1.331,341.56530000000004,-161.70000000000002,-72.5,5.742,0,-4.0,-0.445,310.005,1.5836000000000001,36.24,0.0,253.67200000000003,0.0,0
46713,0.512,67.62700000000001,0.0,0.0,-1.331,340.0271,-161.70000000000002,-76.3,5.742,0,0.0,-0.47000000000000003,309.915,-3.8270000000000004,36.27,0.0,252.93,0.0,0
46713,0.171,67.62700000000001,0.0,0.0,-1.331,338.406,-163.70000000000002,-79.60000000000001,5.742,0,1.0,-0.51,309.915,-1.5176,35.730000000000004,0.0,252.14800000000002,0.0,0
46713,0.171,67.62700000000001,0.0,0.0,-1.331,336.7452,-163.6,-80.3,5.742,0,0.0,-0.44,310.005,-1.3196,35.85,0.0,251.348,0.0,0
46713,0.341,67.62700000000001,0.0,0.0,-1.331,335.023,-205.5,-80.60000000000001,5.742,0,0.0,-0.47000000000000003,310.14000000000004,4.5858,35.49,0.0,250.52700000000002,0.0,0
46713,0.0,67.62700000000001,0.0,0.0,-1.331,334.8593,-163.70000000000002,-80.10000000000001,5.742,0,0.0,-0.455,310.14000000000004,4.8415,35.4,0.0,250.449,0.0,0
46713,0.171,67.62700000000001,0.0,0.0,-1.331,333.1791,-165.70000000000002,-79.3,5.742,0,-3.0,-0.47500000000000003,310.005,3.2826,35.160000000000004,0.0,249.64800000000002,0.0,0
46713,0.341,67.62700000000001,0.0,0.0,-1.331,331.5009,-163.6,-79.8,5.742,0,1.0,-0.455,310.005,-1.3856000000000002,35.160000000000004,0.0,248.848,0.0,0
46713,0.341,67.62700000000001,0.0,0.0,-1.331,329.80080000000004,-165.6,-79.60000000000001,5.742,0,-1.0,-0.445,309.915,-2.4661,35.910000000000004,0.0,248.04700000000003,0.0,0
46713,0.512,67.62700000000001,-0.5,0.0,-1.331,329.6351,-165.70000000000002,-79.60000000000001,5.742,0,-3.0,-0.45,309.915,-2.4743,35.94,0.0,247.96900000000002,0.0,0
46713,0.341,67.62700000000001,0.0,0.0,-1.331,327.9343,-165.6,-79.8,5.742,0,-1.0,-0.45,310.005,-2.7713,36.69,0.0,247.168,0.0,0
46713,0.171,67.62700000000001,0.0,0.0,-1.331,326.2334,-165.70000000000002,-79.8,5.742,0,-1.0,-0.455,309.915,-2.0455,37.47,0.0,246.36700000000002,0.0,0
46713,0.171,67.62700000000001,0.0,0.0,-1.331,324.5159,-169.8,-79.60000000000001,5.742,0,2.0,-0.465,309.915,-1.0557,38.28,0.0,245.566,0.0,0
