Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46621,-0.512,67.62700000000001,0.0,0.0,-1.089,350.0786,0.0,0.0,5.742,0,0.0,-0.67,310.005,0.42060000000000003,34.980000000000004,0.0,257.832,0.0,0
46621,-0.512,67.62700000000001,0.0,0.0,-1.089,350.0786,0.0,0.0,5.742,0,0.0,-0.515,309.915,-4.998200000000001,34.2,0.0,257.832,0.0,0
46621,-0.682,67.62700000000001,0.0,0.0,-1.089,350.0786,0.0,0.0,5.742,0,0.0,-0.535,310.005,-3.8930000000000002,34.08,0.0,257.832,0.0,0
46621,-0.512,67.62700000000001,0.0,0.0,-1.089,350.0786,0.0,-0.5,5.742,0,0.0,-0.505,310.005,1.3856000000000002,35.7,0.0,257.832,0.0,0
46621,-0.853,67.62700000000001,0.0,0.0,-1.089,350.0401,0.0,-3.8000000000000003,5.742,0,0.0,-0.485,310.14000000000004,2.3341000000000003,37.230000000000004,0.0,257.813,0.0,0
46621,-0.171,67.62700000000001,0.0,0.0,-1.089,349.9203,0.0,-7.1000000000000005,5.742,0,0.0,-0.5,310.005,-1.5836000000000001,37.980000000000004,0.0,257.754,0.0,0
46621,-0.341,67.62700000000001,0.0,0.0,-1.089,349.7215,0.0,-12.700000000000001,5.742,0,0.0,-0.495,310.14000000000004,5.1714,37.77,0.0,257.656,0.0,0
46621,-0.853,67.62700000000001,0.0,0.0,-1.089,349.3643,-40.6,-19.1,5.742,0,0.0,-0.465,310.14000000000004,3.8270000000000004,36.660000000000004,0.0,257.48,0.0,0
46621,-0.853,67.62700000000001,0.0,0.0,-1.089,348.93,-38.6,-25.400000000000002,5.742,0,0.0,-0.525,310.005,-0.7918000000000001,36.12,0.0,257.266,0.0,0
46621,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.089,348.8895,-40.5,-26.1,5.742,0,0.0,-0.515,310.005,-1.5836000000000001,36.06,0.0,257.24600000000004,0.0,0
46621,-0.853,67.62700000000001,0.0,0.0,-1.089,348.2563,-79.2,-33.5,5.742,0,0.0,-0.465,310.14000000000004,-1.0557,36.45,0.0,256.934,0.0,0
46621,-0.512,67.62700000000001,0.0,0.0,-1.089,347.50100000000003,-79.9,-40.4,5.742,0,0.0,-0.51,310.005,-0.9238000000000001,36.63,0.0,256.563,0.0,0
46621,-0.682,67.62700000000001,0.0,0.0,-1.089,346.5785,-79.9,-48.300000000000004,5.742,0,0.0,-0.51,310.005,0.7918000000000001,36.15,0.0,256.113,0.0,0
46621,-0.853,67.62700000000001,0.0,0.0,-1.089,345.4981,-120.9,-55.1,5.742,0,0.0,-0.465,310.005,-3.1672000000000002,35.19,0.0,255.586,0.0,0
