Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46834,-0.171,51.719,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,1.0,-0.61,310.005,0.9897,33.93,0.0,257.832,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,2.0,-0.54,309.915,4.305400000000001,32.88,0.0,257.832,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,350.0786,0.0,0.2,5.742,0,1.0,-0.46,310.005,0.42060000000000003,34.35,0.0,257.832,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,1.0,-0.515,310.14000000000004,-2.4001,35.730000000000004,0.0,257.832,0.0,0
46834,-0.341,51.719,0.5,0.0,-1.815,350.0786,0.0,-1.5,5.742,0,1.0,-0.455,310.005,0.8825000000000001,36.87,0.0,257.832,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,349.9995,0.0,-5.5,5.742,0,1.0,-0.465,310.14000000000004,0.0412,37.65,0.0,257.793,0.0,0
46834,0.0,51.719,0.0,0.0,-1.815,349.8412,-38.6,-8.6,5.742,0,1.0,-0.47000000000000003,310.005,0.0,36.99,0.0,257.71500000000003,0.0,0
46834,-0.341,51.719,-0.5,0.0,-1.815,349.60380000000004,0.0,-15.200000000000001,5.742,0,1.0,-0.41500000000000004,310.005,-0.5938,36.45,0.0,257.598,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,349.206,-40.6,-21.900000000000002,5.742,0,1.0,-0.45,310.005,-2.5733,35.550000000000004,0.0,257.402,0.0,0
46834,-0.341,51.719,0.5,0.0,-1.815,348.6906,-40.6,-28.700000000000003,5.742,0,1.0,-0.4,310.005,4.3548,35.01,0.0,257.148,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,348.0168,-79.2,-36.300000000000004,5.742,0,1.0,-0.44,309.915,1.1382,34.62,0.0,256.81600000000003,0.0,0
46834,-0.341,51.719,0.5,0.0,-1.815,347.9377,-79.10000000000001,-36.9,5.742,0,1.0,-0.38,309.915,0.132,34.65,0.0,256.777,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,347.0992,-120.9,-43.9,5.742,0,1.0,-0.445,310.14000000000004,-0.6268,35.61,0.0,256.367,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,346.1377,-82.0,-50.800000000000004,5.742,0,1.0,-0.35000000000000003,310.005,0.39590000000000003,35.07,0.0,255.89800000000002,0.0,0
46834,-0.341,51.719,-0.5,0.0,-1.815,344.9774,-120.9,-57.900000000000006,5.742,0,0.0,-0.495,310.005,0.9897,34.05,0.0,255.33200000000002,0.0,0
46834,-0.682,51.719,0.5,0.0,-1.815,343.7371,-118.9,-64.8,5.742,0,1.0,-0.435,310.005,-2.3754,33.24,0.0,254.727,0.0,0
46834,-0.341,51.719,-0.5,0.0,-1.815,342.3345,-160.3,-70.10000000000001,5.742,0,1.0,-0.435,310.005,0.0,33.6,0.0,254.043,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,340.8356,-161.70000000000002,-74.7,5.742,0,0.0,-0.44,310.005,1.5836000000000001,35.19,0.0,253.32000000000002,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,339.25800000000004,-161.70000000000002,-78.10000000000001,5.742,0,2.0,-0.465,310.005,-2.3754,36.51,0.0,252.55900000000003,0.0,0
46834,-0.341,51.719,0.5,0.0,-1.815,337.5974,-161.70000000000002,-79.8,5.742,0,0.0,-0.44,310.005,-3.2991,36.75,0.0,251.758,0.0,0
46834,-0.512,51.719,0.5,0.0,-1.815,335.925,-163.6,-80.10000000000001,5.742,0,0.0,-0.43,310.005,2.3754,37.02,0.0,250.95700000000002,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,334.2447,-163.6,-80.9,5.742,0,1.0,-0.445,310.005,3.6950000000000003,37.02,0.0,250.156,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,332.56440000000003,-165.8,-80.3,5.742,0,0.0,-0.43,310.005,-1.5836000000000001,36.03,0.0,249.35500000000002,0.0,0
46834,-0.341,51.719,0.5,0.0,-1.815,330.87940000000003,-165.70000000000002,-80.3,5.742,0,0.0,-0.44,310.14000000000004,2.7713,35.76,0.0,248.555,0.0,0
46834,-0.512,51.719,0.0,0.0,-1.815,329.1786,-165.6,-79.8,5.742,0,0.0,-0.41000000000000003,309.915,2.1774,34.95,0.0,247.75400000000002,0.0,0
46834,-0.341,51.719,-0.5,0.0,-1.815,327.4778,-165.6,-79.60000000000001,5.742,0,0.0,-0.47000000000000003,310.005,-1.5836000000000001,34.68,0.0,246.953,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,325.7756,-166.9,-79.60000000000001,5.742,0,1.0,-0.44,310.14000000000004,-2.1114,34.980000000000004,0.0,246.15200000000002,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,325.60790000000003,-167.70000000000002,-79.60000000000001,5.742,0,0.0,-0.435,310.14000000000004,-0.8578,34.980000000000004,0.0,246.074,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,323.8861,-169.8,-79.8,5.742,0,1.0,-0.47500000000000003,309.915,0.19790000000000002,34.59,0.0,245.27300000000002,0.0,0
46834,-0.341,51.719,-0.5,0.0,-1.815,322.16630000000004,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.435,310.005,1.3856000000000002,34.77,0.0,244.473,0.0,0
46834,-0.512,51.719,0.5,0.0,-1.815,320.4445,-167.6,-79.60000000000001,5.742,0,0.0,-0.45,310.14000000000004,2.3094,35.730000000000004,0.0,243.67200000000003,0.0,0
46834,-0.341,51.719,-0.5,0.0,-1.815,318.7038,-169.8,-80.10000000000001,5.742,0,1.0,-0.455,310.005,2.2269,36.27,0.0,242.871,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,316.9608,-169.70000000000002,-80.60000000000001,5.742,0,0.0,-0.44,310.005,-1.5836000000000001,36.21,0.0,242.07000000000002,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,315.22,-169.70000000000002,-79.60000000000001,5.742,0,1.0,-0.455,310.14000000000004,-0.5938,36.480000000000004,0.0,241.27,0.0,0
46834,-0.341,51.719,0.5,0.0,-1.815,313.464,-171.8,-79.8,5.742,0,1.0,-0.46,310.005,-0.39590000000000003,36.57,0.0,240.46900000000002,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,311.6999,-171.8,-79.3,5.742,0,0.0,-0.39,310.005,-3.2084,36.480000000000004,0.0,239.668,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,309.93580000000003,-171.8,-79.60000000000001,5.742,0,1.0,-0.48,310.14000000000004,1.0557,36.660000000000004,0.0,238.86700000000002,0.0,0
46834,-0.171,51.719,0.5,0.0,-1.815,308.1646,-176.0,-80.10000000000001,5.742,0,1.0,-0.46,310.005,5.344600000000001,36.300000000000004,0.0,238.066,0.0,0
46834,-0.171,51.719,-0.5,0.0,-1.815,306.382,-173.8,-80.10000000000001,5.742,0,0.0,-0.425,309.915,-2.2269,36.12,0.0,237.26600000000002,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,304.5971,-173.8,-79.8,5.742,0,0.0,-0.45,310.14000000000004,-2.3094,35.46,0.0,236.465,0.0,0
46834,-0.512,51.719,0.5,0.0,-1.815,302.8109,-175.20000000000002,-79.60000000000001,5.742,0,0.0,-0.47500000000000003,310.14000000000004,-1.8063,35.64,0.0,235.66400000000002,0.0,0
46834,-0.171,51.719,0.5,0.0,-1.815,301.0058,-175.8,-79.60000000000001,5.742,0,1.0,-0.44,310.005,0.5773,34.92,0.0,234.863,0.0,0
46834,-0.171,51.719,0.5,0.0,-1.815,299.2031,-175.70000000000002,-80.10000000000001,5.742,0,0.0,-0.445,310.005,3.9837000000000002,35.46,0.0,234.06300000000002,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,297.398,-175.8,-79.8,5.742,0,0.0,-0.42,310.005,-1.6661000000000001,36.09,0.0,233.262,0.0,0
46834,-0.512,51.719,0.0,0.0,-1.815,295.5774,-177.70000000000002,-79.60000000000001,5.742,0,1.0,-0.48,310.005,-2.1774,36.15,0.0,232.461,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,293.7529,-177.70000000000002,-79.60000000000001,5.742,0,0.0,-0.49,310.005,-1.4929000000000001,36.45,0.0,231.66000000000003,0.0,0
46834,-0.341,51.719,-0.5,0.0,-1.815,291.9284,-180.0,-79.60000000000001,5.742,0,2.0,-0.465,310.14000000000004,0.767,36.75,0.0,230.859,0.0,0
46834,-0.512,51.719,0.0,0.0,-1.815,290.0964,-179.5,-79.8,5.742,0,0.0,-0.445,310.14000000000004,3.3651,36.87,0.0,230.059,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,288.2533,-179.5,-79.60000000000001,5.742,0,0.0,-0.42,309.915,-1.3691,36.9,0.0,229.258,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,286.41020000000003,-179.5,-79.8,5.742,0,0.0,-0.445,310.005,-1.798,36.81,0.0,228.45700000000002,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,284.56260000000003,-181.20000000000002,-79.8,5.742,0,1.0,-0.46,310.005,-3.2744,36.42,0.0,227.656,0.0,0
46834,-0.512,51.719,0.0,0.0,-1.815,282.7018,-183.60000000000002,-79.8,5.742,0,1.0,-0.445,310.14000000000004,1.6908,35.76,0.0,226.85500000000002,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,282.52070000000003,-181.10000000000002,-80.3,5.742,0,1.0,-0.43,310.14000000000004,2.3754,35.67,0.0,226.77700000000002,0.0,0
46834,0.0,51.719,-0.5,0.0,-1.815,280.66220000000004,-181.20000000000002,-79.8,5.742,0,0.0,-0.46,310.14000000000004,3.3321,34.86,0.0,225.977,0.0,0
46834,-0.341,51.719,0.5,0.0,-1.815,278.8002,-182.5,-80.10000000000001,5.742,0,1.0,-0.42,309.915,0.132,34.65,0.0,225.17600000000002,0.0,0
46834,-0.512,51.719,0.0,0.0,-1.815,276.9229,-182.8,-79.3,5.742,0,0.0,-0.455,309.915,-2.4743,34.47,0.0,224.375,0.0,0
46834,-0.341,51.719,-0.5,0.0,-1.815,275.04560000000004,-182.8,-79.8,5.742,0,1.0,-0.445,310.14000000000004,-1.3196,35.37,0.0,223.574,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,273.1683,-185.20000000000002,-80.60000000000001,5.742,0,1.0,-0.47500000000000003,310.005,2.3094,36.93,0.0,222.77300000000002,0.0,0
46834,-0.171,51.719,-0.5,0.0,-1.815,271.28110000000004,-184.20000000000002,-80.10000000000001,5.742,0,0.0,-0.485,309.915,-1.1877,37.59,0.0,221.973,0.0,0
46834,-0.341,51.719,-0.5,0.0,-1.815,269.3885,-184.3,-79.8,5.742,0,1.0,-0.435,310.005,-2.0125,37.47,0.0,221.172,0.0,0
46834,-0.512,51.719,0.0,0.0,-1.815,267.49600000000004,-184.3,-79.8,5.742,0,0.0,-0.46,310.14000000000004,3.563,37.08,0.0,220.371,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,265.59590000000003,-185.70000000000002,-79.60000000000001,5.742,0,0.0,-0.435,310.23,4.2559000000000005,36.51,0.0,219.57000000000002,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,263.6918,-230.9,-80.10000000000001,5.742,0,1.0,-0.45,310.005,0.7918000000000001,36.51,0.0,218.77,0.0,0
46834,-0.171,51.719,0.5,0.0,-1.815,261.7853,-230.9,-79.8,5.742,0,1.0,-0.455,310.005,-2.8043,36.39,0.0,217.96900000000002,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,259.8755,-234.8,-79.8,5.742,0,0.0,-0.445,310.005,-4.6188,36.03,0.0,217.168,0.0,0
46834,-0.512,51.719,0.5,0.0,-1.815,257.95640000000003,-234.8,-79.8,5.742,0,0.0,-0.45,310.005,1.5836000000000001,35.7,0.0,216.36700000000002,0.0,0
46834,-0.341,51.719,0.5,0.0,-1.815,256.0852,-186.9,-79.8,5.742,0,0.0,-0.45,310.14000000000004,4.3548,35.49,0.0,215.586,0.0,0
46834,-0.171,51.719,0.5,0.0,-1.815,254.1661,-186.9,-79.8,5.742,0,1.0,-0.46,309.915,1.3856000000000002,35.1,0.0,214.785,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,252.23620000000003,-190.4,-80.3,5.742,0,2.0,-0.455,310.14000000000004,-2.5073000000000003,34.92,0.0,213.984,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,250.3085,-187.9,-80.10000000000001,5.742,0,1.0,-0.445,309.915,-3.5301,36.300000000000004,0.0,213.184,0.0,0
46834,-0.171,51.719,0.5,0.0,-1.815,248.37830000000002,-188.0,-80.3,5.742,0,1.0,-0.45,310.005,2.7713,37.53,0.0,212.383,0.0,0
46834,-0.341,51.719,0.5,0.0,-1.815,248.1422,-236.10000000000002,-79.60000000000001,5.742,0,1.0,-0.455,310.14000000000004,2.7960000000000003,37.53,0.0,212.285,0.0,0
46834,0.0,51.719,0.5,0.0,-1.815,246.20420000000001,-237.3,-79.8,5.742,0,1.0,-0.47000000000000003,310.14000000000004,2.8372,37.53,0.0,211.484,0.0,0
46834,-0.171,51.719,0.5,0.0,-1.815,244.3129,-188.9,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,309.915,-0.6598,37.14,0.0,210.703,0.0,0
46834,-0.512,51.719,0.0,0.0,-1.815,242.37320000000003,-188.9,-80.3,5.742,0,0.0,-0.44,310.005,-7.7199,37.08,0.0,209.90200000000002,0.0,0
46834,-0.341,51.719,-0.5,0.0,-1.815,240.4318,-189.60000000000002,-80.3,5.742,0,1.0,-0.435,310.005,-0.5031,36.84,0.0,209.102,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,238.4841,-189.70000000000002,-79.8,5.742,0,0.0,-0.43,310.005,5.806500000000001,37.050000000000004,0.0,208.30100000000002,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,236.53650000000002,-189.60000000000002,-79.8,5.742,0,1.0,-0.435,310.005,2.8372,37.35,0.0,207.5,0.0,0
46834,0.0,51.719,0.5,0.0,-1.815,234.58720000000002,-190.3,-80.10000000000001,5.742,0,1.0,-0.435,310.005,-3.4063000000000003,37.410000000000004,0.0,206.699,0.0,0
46834,-0.171,51.719,0.5,0.0,-1.815,232.63330000000002,-192.70000000000002,-79.8,5.742,0,0.0,-0.45,310.005,0.2639,36.36,0.0,205.898,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,230.6819,-190.3,-79.8,5.742,0,0.0,-0.47500000000000003,310.14000000000004,2.3754,35.25,0.0,205.098,0.0,0
46834,-0.341,51.719,-0.5,0.0,-1.815,228.728,-190.3,-80.10000000000001,5.742,0,2.0,-0.47500000000000003,310.005,3.1672000000000002,34.59,0.0,204.297,0.0,0
46834,-0.171,51.719,0.5,0.0,-1.815,226.7697,-190.70000000000002,-79.8,5.742,0,0.0,-0.46,310.14000000000004,1.5588000000000002,35.550000000000004,0.0,203.496,0.0,0
46834,-0.171,51.719,-0.5,0.0,-1.815,224.81130000000002,-190.70000000000002,-79.8,5.742,0,2.0,-0.44,310.005,-0.37120000000000003,36.45,0.0,202.69500000000002,0.0,0
46834,-0.341,51.719,0.5,0.0,-1.815,222.8553,-190.70000000000002,-79.8,5.742,0,1.0,-0.45,310.005,-1.3609,37.980000000000004,0.0,201.895,0.0,0
46834,-0.341,51.719,-0.5,0.0,-1.815,220.8949,-191.0,-79.3,5.742,0,1.0,-0.47500000000000003,310.005,-6.9034,37.92,0.0,201.09400000000002,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,218.93380000000002,-190.9,-79.60000000000001,5.742,0,0.0,-0.445,309.915,-3.5218000000000003,37.74,0.0,200.293,0.0,0
46834,-0.171,51.719,-0.5,0.0,-1.815,216.9726,-191.0,-80.60000000000001,5.742,0,1.0,-0.465,310.005,0.6598,37.35,0.0,199.49200000000002,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,215.01100000000002,-193.5,-80.3,5.742,0,1.0,-0.44,310.14000000000004,2.5486,37.35,0.0,198.691,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,213.0513,-191.10000000000002,-80.10000000000001,5.742,0,0.0,-0.465,310.14000000000004,1.8723,36.9,0.0,197.89100000000002,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,211.0892,-191.10000000000002,-79.8,5.742,0,1.0,-0.445,310.005,1.7155,36.45,0.0,197.09,0.0,0
46834,-0.341,51.719,0.5,0.0,-1.815,209.12730000000002,-190.9,-80.10000000000001,5.742,0,1.0,-0.43,310.005,-2.4826,36.42,0.0,196.28900000000002,0.0,0
46834,0.0,51.719,-0.5,0.0,-1.815,207.1661,-191.0,-80.10000000000001,5.742,0,1.0,-0.455,309.915,-3.8765,35.37,0.0,195.488,0.0,0
46834,-0.512,51.719,0.0,0.0,-1.815,206.9751,-191.0,-80.10000000000001,5.742,0,0.0,-0.455,309.915,-4.3548,35.160000000000004,0.0,195.41,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,205.0139,-193.4,-80.60000000000001,5.742,0,0.0,-0.47500000000000003,310.005,3.4311000000000003,34.62,0.0,194.609,0.0,0
46834,-0.512,51.719,0.5,0.0,-1.815,203.0552,-190.9,-79.8,5.742,0,0.0,-0.42,310.005,3.1672000000000002,35.13,0.0,193.809,0.0,0
46834,-0.341,51.719,-0.5,0.0,-1.815,201.0967,-190.70000000000002,-79.8,5.742,0,0.0,-0.455,310.005,-2.1774,35.88,0.0,193.008,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,199.13840000000002,-190.70000000000002,-79.8,5.742,0,1.0,-0.44,310.005,-2.2434000000000003,37.29,0.0,192.20700000000002,0.0,0
46834,0.0,51.719,0.5,0.0,-1.815,197.18,-190.70000000000002,-80.10000000000001,5.742,0,0.0,-0.455,310.14000000000004,2.5403000000000002,37.62,0.0,191.406,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,195.22500000000002,-192.70000000000002,-79.60000000000001,5.742,0,1.0,-0.41000000000000003,310.14000000000004,5.938400000000001,37.77,0.0,190.60500000000002,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,193.27380000000002,-190.20000000000002,-80.10000000000001,5.742,0,0.0,-0.445,310.005,3.9589000000000003,37.83,0.0,189.805,0.0,0
46834,0.0,51.719,-0.5,0.0,-1.815,191.3201,-190.3,-79.3,5.742,0,1.0,-0.465,309.915,-5.806500000000001,37.050000000000004,0.0,189.00400000000002,0.0,0
46834,-0.341,51.719,0.5,0.0,-1.815,189.36950000000002,-189.60000000000002,-80.10000000000001,5.742,0,1.0,-0.445,310.14000000000004,-2.9032,36.63,0.0,188.203,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,187.4225,-189.60000000000002,-80.3,5.742,0,0.0,-0.445,309.915,-2.2434000000000003,35.61,0.0,187.40200000000002,0.0,0
46834,-0.512,51.719,-0.5,0.0,-1.815,185.478,-189.5,-80.10000000000001,5.742,0,1.0,-0.4,310.14000000000004,-1.2207000000000001,35.79,0.0,186.602,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,183.5325,-188.70000000000002,-80.10000000000001,5.742,0,2.0,-0.445,310.005,1.1877,35.61,0.0,185.80100000000002,0.0,0
46834,0.0,51.719,0.0,0.0,-1.815,181.5942,-188.8,-79.60000000000001,5.742,0,0.0,-0.465,310.005,0.19790000000000002,35.64,0.0,185.0,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,179.656,-188.70000000000002,-79.8,5.742,0,1.0,-0.445,310.14000000000004,-0.6598,35.13,0.0,184.199,0.0,0
46834,-0.171,51.719,0.5,0.0,-1.815,177.7177,-191.20000000000002,-80.3,5.742,0,0.0,-0.435,310.005,1.8475000000000001,35.730000000000004,0.0,183.398,0.0,0
46834,-0.341,51.719,0.0,0.0,-1.815,175.7915,-187.70000000000002,-80.3,5.742,0,1.0,-0.38,310.005,-2.7713,36.09,0.0,182.598,0.0,0
46834,-0.171,51.719,0.0,0.0,-1.815,173.8638,-187.70000000000002,-79.60000000000001,5.742,0,2.0,-0.45,310.005,-5.7075000000000005,36.78,0.0,181.797,0.0,0
46834,-0.512,51.719,0.5,0.0,-1.815,171.9362,-187.70000000000002,-80.10000000000001,5.742,0,0.0,-0.435,310.005,0.0,37.47,0.0,180.996,0.0,0
