Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46803,-0.682,75.586,0.5,0.0,-1.2710000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.47000000000000003,310.14000000000004,4.1816,36.36,0.0,257.832,0.0,0
46803,-1.0230000000000001,75.586,0.0,0.0,-1.2710000000000001,350.0786,0.0,0.0,5.742,0,-1.0,-0.45,309.915,0.39590000000000003,35.7,0.0,257.832,0.0,0
46803,-0.682,75.586,-0.5,0.0,-1.2710000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.45,310.14000000000004,0.6598,34.77,0.0,257.832,0.0,0
46803,-0.682,75.586,0.0,0.0,-1.2710000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.465,310.005,-2.4826,34.08,0.0,257.832,0.0,0
46803,-0.341,75.586,0.5,0.0,-1.2710000000000001,350.0786,0.0,-1.3,5.742,0,0.0,-0.465,310.005,2.5073000000000003,33.54,0.0,257.832,0.0,0
46803,-0.853,75.586,0.5,0.0,-1.2710000000000001,349.9995,-40.6,-4.8,5.742,0,-1.0,-0.465,310.14000000000004,-1.4516,33.57,0.0,257.793,0.0,0
46803,-0.341,75.586,0.0,0.0,-1.2710000000000001,349.8798,0.0,-7.9,5.742,0,-1.0,-0.47000000000000003,310.005,2.4249,33.660000000000004,0.0,257.73400000000004,0.0,0
46803,-0.682,75.586,0.0,0.0,-1.2710000000000001,349.64230000000003,-40.6,-13.9,5.742,0,-1.0,-0.44,309.915,4.8992,34.2,0.0,257.617,0.0,0
46803,-0.682,75.586,0.5,0.0,-1.2710000000000001,349.28520000000003,-40.6,-20.5,5.742,0,0.0,-0.435,310.005,-4.8827,33.93,0.0,257.44100000000003,0.0,0
46803,-0.682,75.586,0.0,0.0,-1.2710000000000001,348.81030000000004,-40.6,-26.900000000000002,5.742,0,0.0,-0.445,310.14000000000004,-0.6186,33.84,0.0,257.207,0.0,0
46803,-0.682,75.586,-0.5,0.0,-1.2710000000000001,348.1772,-79.10000000000001,-34.5,5.742,0,0.0,-0.435,310.005,4.3136,34.35,0.0,256.89500000000004,0.0,0
46803,-0.341,75.586,-0.5,0.0,-1.2710000000000001,347.41900000000004,-82.0,-41.4,5.742,0,0.0,-0.46,310.005,0.0,34.89,0.0,256.523,0.0,0
46803,-0.341,75.586,-0.5,0.0,-1.2710000000000001,346.4596,-79.9,-49.1,5.742,0,-1.0,-0.44,310.005,-3.761,35.61,0.0,256.055,0.0,0
46803,-0.341,75.586,0.0,0.0,-1.2710000000000001,345.37710000000004,-121.0,-56.7,5.742,0,-1.0,-0.47000000000000003,310.005,-1.3856000000000002,35.76,0.0,255.52700000000002,0.0,0
46803,-0.512,75.586,0.0,0.0,-1.2710000000000001,344.1369,-159.9,-62.5,5.742,0,0.0,-0.45,309.915,-2.2022,36.0,0.0,254.92200000000003,0.0,0
46803,-0.512,75.586,-0.5,0.0,-1.2710000000000001,342.81460000000004,-120.9,-68.10000000000001,5.742,0,0.0,-0.45,310.14000000000004,0.1072,36.0,0.0,254.27700000000002,0.0,0
46803,-0.341,75.586,0.5,0.0,-1.2710000000000001,341.32280000000003,-161.70000000000002,-73.5,5.742,0,-1.0,-0.445,310.005,2.0455,35.46,0.0,253.555,0.0,0
46803,-0.512,75.586,0.5,0.0,-1.2710000000000001,339.7846,-161.70000000000002,-77.0,5.742,0,0.0,-0.445,310.005,-0.34640000000000004,34.77,0.0,252.81300000000002,0.0,0
46803,-0.341,75.586,0.0,0.0,-1.2710000000000001,338.124,-161.70000000000002,-79.3,5.742,0,0.0,-0.44,310.14000000000004,-1.7403000000000002,34.800000000000004,0.0,252.012,0.0,0
46803,-0.682,75.586,0.0,0.0,-1.2710000000000001,336.4578,-163.6,-80.10000000000001,5.742,0,1.0,-0.455,310.005,4.8827,34.29,0.0,251.211,0.0,0
46803,-0.512,75.586,0.5,0.0,-1.2710000000000001,336.2942,-163.6,-80.10000000000001,5.742,0,-1.0,-0.45,310.005,4.7507,34.29,0.0,251.133,0.0,0
46803,-0.853,75.586,-0.5,0.0,-1.2710000000000001,334.6139,-163.6,-80.3,5.742,0,0.0,-0.46,310.005,2.5073000000000003,34.59,0.0,250.33200000000002,0.0,0
46803,-0.512,75.586,-0.5,0.0,-1.2710000000000001,332.9336,-163.70000000000002,-80.10000000000001,5.742,0,-1.0,-0.455,310.14000000000004,2.3754,34.02,0.0,249.531,0.0,0
46803,-0.853,75.586,0.5,0.0,-1.2710000000000001,331.25100000000003,-167.8,-80.60000000000001,5.742,0,1.0,-0.5,309.915,-2.6393,33.57,0.0,248.73000000000002,0.0,0
46803,-0.341,75.586,0.0,0.0,-1.2710000000000001,329.5523,-165.6,-80.10000000000001,5.742,0,-2.0,-0.455,310.005,-3.6950000000000003,34.62,0.0,247.93,0.0,0
46803,-0.512,75.586,0.5,0.0,-1.2710000000000001,327.85150000000004,-165.6,-79.60000000000001,5.742,0,0.0,-0.455,310.14000000000004,0.39590000000000003,35.46,0.0,247.12900000000002,0.0,0
46803,-0.682,75.586,-0.5,0.0,-1.2710000000000001,326.1506,-165.70000000000002,-79.8,5.742,0,-1.0,-0.51,310.14000000000004,2.4743,36.27,0.0,246.328,0.0,0
46803,-0.341,75.586,0.0,0.0,-1.2710000000000001,324.4321,-167.70000000000002,-79.60000000000001,5.742,0,-1.0,-0.45,310.005,-1.7155,36.480000000000004,0.0,245.52700000000002,0.0,0
46803,-0.682,75.586,-0.5,0.0,-1.2710000000000001,322.7124,-167.6,-79.8,5.742,0,0.0,-0.435,310.005,-6.2353000000000005,36.81,0.0,244.727,0.0,0
46803,-0.341,75.586,-0.5,0.0,-1.2710000000000001,320.9905,-167.70000000000002,-80.60000000000001,5.742,0,0.0,-0.44,310.14000000000004,-0.2639,36.93,0.0,243.92600000000002,0.0,0
46803,-0.512,75.586,0.0,0.0,-1.2710000000000001,319.2566,-169.70000000000002,-80.10000000000001,5.742,0,0.0,-0.445,310.005,1.8475000000000001,35.97,0.0,243.125,0.0,0
46803,-0.682,75.586,0.5,0.0,-1.2710000000000001,317.5135,-169.8,-79.60000000000001,5.742,0,-1.0,-0.445,310.005,2.1114,35.19,0.0,242.324,0.0,0
46803,-0.171,75.586,-0.5,0.0,-1.2710000000000001,315.7705,-171.9,-79.8,5.742,0,-2.0,-0.435,310.005,0.8908,33.87,0.0,241.52300000000002,0.0,0
46803,-0.512,75.586,-0.5,0.0,-1.2710000000000001,314.02340000000004,-171.8,-80.3,5.742,0,0.0,-0.44,310.005,-2.9032,33.15,0.0,240.723,0.0,0
46803,-0.682,75.586,0.5,0.0,-1.2710000000000001,312.2593,-171.8,-79.60000000000001,5.742,0,1.0,-0.435,310.005,2.3754,33.45,0.0,239.92200000000003,0.0,0
