Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46948,-1.0230000000000001,75.586,0.5,0.0,-1.754,350.0786,0.0,0.0,5.742,0,2.0,-0.5750000000000001,310.005,0.099,35.01,0.0,257.832,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,1.0,-0.485,309.915,-3.9589000000000003,36.27,0.0,257.832,0.0,0
46948,-1.194,75.586,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,1.0,-0.445,310.005,-0.5279,36.75,0.0,257.832,0.0,0
46948,-0.853,75.586,0.5,0.0,-1.754,350.0786,0.0,-0.2,5.742,0,1.0,-0.54,310.005,0.132,37.230000000000004,0.0,257.832,0.0,0
46948,-0.853,75.586,-0.5,0.0,-1.754,350.0786,0.0,-1.7000000000000002,5.742,0,0.0,-0.61,310.005,1.2537,36.9,0.0,257.832,0.0,0
46948,-0.682,75.586,0.0,0.0,-1.754,349.9995,0.0,-5.1000000000000005,5.742,0,2.0,-0.5650000000000001,310.14000000000004,0.39590000000000003,36.72,0.0,257.793,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,349.8412,-38.6,-8.9,5.742,0,1.0,-0.52,310.14000000000004,-0.099,36.09,0.0,257.71500000000003,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,349.60380000000004,-38.5,-15.200000000000001,5.742,0,1.0,-0.47000000000000003,310.005,-0.6598,35.46,0.0,257.598,0.0,0
46948,-1.194,75.586,0.0,0.0,-1.754,349.2466,-38.6,-21.3,5.742,0,1.0,-0.47000000000000003,310.005,-3.596,34.95,0.0,257.422,0.0,0
46948,-1.0230000000000001,75.586,0.0,0.0,-1.754,348.7312,-40.6,-28.200000000000003,5.742,0,1.0,-0.45,310.005,-2.7713,34.53,0.0,257.168,0.0,0
46948,-1.194,75.586,0.0,0.0,-1.754,348.05740000000003,-79.2,-36.1,5.742,0,1.0,-0.495,309.915,1.3856000000000002,34.62,0.0,256.836,0.0,0
46948,-1.0230000000000001,75.586,0.0,0.0,-1.754,347.9783,-79.10000000000001,-36.6,5.742,0,1.0,-0.5,309.915,0.7423000000000001,34.62,0.0,256.797,0.0,0
46948,-1.0230000000000001,75.586,0.0,0.0,-1.754,347.1791,-80.0,-43.7,5.742,0,1.0,-0.49,310.005,2.1114,35.160000000000004,0.0,256.406,0.0,0
46948,-1.0230000000000001,75.586,0.0,0.0,-1.754,346.1787,-121.0,-50.800000000000004,5.742,0,1.0,-0.495,310.005,-0.5279,34.71,0.0,255.918,0.0,0
46948,-0.682,75.586,0.0,0.0,-1.754,345.0573,-121.0,-57.5,5.742,0,0.0,-0.435,310.005,-1.1382,35.67,0.0,255.371,0.0,0
46948,-1.194,75.586,0.0,0.0,-1.754,343.81710000000004,-118.9,-64.8,5.742,0,0.0,-0.505,310.14000000000004,0.066,36.36,0.0,254.76600000000002,0.0,0
46948,-1.0230000000000001,75.586,0.0,0.0,-1.754,342.4148,-159.9,-70.10000000000001,5.742,0,1.0,-0.44,310.005,2.3094,36.480000000000004,0.0,254.08200000000002,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,340.91650000000004,-163.70000000000002,-74.5,5.742,0,1.0,-0.52,310.005,0.19790000000000002,36.54,0.0,253.359,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,339.3388,-161.70000000000002,-77.8,5.742,0,1.0,-0.48,310.005,-0.37120000000000003,36.21,0.0,252.598,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,337.71770000000004,-163.8,-80.3,5.742,0,1.0,-0.46,310.005,-0.19790000000000002,36.72,0.0,251.816,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,336.0068,-205.60000000000002,-80.9,5.742,0,1.0,-0.585,310.005,-0.39590000000000003,36.12,0.0,250.996,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,334.3265,-163.6,-80.3,5.742,0,0.0,-0.535,310.005,-0.19790000000000002,35.550000000000004,0.0,250.19500000000002,0.0,0
46948,-1.0230000000000001,75.586,0.0,0.0,-1.754,332.64840000000004,-163.6,-80.10000000000001,5.742,0,0.0,-0.5,310.005,-2.1114,35.13,0.0,249.395,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,330.9623,-165.6,-80.10000000000001,5.742,0,1.0,-0.52,310.14000000000004,1.5588000000000002,34.53,0.0,248.59400000000002,0.0,0
46948,-1.364,75.586,0.0,0.0,-1.754,329.26140000000004,-165.6,-79.8,5.742,0,0.0,-0.505,310.14000000000004,2.2846,34.980000000000004,0.0,247.793,0.0,0
46948,-0.682,75.586,0.0,0.0,-1.754,327.5606,-165.6,-79.3,5.742,0,2.0,-0.54,309.915,-2.1774,34.89,0.0,246.99200000000002,0.0,0
46948,-1.0230000000000001,75.586,0.0,0.0,-1.754,325.8595,-168.0,-80.3,5.742,0,2.0,-0.495,310.005,-3.1424000000000003,35.85,0.0,246.191,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,324.1397,-167.70000000000002,-80.3,5.742,0,2.0,-0.5,310.005,-0.132,36.45,0.0,245.39100000000002,0.0,0
46948,-1.194,75.586,0.0,0.0,-1.754,322.41790000000003,-210.60000000000002,-79.8,5.742,0,0.0,-0.525,310.005,0.0495,36.42,0.0,244.59,0.0,0
46948,-1.0230000000000001,75.586,0.0,0.0,-1.754,320.696,-210.60000000000002,-80.10000000000001,5.742,0,1.0,-0.465,310.005,-0.767,35.82,0.0,243.78900000000002,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,318.95840000000004,-213.3,-80.10000000000001,5.742,0,1.0,-0.47000000000000003,310.005,0.0,36.18,0.0,242.988,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,317.2176,-211.10000000000002,-79.8,5.742,0,2.0,-0.515,310.14000000000004,5.7817,36.21,0.0,242.18800000000002,0.0,0
46948,-1.0230000000000001,75.586,0.0,0.0,-1.754,315.4746,-211.0,-80.3,5.742,0,0.0,-0.55,310.005,3.1012,36.78,0.0,241.387,0.0,0
46948,-1.194,75.586,0.0,0.0,-1.754,313.7217,-215.8,-80.10000000000001,5.742,0,1.0,-0.47000000000000003,310.005,-1.9795,37.26,0.0,240.586,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,311.9576,-215.8,-79.8,5.742,0,2.0,-0.53,310.005,-1.5588000000000002,36.660000000000004,0.0,239.78500000000003,0.0,0
46948,-1.0230000000000001,75.586,0.0,0.0,-1.754,310.19350000000003,-215.8,-79.8,5.742,0,2.0,-0.5,310.005,-2.6393,35.730000000000004,0.0,238.984,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,308.4698,-173.8,-80.3,5.742,0,1.0,-0.52,310.14000000000004,-0.7505000000000001,34.74,0.0,238.203,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,306.685,-173.8,-80.3,5.742,0,1.0,-0.425,310.005,1.8063,33.480000000000004,0.0,237.40200000000002,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,304.9024,-173.8,-80.3,5.742,0,0.0,-0.505,310.005,-1.7815,33.75,0.0,236.602,0.0,0
46948,-1.0230000000000001,75.586,0.0,0.0,-1.754,304.684,-218.4,-80.3,5.742,0,0.0,-0.525,310.005,-1.8475000000000001,33.96,0.0,236.50400000000002,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,302.9438,-173.8,-79.8,5.742,0,0.0,-0.49,310.14000000000004,2.2434000000000003,36.06,0.0,235.723,0.0,0
46948,-1.194,75.586,0.0,0.0,-1.754,301.1388,-175.8,-80.10000000000001,5.742,0,0.0,-0.44,310.14000000000004,5.179600000000001,37.65,0.0,234.92200000000003,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,299.3338,-175.70000000000002,-80.3,5.742,0,1.0,-0.525,310.14000000000004,3.4311000000000003,38.28,0.0,234.121,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,297.5287,-175.8,-80.10000000000001,5.742,0,2.0,-0.435,310.005,2.4743,37.86,0.0,233.32000000000002,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,295.71180000000004,-177.70000000000002,-80.3,5.742,0,1.0,-0.495,310.005,-5.938400000000001,37.53,0.0,232.52,0.0,0
46948,-1.194,75.586,0.0,0.0,-1.754,293.88730000000004,-177.70000000000002,-79.8,5.742,0,2.0,-0.51,310.005,-3.0682,36.660000000000004,0.0,231.71900000000002,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,292.06280000000004,-177.70000000000002,-80.10000000000001,5.742,0,0.0,-0.59,310.005,2.3754,36.36,0.0,230.918,0.0,0
46948,-1.0230000000000001,75.586,0.0,0.0,-1.754,290.2298,-179.5,-80.3,5.742,0,3.0,-0.48,310.005,2.3754,36.660000000000004,0.0,230.11700000000002,0.0,0
46948,-1.194,75.586,0.0,0.0,-1.754,288.3868,-181.70000000000002,-80.60000000000001,5.742,0,1.0,-0.49,310.14000000000004,2.7713,36.15,0.0,229.316,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,286.546,-179.4,-80.3,5.742,0,1.0,-0.45,310.005,0.7918000000000001,35.22,0.0,228.51600000000002,0.0,0
46948,-0.853,75.586,0.0,0.0,-1.754,284.69960000000003,-181.20000000000002,-80.60000000000001,5.742,0,0.0,-0.505,310.14000000000004,1.5836000000000001,33.99,0.0,227.715,0.0,0
