Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46779,0.0,51.719,0.0,0.0,-0.846,350.0786,0.0,0.0,5.737,0,1.0,-0.24,310.005,1.8723,39.21,0.0,257.832,0.0,0
46779,0.0,51.719,0.0,0.0,-0.846,350.0786,0.0,0.0,5.742,0,0.0,-0.595,310.005,0.9073,38.67,0.0,257.832,0.0,0
46779,0.0,51.719,-0.5,0.0,-0.846,350.0786,0.0,0.0,5.742,0,0.0,-0.48,310.005,-2.1527000000000003,38.37,0.0,257.832,0.0,0
46779,-0.341,51.719,-0.5,0.0,-0.846,350.0786,0.0,0.0,5.742,0,0.0,-0.495,310.14000000000004,2.0867,38.550000000000004,0.0,257.832,0.0,0
46779,-0.512,51.719,0.0,0.0,-0.846,350.0786,0.0,-0.5,5.742,0,1.0,-0.46,310.005,2.5733,38.49,0.0,257.832,0.0,0
46779,-0.341,51.719,0.0,0.0,-0.846,350.0401,0.0,-3.3000000000000003,5.742,0,0.0,-0.465,310.005,-0.5279,38.43,0.0,257.813,0.0,0
46779,-0.171,51.719,0.0,0.0,-0.846,349.9203,-38.6,-6.6000000000000005,5.742,0,0.0,-0.46,310.005,-3.1672000000000002,39.0,0.0,257.754,0.0,0
46779,0.171,51.719,0.0,0.0,-0.846,349.7215,-40.6,-12.4,5.742,0,0.0,-0.455,310.005,-1.2537,39.75,0.0,257.656,0.0,0
46779,-0.512,51.719,0.0,0.0,-0.846,349.4049,-40.6,-18.3,5.742,0,0.0,-0.495,310.005,2.6888,40.26,0.0,257.5,0.0,0
46779,0.0,51.719,-0.5,0.0,-0.846,348.96860000000004,-79.10000000000001,-25.1,5.742,0,0.0,-0.495,310.005,0.19790000000000002,40.410000000000004,0.0,257.285,0.0,0
46779,-0.682,51.719,0.0,0.0,-0.846,348.4146,-38.6,-31.700000000000003,5.742,0,1.0,-0.52,310.005,-3.2331000000000003,40.74,0.0,257.012,0.0,0
46779,0.0,51.719,0.0,0.0,-0.846,347.6609,-79.9,-38.6,5.742,0,0.0,-0.495,310.005,-0.066,39.18,0.0,256.641,0.0,0
46779,0.0,51.719,0.0,0.0,-0.846,347.58090000000004,-80.0,-39.7,5.742,0,0.0,-0.495,310.005,0.0,39.09,0.0,256.60200000000003,0.0,0
46779,-0.171,51.719,0.5,0.0,-0.846,346.65840000000003,-121.0,-48.0,5.742,0,0.0,-0.48,310.005,0.6598,39.72,0.0,256.152,0.0,0
46779,-0.171,51.719,0.0,0.0,-0.846,345.619,-118.9,-54.400000000000006,5.742,0,0.0,-0.465,310.005,-1.3196,39.09,0.0,255.645,0.0,0
46779,-0.341,51.719,0.0,0.0,-0.846,344.4177,-118.9,-60.7,5.742,0,0.0,-0.495,310.005,-1.3196,37.47,0.0,255.05900000000003,0.0,0
46779,-0.171,51.719,0.0,0.0,-0.846,343.09540000000004,-160.0,-67.10000000000001,5.742,0,0.0,-0.485,310.005,0.0,37.44,0.0,254.41400000000002,0.0,0
46779,-0.341,51.719,0.0,0.0,-0.846,341.6462,-161.70000000000002,-72.2,5.742,0,0.0,-0.48,310.005,0.0,37.17,0.0,253.711,0.0,0
46779,-0.341,51.719,-0.5,0.0,-0.846,340.108,-161.70000000000002,-76.3,5.742,0,0.0,-0.49,310.005,-1.5836000000000001,37.89,0.0,252.96900000000002,0.0,0
46779,-0.512,51.719,0.0,0.0,-0.846,338.4889,-161.70000000000002,-78.8,5.742,0,0.0,-0.49,309.915,-0.7918000000000001,39.0,0.0,252.18800000000002,0.0,0
46779,-0.171,51.719,-0.5,0.0,-0.846,336.827,-163.0,-80.9,5.742,0,0.0,-0.51,310.14000000000004,3.596,39.54,0.0,251.387,0.0,0
46779,-0.512,51.719,0.5,0.0,-0.846,335.1467,-163.70000000000002,-80.9,5.742,0,0.0,-0.495,310.14000000000004,6.334300000000001,39.57,0.0,250.586,0.0,0
46779,-0.512,51.719,0.5,0.0,-0.846,333.4665,-163.6,-80.9,5.742,0,0.0,-0.465,310.005,-2.9692000000000003,39.69,0.0,249.78500000000003,0.0,0
46779,0.0,51.719,0.0,0.0,-0.846,331.7862,-165.70000000000002,-79.8,5.742,0,0.0,-0.455,310.005,-6.2023,39.18,0.0,248.984,0.0,0
46779,-0.512,51.719,0.0,0.0,-0.846,330.0917,-165.6,-79.8,5.742,0,0.0,-0.485,309.915,-1.4186,39.54,0.0,248.18400000000003,0.0,0
46779,-0.512,51.719,-0.5,0.0,-0.846,328.3908,-165.6,-79.8,5.742,0,0.0,-0.47500000000000003,309.915,-0.6598,39.69,0.0,247.383,0.0,0
46779,-0.341,51.719,0.0,0.0,-0.846,326.69,-165.6,-79.8,5.742,0,0.0,-0.47000000000000003,310.005,0.0,38.25,0.0,246.58200000000002,0.0,0
46779,-0.341,51.719,0.0,0.0,-0.846,324.97810000000004,-167.70000000000002,-79.60000000000001,5.742,0,1.0,-0.445,310.005,-0.6598,37.59,0.0,245.781,0.0,0
46779,-0.341,51.719,0.0,0.0,-0.846,323.25620000000004,-169.8,-80.10000000000001,5.742,0,0.0,-0.465,310.14000000000004,2.4743,36.54,0.0,244.98000000000002,0.0,0
46779,-0.512,51.719,0.0,0.0,-0.846,321.5365,-167.70000000000002,-79.8,5.742,0,0.0,-0.46,309.915,-0.6598,36.84,0.0,244.18,0.0,0
46779,0.0,51.719,-0.5,0.0,-0.846,319.8093,-169.70000000000002,-79.8,5.742,0,0.0,-0.5,310.14000000000004,0.165,37.77,0.0,243.37900000000002,0.0,0
46779,-0.171,51.719,0.0,0.0,-0.846,318.0663,-169.70000000000002,-80.3,5.742,0,0.0,-0.485,310.14000000000004,3.2991,39.15,0.0,242.578,0.0,0
46779,-0.512,51.719,0.5,0.0,-0.846,316.32320000000004,-169.8,-80.10000000000001,5.742,0,0.0,-0.47500000000000003,310.005,-0.066,40.29,0.0,241.77700000000002,0.0,0
46779,0.0,51.719,0.0,0.0,-0.846,314.5824,-169.70000000000002,-79.8,5.742,0,0.0,-0.49,310.14000000000004,-2.2434000000000003,40.89,0.0,240.977,0.0,0
46779,-0.341,51.719,-0.5,0.0,-0.846,312.81870000000004,-171.8,-79.8,5.742,0,0.0,-0.485,310.005,-1.7485000000000002,39.69,0.0,240.17600000000002,0.0,0
46779,-0.341,51.719,0.0,0.0,-0.846,311.0546,-171.8,-80.3,5.742,0,0.0,-0.47500000000000003,310.14000000000004,2.9032,38.97,0.0,239.375,0.0,0
46779,-0.171,51.719,0.0,0.0,-0.846,309.2905,-171.8,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,309.915,2.2764,38.82,0.0,238.574,0.0,0
