Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,350.0786,0.0,-0.2,5.742,0,0.0,-0.445,310.005,-4.1239,36.27,0.0,257.832,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.46,310.005,0.39590000000000003,35.76,0.0,257.832,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,350.0786,0.0,0.0,5.742,0,-1.0,-0.46,309.915,-0.8908,35.76,0.0,257.832,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,350.0786,0.0,-0.5,5.742,0,0.0,-0.435,309.915,-2.6393,36.33,0.0,257.832,0.0,0
46714,0.171,67.62700000000001,0.5,0.0,-1.2710000000000001,350.0401,0.0,-3.3000000000000003,5.742,0,0.0,-0.425,310.005,2.3754,37.5,0.0,257.813,0.0,0
46714,0.341,67.62700000000001,0.0,0.0,-1.2710000000000001,349.9203,-38.6,-6.6000000000000005,5.742,0,0.0,-0.465,309.915,1.1877,37.59,0.0,257.754,0.0,0
46714,0.341,67.62700000000001,-0.5,0.0,-1.2710000000000001,349.7215,-40.6,-12.200000000000001,5.742,0,0.0,-0.435,310.005,-1.1217000000000001,37.56,0.0,257.656,0.0,0
46714,0.0,67.62700000000001,0.5,0.0,-1.2710000000000001,349.4049,-40.6,-18.3,5.742,0,0.0,-0.48,309.915,0.9238000000000001,37.62,0.0,257.5,0.0,0
46714,-0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,348.96860000000004,-79.10000000000001,-24.900000000000002,5.742,0,0.0,-0.395,309.915,-1.5836000000000001,37.53,0.0,257.285,0.0,0
46714,0.0,67.62700000000001,0.0,0.0,-1.2710000000000001,348.4146,-38.6,-32.300000000000004,5.742,0,0.0,-0.51,310.005,-1.7155,37.26,0.0,257.012,0.0,0
46714,0.341,67.62700000000001,-0.5,0.0,-1.2710000000000001,347.6609,-79.9,-38.9,5.742,0,0.0,-0.47000000000000003,310.005,3.1012,36.96,0.0,256.641,0.0,0
46714,0.171,67.62700000000001,0.5,0.0,-1.2710000000000001,346.7794,-79.9,-47.300000000000004,5.742,0,0.0,-0.46,310.005,0.5279,36.39,0.0,256.211,0.0,0
46714,0.0,67.62700000000001,0.0,0.0,-1.2710000000000001,345.7379,-121.0,-53.900000000000006,5.742,0,0.0,-0.48,310.005,-2.6393,36.300000000000004,0.0,255.703,0.0,0
46714,0.171,67.62700000000001,-0.5,0.0,-1.2710000000000001,344.5366,-159.9,-60.300000000000004,5.742,0,0.0,-0.465,310.005,0.0,35.07,0.0,255.11700000000002,0.0,0
46714,0.0,67.62700000000001,0.0,0.0,-1.2710000000000001,344.4177,-118.9,-61.0,5.742,0,0.0,-0.47500000000000003,309.915,0.0165,34.95,0.0,255.05900000000003,0.0,0
46714,0.0,67.62700000000001,0.0,0.0,-1.2710000000000001,343.09540000000004,-160.0,-66.9,5.742,0,0.0,-0.47500000000000003,309.915,0.6763,34.65,0.0,254.41400000000002,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,341.6462,-161.70000000000002,-71.9,5.742,0,0.0,-0.46,309.915,0.6763,35.82,0.0,253.711,0.0,0
46714,0.682,67.62700000000001,0.5,0.0,-1.2710000000000001,340.108,-161.70000000000002,-76.3,5.742,0,0.0,-0.45,310.14000000000004,3.6043000000000003,36.78,0.0,252.96900000000002,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,338.4889,-161.70000000000002,-79.10000000000001,5.742,0,0.0,-0.44,310.14000000000004,2.4001,37.800000000000004,0.0,252.18800000000002,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,336.827,-163.0,-80.60000000000001,5.742,0,0.0,-0.485,310.005,0.7918000000000001,38.04,0.0,251.387,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,335.1467,-163.70000000000002,-80.9,5.742,0,0.0,-0.4,310.005,-3.1424000000000003,37.29,0.0,250.586,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,333.4665,-163.6,-80.3,5.742,0,0.0,-0.465,310.14000000000004,-1.0805,37.2,0.0,249.78500000000003,0.0,0
46714,0.341,67.62700000000001,-0.5,0.0,-1.2710000000000001,331.7862,-165.70000000000002,-79.60000000000001,5.742,0,0.0,-0.485,310.005,1.7815,37.26,0.0,248.984,0.0,0
46714,0.341,67.62700000000001,0.0,0.0,-1.2710000000000001,330.0917,-165.6,-80.9,5.742,0,0.0,-0.46,310.005,0.7093,36.660000000000004,0.0,248.18400000000003,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,328.3908,-165.6,-80.3,5.742,0,0.0,-0.495,310.005,-3.3404000000000003,36.15,0.0,247.383,0.0,0
46714,0.341,67.62700000000001,0.0,0.0,-1.2710000000000001,326.69,-165.6,-79.8,5.742,0,0.0,-0.435,310.005,0.132,35.37,0.0,246.58200000000002,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,324.97810000000004,-167.70000000000002,-79.8,5.742,0,0.0,-0.455,310.005,0.2639,34.59,0.0,245.781,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,323.25620000000004,-169.8,-80.10000000000001,5.742,0,0.0,-0.48,310.14000000000004,2.2846,34.59,0.0,244.98000000000002,0.0,0
46714,0.512,67.62700000000001,0.0,0.0,-1.2710000000000001,321.5365,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.46,310.14000000000004,3.2084,35.01,0.0,244.18,0.0,0
46714,0.341,67.62700000000001,0.0,0.0,-1.2710000000000001,319.8093,-169.70000000000002,-79.8,5.742,0,0.0,-0.425,310.14000000000004,2.5486,35.76,0.0,243.37900000000002,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,318.0663,-169.70000000000002,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,309.915,-0.8825000000000001,37.56,0.0,242.578,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,316.32320000000004,-169.8,-79.8,5.742,0,0.0,-0.45,309.915,-5.1961,37.68,0.0,241.77700000000002,0.0,0
46714,-0.171,67.62700000000001,-0.5,0.0,-1.2710000000000001,314.5824,-169.70000000000002,-80.10000000000001,5.742,0,0.0,-0.43,310.005,-2.2846,37.11,0.0,240.977,0.0,0
46714,0.0,67.62700000000001,0.0,0.0,-1.2710000000000001,312.81870000000004,-171.8,-80.3,5.742,0,0.0,-0.495,310.005,-0.43710000000000004,36.12,0.0,240.17600000000002,0.0,0
46714,0.512,67.62700000000001,0.5,0.0,-1.2710000000000001,311.0546,-171.8,-80.3,5.742,0,0.0,-0.47500000000000003,310.14000000000004,-0.899,36.42,0.0,239.375,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,309.2905,-171.8,-80.10000000000001,5.742,0,0.0,-0.455,310.14000000000004,3.3898,37.38,0.0,238.574,0.0,0
46714,0.341,67.62700000000001,0.0,0.0,-1.2710000000000001,307.5117,-176.0,-79.60000000000001,5.742,0,0.0,-0.495,310.005,1.1877,37.38,0.0,237.77300000000002,0.0,0
46714,0.0,67.62700000000001,0.0,0.0,-1.2710000000000001,305.7291,-173.8,-79.60000000000001,5.742,0,0.0,-0.49,310.14000000000004,0.2887,35.94,0.0,236.973,0.0,0
46714,0.171,67.62700000000001,-0.5,0.0,-1.2710000000000001,303.9443,-173.8,-79.60000000000001,5.742,0,0.0,-0.46,309.915,-2.862,35.01,0.0,236.17200000000003,0.0,0
46714,0.171,67.62700000000001,-0.5,0.0,-1.2710000000000001,302.1506,-175.8,-80.9,5.742,0,0.0,-0.51,310.005,-1.7815,34.05,0.0,235.371,0.0,0
46714,0.0,67.62700000000001,0.0,0.0,-1.2710000000000001,300.3456,-175.70000000000002,-80.3,5.742,0,0.0,-0.45,310.005,-0.3052,34.5,0.0,234.57000000000002,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,298.5428,-175.8,-79.8,5.742,0,0.0,-0.47000000000000003,310.005,1.7155,35.4,0.0,233.77,0.0,0
46714,0.0,67.62700000000001,-0.5,0.0,-1.2710000000000001,296.7345,-177.70000000000002,-79.60000000000001,5.742,0,0.0,-0.47000000000000003,310.005,0.0,36.9,0.0,232.96900000000002,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,294.91,-177.70000000000002,-80.3,5.742,0,0.0,-0.485,310.23,2.1362,37.62,0.0,232.168,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,293.0855,-177.70000000000002,-80.10000000000001,5.742,0,0.0,-0.46,310.14000000000004,4.8580000000000005,38.13,0.0,231.36700000000002,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,292.90790000000004,-177.6,-80.3,5.742,0,0.0,-0.43,310.14000000000004,5.179600000000001,38.04,0.0,231.28900000000002,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,291.08340000000004,-177.6,-80.3,5.742,0,0.0,-0.535,310.005,0.9238000000000001,37.32,0.0,230.488,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,289.2427,-179.5,-79.8,5.742,0,0.0,-0.43,310.005,-4.8497,36.03,0.0,229.68800000000002,0.0,0
46714,0.171,67.62700000000001,0.0,0.0,-1.2710000000000001,287.3996,-179.5,-79.60000000000001,5.742,0,0.0,-0.45,310.005,-0.7918000000000001,35.730000000000004,0.0,228.887,0.0,0
