Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46773,-0.341,51.719,0.0,0.0,-1.936,350.0786,0.0,0.0,5.742,0,0.0,-0.55,310.005,-3.1672000000000002,38.910000000000004,0.0,257.832,0.0,0
46773,0.0,51.719,0.5,0.0,-1.936,350.0786,0.0,0.0,5.742,0,0.0,-0.52,310.005,-6.0704,38.550000000000004,0.0,257.832,0.0,0
46773,0.171,51.719,0.0,0.0,-1.936,350.0786,0.0,0.0,5.742,0,0.0,-0.485,310.005,0.0,39.09,0.0,257.832,0.0,0
46773,-0.171,51.719,-0.5,0.0,-1.936,350.0786,0.0,-0.2,5.742,0,0.0,-0.44,309.915,1.4516,38.46,0.0,257.832,0.0,0
46773,0.0,51.719,0.5,0.0,-1.936,350.0786,0.0,-2.0,5.742,0,0.0,-0.47000000000000003,310.005,1.8475000000000001,37.92,0.0,257.832,0.0,0
46773,0.0,51.719,0.0,0.0,-1.936,349.9995,0.0,-5.3,5.742,0,0.0,-0.45,310.005,-0.7918000000000001,36.72,0.0,257.793,0.0,0
46773,0.0,51.719,0.0,0.0,-1.936,349.8412,0.0,-9.4,5.742,0,0.0,-0.465,310.14000000000004,0.8908,36.660000000000004,0.0,257.71500000000003,0.0,0
46773,0.0,51.719,0.0,0.0,-1.936,349.5632,-40.6,-16.0,5.742,0,0.0,-0.435,310.005,1.1877,37.47,0.0,257.57800000000003,0.0,0
46773,-0.512,51.719,0.0,0.0,-1.936,349.206,-40.6,-21.3,5.742,0,0.0,-0.455,310.005,-1.8475000000000001,38.550000000000004,0.0,257.402,0.0,0
46773,0.0,51.719,0.0,0.0,-1.936,348.6906,-40.6,-28.5,5.742,0,0.0,-0.44,309.915,-4.3548,39.93,0.0,257.148,0.0,0
46773,0.171,51.719,0.0,0.0,-1.936,348.0168,-79.2,-36.6,5.742,0,0.0,-0.455,310.14000000000004,-0.099,40.5,0.0,256.81600000000003,0.0,0
46773,0.0,51.719,0.5,0.0,-1.936,347.1791,-80.0,-43.5,5.742,0,0.0,-0.45,310.005,1.9795,39.84,0.0,256.406,0.0,0
46773,0.171,51.719,0.5,0.0,-1.936,346.2197,-80.0,-50.6,5.742,0,0.0,-0.465,310.005,1.2537,39.36,0.0,255.93800000000002,0.0,0
46773,-0.341,51.719,-0.5,0.0,-1.936,345.0983,-118.9,-57.5,5.742,0,0.0,-0.45,310.005,-4.3548,38.34,0.0,255.39100000000002,0.0,0
46773,-0.341,51.719,-0.5,0.0,-1.936,343.81710000000004,-159.9,-64.5,5.742,0,0.0,-0.45,310.005,2.6393,37.38,0.0,254.76600000000002,0.0,0
46773,-0.171,51.719,0.0,0.0,-1.936,342.4558,-159.9,-69.7,5.742,0,0.0,-0.45,310.005,0.9238000000000001,36.57,0.0,254.102,0.0,0
46773,0.0,51.719,0.0,0.0,-1.936,340.9579,-161.70000000000002,-74.7,5.742,0,0.0,-0.46,310.005,-3.9589000000000003,36.12,0.0,253.37900000000002,0.0,0
46773,-0.341,51.719,0.0,0.0,-1.936,339.3782,-161.70000000000002,-78.10000000000001,5.742,0,0.0,-0.45,309.915,-0.132,36.54,0.0,252.61700000000002,0.0,0
46773,0.0,51.719,0.0,0.0,-1.936,337.71770000000004,-163.8,-79.8,5.742,0,0.0,-0.46,310.14000000000004,2.0125,37.68,0.0,251.816,0.0,0
46773,-0.171,51.719,0.0,0.0,-1.936,336.0487,-163.70000000000002,-80.3,5.742,0,0.0,-0.36,310.005,-0.6598,38.13,0.0,251.01600000000002,0.0,0
46773,-0.512,51.719,0.0,0.0,-1.936,335.8851,-163.6,-80.10000000000001,5.742,0,0.0,-0.42,310.005,-0.9897,38.28,0.0,250.93800000000002,0.0,0
46773,-0.341,51.719,-0.5,0.0,-1.936,334.2049,-163.6,-80.10000000000001,5.742,0,0.0,-0.455,310.005,-1.864,39.27,0.0,250.137,0.0,0
46773,0.0,51.719,0.0,0.0,-1.936,332.5246,-163.6,-80.60000000000001,5.742,0,0.0,-0.45,310.005,-2.1527000000000003,39.660000000000004,0.0,249.336,0.0,0
46773,-0.341,51.719,0.0,0.0,-1.936,330.837,-165.6,-80.60000000000001,5.742,0,0.0,-0.44,309.915,0.7423000000000001,39.36,0.0,248.53500000000003,0.0,0
46773,-0.171,51.719,0.0,0.0,-1.936,329.1361,-167.8,-79.8,5.742,0,0.0,-0.445,309.915,-0.9732000000000001,39.18,0.0,247.734,0.0,0
46773,0.0,51.719,0.0,0.0,-1.936,327.4374,-165.6,-79.60000000000001,5.742,0,0.0,-0.455,310.005,0.132,39.36,0.0,246.93400000000003,0.0,0
46773,-0.171,51.719,0.0,0.0,-1.936,325.7348,-167.4,-80.10000000000001,5.742,0,0.0,-0.455,310.14000000000004,1.0805,39.09,0.0,246.133,0.0,0
