Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46770,-0.341,51.719,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,1.0,-0.47000000000000003,310.14000000000004,-0.7918000000000001,40.29,0.0,257.832,0.0,0
46770,-0.341,51.719,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,1.0,-0.495,310.005,-2.6393,39.480000000000004,0.0,257.832,0.0,0
46770,-0.512,51.719,0.5,0.0,-1.573,350.0786,0.0,0.0,5.742,0,1.0,-0.42,310.14000000000004,3.4311000000000003,38.7,0.0,257.832,0.0,0
46770,-0.341,51.719,-0.5,0.0,-1.573,350.0786,0.0,-0.5,5.742,0,2.0,-0.435,310.005,3.2661000000000002,39.03,0.0,257.832,0.0,0
46770,-0.512,51.719,-0.5,0.0,-1.573,350.0401,0.0,-2.7,5.742,0,2.0,-0.41500000000000004,310.005,-1.1877,38.67,0.0,257.813,0.0,0
46770,-0.512,51.719,0.0,0.0,-1.573,349.9589,0.0,-6.1000000000000005,5.742,0,2.0,-0.41000000000000003,310.14000000000004,-2.3754,38.4,0.0,257.773,0.0,0
46770,-0.512,51.719,-0.5,0.0,-1.573,349.80060000000003,0.0,-11.1,5.742,0,2.0,-0.41000000000000003,310.14000000000004,3.563,37.56,0.0,257.695,0.0,0
46770,-0.682,51.719,-0.5,0.0,-1.573,349.48400000000004,-40.6,-17.8,5.742,0,1.0,-0.4,310.005,-2.3754,37.08,0.0,257.539,0.0,0
46770,-0.512,51.719,0.5,0.0,-1.573,349.0477,-79.2,-23.3,5.742,0,1.0,-0.41500000000000004,310.005,-7.258100000000001,37.74,0.0,257.324,0.0,0
46770,-0.512,51.719,0.0,0.0,-1.573,348.4937,-79.2,-30.5,5.742,0,1.0,-0.43,310.005,0.8908,39.03,0.0,257.051,0.0,0
