Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46755,-0.171,51.719,0.0,0.0,-1.815,350.0786,0.0,-0.2,5.742,0,0.0,-0.59,310.005,1.0557,39.54,0.0,257.832,0.0,0
46755,-0.171,51.719,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,0.0,-0.515,310.005,-0.2639,38.34,0.0,257.832,0.0,0
46755,-0.341,51.719,0.0,0.0,-1.815,350.0786,0.0,-0.2,5.742,0,0.0,-0.425,309.915,0.6928000000000001,37.83,0.0,257.832,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,0.0,-0.445,310.005,0.132,38.31,0.0,257.832,0.0,0
46755,-0.171,51.719,0.0,0.0,-1.815,350.0786,0.0,0.0,5.742,0,0.0,-0.465,310.005,0.19790000000000002,38.49,0.0,257.832,0.0,0
46755,-0.171,51.719,0.0,0.0,-1.815,350.0786,0.0,-1.3,5.742,0,0.0,-0.47500000000000003,310.005,-3.3651,39.480000000000004,0.0,257.832,0.0,0
46755,-0.171,51.719,0.0,0.0,-1.815,349.9995,-40.6,-4.3,5.742,0,0.0,-0.445,309.915,0.7918000000000001,39.21,0.0,257.793,0.0,0
46755,0.0,51.719,0.0,0.0,-1.815,349.8798,-40.5,-8.1,5.742,0,0.0,-0.49,309.915,1.0062,37.92,0.0,257.73400000000004,0.0,0
46755,-0.341,51.719,0.0,0.0,-1.815,349.64230000000003,-40.6,-14.200000000000001,5.742,0,0.0,-0.45,310.005,-1.7815,36.24,0.0,257.617,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,349.28520000000003,-40.6,-20.5,5.742,0,0.0,-0.41000000000000003,310.005,0.19790000000000002,34.62,0.0,257.44100000000003,0.0,0
46755,-0.341,51.719,0.0,0.0,-1.815,348.81030000000004,-79.2,-27.200000000000003,5.742,0,0.0,-0.5,310.005,1.1712,35.37,0.0,257.207,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,348.1772,-79.10000000000001,-34.300000000000004,5.742,0,0.0,-0.46,310.005,0.6433,37.47,0.0,256.89500000000004,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,347.41900000000004,-82.0,-41.4,5.742,0,0.0,-0.455,309.915,0.9402,39.81,0.0,256.523,0.0,0
46755,0.0,51.719,-0.5,0.0,-1.815,346.4596,-118.9,-49.1,5.742,0,0.0,-0.435,309.915,-0.18150000000000002,39.93,0.0,256.055,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,345.37710000000004,-121.0,-55.900000000000006,5.742,0,0.0,-0.495,310.005,2.5073000000000003,40.050000000000004,0.0,255.52700000000002,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,344.17580000000004,-121.0,-62.300000000000004,5.742,0,0.0,-0.4,309.915,-0.2474,38.910000000000004,0.0,254.941,0.0,0
46755,0.0,51.719,0.0,0.0,-1.815,342.81460000000004,-159.9,-68.10000000000001,5.742,0,0.0,-0.45,310.14000000000004,0.1567,38.1,0.0,254.27700000000002,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,341.36220000000003,-161.70000000000002,-73.7,5.742,0,-1.0,-0.425,310.005,-0.17320000000000002,37.47,0.0,253.574,0.0,0
46755,-0.341,51.719,0.0,0.0,-1.815,339.7846,-161.70000000000002,-76.8,5.742,0,0.0,-0.445,310.14000000000004,1.4764000000000002,37.62,0.0,252.81300000000002,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,338.1634,-161.70000000000002,-80.10000000000001,5.742,0,0.0,-0.38,309.915,-1.4351,37.53,0.0,252.031,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,336.4977,-165.70000000000002,-80.9,5.742,0,1.0,-0.455,310.005,-1.2537,37.17,0.0,251.23000000000002,0.0,0
46755,-0.171,51.719,0.0,0.0,-1.815,334.8195,-163.6,-80.10000000000001,5.742,0,0.0,-0.45,310.005,-1.9135000000000002,36.78,0.0,250.43,0.0,0
46755,-0.171,51.719,0.0,0.0,-1.815,333.1392,-163.6,-79.8,5.742,0,0.0,-0.44,310.14000000000004,3.9837000000000002,37.14,0.0,249.62900000000002,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,331.459,-163.6,-79.8,5.742,0,0.0,-0.53,310.005,-0.2639,37.77,0.0,248.828,0.0,0
46755,-0.171,51.719,0.0,0.0,-1.815,329.7583,-165.6,-80.3,5.742,0,0.0,-0.44,310.005,-2.9032,38.01,0.0,248.02700000000002,0.0,0
46755,-0.341,51.719,0.0,0.0,-1.815,328.0596,-165.6,-79.8,5.742,0,0.0,-0.455,310.005,-1.3856000000000002,38.52,0.0,247.227,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,326.3587,-165.70000000000002,-80.10000000000001,5.742,0,0.0,-0.425,310.14000000000004,3.3404000000000003,39.15,0.0,246.42600000000002,0.0,0
46755,-0.341,51.719,0.0,0.0,-1.815,324.6428,-167.6,-79.8,5.742,0,0.0,-0.44,310.005,1.9795,38.64,0.0,245.625,0.0,0
46755,-0.171,51.719,0.0,0.0,-1.815,322.9209,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.41000000000000003,309.915,-4.2064,37.59,0.0,244.824,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,321.199,-169.8,-80.3,5.742,0,0.0,-0.405,310.005,-2.4826,37.26,0.0,244.02300000000002,0.0,0
46755,-0.171,51.719,0.0,0.0,-1.815,319.4698,-169.70000000000002,-79.8,5.742,0,0.0,-0.41000000000000003,310.14000000000004,1.097,37.2,0.0,243.223,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,317.7268,-169.70000000000002,-79.8,5.742,0,0.0,-0.465,310.005,4.1404000000000005,36.84,0.0,242.42200000000003,0.0,0
46755,-0.171,51.719,0.0,0.0,-1.815,317.5571,-169.70000000000002,-80.3,5.742,0,0.0,-0.455,310.005,3.2991,36.81,0.0,242.34400000000002,0.0,0
46755,-0.171,51.719,0.0,0.0,-1.815,315.814,-169.8,-80.3,5.742,0,0.0,-0.43,310.005,-0.2639,36.54,0.0,241.543,0.0,0
46755,-0.341,51.719,0.0,0.0,-1.815,314.0652,-171.8,-79.8,5.742,0,0.0,-0.45,310.005,-4.486800000000001,36.36,0.0,240.74200000000002,0.0,0
46755,-0.341,51.719,0.0,0.0,-1.815,312.3011,-174.0,-80.3,5.742,0,0.0,-0.505,309.915,-0.9897,36.39,0.0,239.941,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,310.5392,-171.8,-79.60000000000001,5.742,0,0.0,-0.375,310.14000000000004,1.7155,36.69,0.0,239.14100000000002,0.0,0
46755,-0.341,51.719,0.0,0.0,-1.815,308.7751,-171.8,-80.10000000000001,5.742,0,0.0,-0.46,310.14000000000004,2.8043,37.95,0.0,238.34,0.0,0
46755,-0.171,51.719,0.0,0.0,-1.815,306.9903,-173.8,-79.8,5.742,0,0.0,-0.47500000000000003,310.005,4.0909,38.94,0.0,237.53900000000002,0.0,0
46755,0.0,51.719,0.0,0.0,-1.815,305.20550000000003,-173.8,-80.10000000000001,5.742,0,0.0,-0.54,309.915,-1.6826,39.18,0.0,236.738,0.0,0
46755,-0.512,51.719,0.0,0.0,-1.815,303.4229,-173.8,-80.3,5.742,0,0.0,-0.47500000000000003,310.005,-3.563,39.21,0.0,235.93800000000002,0.0,0
46755,-0.341,51.719,0.0,0.0,-1.815,301.62330000000003,-175.8,-80.10000000000001,5.742,0,-1.0,-0.43,310.005,2.1114,39.09,0.0,235.137,0.0,0
46755,-0.171,51.719,0.0,0.0,-1.815,299.8183,-175.70000000000002,-80.10000000000001,5.742,0,0.0,-0.405,310.005,-0.5279,38.1,0.0,234.336,0.0,0
