Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46804,-0.682,75.586,0.0,0.0,-1.1500000000000001,350.0786,0.0,0.0,5.742,0,1.0,-0.685,309.915,-0.0495,33.51,0.0,257.832,0.0,0
46804,-0.341,75.586,0.5,0.0,-1.1500000000000001,350.0786,0.0,-0.2,5.742,0,1.0,-0.555,309.915,-3.4806000000000004,35.31,0.0,257.832,0.0,0
46804,-0.853,75.586,0.5,0.0,-1.1500000000000001,350.0786,0.0,0.0,5.742,0,-1.0,-0.5,310.14000000000004,-1.0805,36.75,0.0,257.832,0.0,0
46804,-0.853,75.586,0.0,0.0,-1.1500000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.495,310.14000000000004,4.5115,37.17,0.0,257.832,0.0,0
46804,-0.853,75.586,-0.5,0.0,-1.1500000000000001,350.0786,0.0,-0.7000000000000001,5.742,0,0.0,-0.49,310.005,2.6228000000000002,36.72,0.0,257.832,0.0,0
46804,-0.512,75.586,0.0,0.0,-1.1500000000000001,350.0401,0.0,-3.8000000000000003,5.742,0,-2.0,-0.5,310.005,1.6083,36.03,0.0,257.813,0.0,0
46804,-0.682,75.586,0.0,0.0,-1.1500000000000001,349.9203,0.0,-6.800000000000001,5.742,0,0.0,-0.49,310.005,-2.1774,34.56,0.0,257.754,0.0,0
46804,-0.341,75.586,0.0,0.0,-1.1500000000000001,349.7215,-40.6,-12.700000000000001,5.742,0,1.0,-0.485,309.915,-1.5011,34.2,0.0,257.656,0.0,0
46804,-0.682,75.586,0.0,0.0,-1.1500000000000001,349.3643,-40.6,-19.1,5.742,0,0.0,-0.49,310.005,1.0805,34.47,0.0,257.48,0.0,0
46804,-0.682,75.586,-0.5,0.0,-1.1500000000000001,348.93,-38.6,-25.400000000000002,5.742,0,0.0,-0.525,309.915,-1.3032000000000001,34.56,0.0,257.266,0.0,0
46804,-0.682,75.586,0.0,0.0,-1.1500000000000001,348.3355,-79.10000000000001,-32.800000000000004,5.742,0,2.0,-0.48,310.005,-1.7568000000000001,33.72,0.0,256.973,0.0,0
46804,-0.512,75.586,0.0,0.0,-1.1500000000000001,347.58090000000004,-80.0,-39.9,5.742,0,0.0,-0.51,310.14000000000004,1.1629,33.63,0.0,256.60200000000003,0.0,0
46804,-0.682,75.586,0.5,0.0,-1.1500000000000001,346.65840000000003,-121.0,-47.800000000000004,5.742,0,-1.0,-0.51,310.005,5.2786,33.39,0.0,256.152,0.0,0
46804,-0.512,75.586,0.0,0.0,-1.1500000000000001,345.619,-118.9,-54.1,5.742,0,-1.0,-0.515,309.915,-2.0949,33.96,0.0,255.645,0.0,0
46804,-0.682,75.586,0.0,0.0,-1.1500000000000001,344.4177,-159.9,-60.7,5.742,0,-1.0,-0.495,310.005,-5.1466,34.59,0.0,255.05900000000003,0.0,0
46804,-0.682,75.586,0.0,0.0,-1.1500000000000001,343.09540000000004,-160.0,-67.10000000000001,5.742,0,1.0,-0.495,310.14000000000004,2.6146000000000003,35.22,0.0,254.41400000000002,0.0,0
46804,-1.0230000000000001,75.586,0.0,0.0,-1.1500000000000001,341.6462,-161.70000000000002,-71.9,5.742,0,0.0,-0.48,310.14000000000004,5.2538,35.46,0.0,253.711,0.0,0
46804,-0.512,75.586,0.0,0.0,-1.1500000000000001,340.108,-161.70000000000002,-76.0,5.742,0,2.0,-0.485,310.005,1.7815,36.0,0.0,252.96900000000002,0.0,0
46804,-0.853,75.586,0.0,0.0,-1.1500000000000001,338.4889,-161.70000000000002,-78.8,5.742,0,1.0,-0.48,310.005,-4.2889,36.0,0.0,252.18800000000002,0.0,0
46804,-0.341,75.586,0.0,0.0,-1.1500000000000001,338.3251,-163.8,-79.3,5.742,0,1.0,-0.485,310.005,-4.6188,36.03,0.0,252.109,0.0,0
46804,-0.341,75.586,0.0,0.0,-1.1500000000000001,336.6634,-163.6,-80.9,5.742,0,1.0,-0.48,310.14000000000004,2.3754,36.12,0.0,251.30900000000003,0.0,0
46804,-0.512,75.586,0.0,0.0,-1.1500000000000001,334.98310000000004,-163.6,-80.60000000000001,5.742,0,0.0,-0.495,310.005,4.8827,35.550000000000004,0.0,250.508,0.0,0
46804,-0.512,75.586,-0.5,0.0,-1.1500000000000001,333.3028,-163.70000000000002,-80.3,5.742,0,2.0,-0.47500000000000003,310.14000000000004,-2.4743,34.980000000000004,0.0,249.70700000000002,0.0,0
46804,-0.341,75.586,0.0,0.0,-1.1500000000000001,331.62260000000003,-163.6,-79.8,5.742,0,1.0,-0.5,310.005,-3.8270000000000004,34.44,0.0,248.906,0.0,0
46804,-1.0230000000000001,75.586,0.0,0.0,-1.1500000000000001,329.9239,-167.8,-80.3,5.742,0,1.0,-0.47000000000000003,310.14000000000004,1.7485000000000002,34.26,0.0,248.10500000000002,0.0,0
46804,-0.512,75.586,0.0,0.0,-1.1500000000000001,328.22520000000003,-165.6,-80.10000000000001,5.742,0,2.0,-0.51,310.14000000000004,3.1672000000000002,34.29,0.0,247.305,0.0,0
