Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46783,-0.341,51.719,0.0,0.0,-0.544,350.0786,0.0,0.0,5.742,0,0.0,-0.54,310.005,-2.7713,39.9,0.0,257.832,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,350.0786,0.0,0.0,5.742,0,0.0,-0.42,309.915,-1.7815,39.78,0.0,257.832,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,350.0786,0.0,0.0,5.742,0,0.0,-0.42,310.005,2.3754,39.45,0.0,257.832,0.0,0
46783,-0.171,51.719,0.0,0.0,-0.544,350.0786,0.0,-0.2,5.742,0,0.0,-0.425,310.005,-1.0557,39.03,0.0,257.832,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,350.0786,0.0,-1.3,5.742,0,0.0,-0.39,310.14000000000004,4.3548,38.52,0.0,257.832,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,349.9995,0.0,-4.3,5.742,0,0.0,-0.425,310.14000000000004,1.7485000000000002,38.52,0.0,257.793,0.0,0
46783,-0.171,51.719,0.0,0.0,-0.544,349.8798,0.0,-8.3,5.742,0,0.0,-0.43,309.915,-2.1114,37.62,0.0,257.73400000000004,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,349.64230000000003,-40.6,-14.200000000000001,5.742,0,0.0,-0.41500000000000004,310.14000000000004,-0.2639,37.53,0.0,257.617,0.0,0
46783,-0.682,51.719,0.0,0.0,-0.544,349.28520000000003,-40.6,-20.3,5.742,0,0.0,-0.44,309.915,-0.6598,37.47,0.0,257.44100000000003,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,348.77180000000004,-79.10000000000001,-27.200000000000003,5.742,0,0.0,-0.44,309.915,1.0557,37.02,0.0,257.188,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,348.13660000000004,-79.10000000000001,-34.5,5.742,0,0.0,-0.405,310.005,-4.3548,37.02,0.0,256.875,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,347.38,-80.0,-42.2,5.742,0,0.0,-0.405,309.915,-2.1114,38.31,0.0,256.504,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,346.4186,-79.9,-49.5,5.742,0,0.0,-0.435,310.005,0.0,40.2,0.0,256.035,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,345.33820000000003,-118.9,-56.900000000000006,5.742,0,0.0,-0.425,310.005,2.1114,41.04,0.0,255.508,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,344.09590000000003,-120.9,-62.800000000000004,5.742,0,0.0,-0.435,310.14000000000004,7.9179,40.86,0.0,254.90200000000002,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,342.7346,-159.9,-68.9,5.742,0,0.0,-0.43,310.005,2.1114,40.47,0.0,254.238,0.0,0
46783,-0.341,51.719,0.0,0.0,-0.544,341.28130000000004,-122.30000000000001,-73.5,5.742,0,0.0,-0.42,310.005,-0.5279,39.45,0.0,253.53500000000003,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,339.70160000000004,-163.8,-77.5,5.742,0,0.0,-0.4,310.005,-0.165,38.7,0.0,252.77300000000002,0.0,0
46783,-0.171,51.719,0.0,0.0,-0.544,339.5399,-161.70000000000002,-77.5,5.742,0,0.0,-0.425,310.005,0.2227,38.64,0.0,252.69500000000002,0.0,0
46783,-0.341,51.719,0.0,0.0,-0.544,337.9209,-161.70000000000002,-79.60000000000001,5.742,0,0.0,-0.405,309.915,-3.8105,38.43,0.0,251.91400000000002,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,336.2124,-203.4,-80.60000000000001,5.742,0,0.0,-0.435,310.005,-2.8372,38.25,0.0,251.09400000000002,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,334.5321,-163.6,-80.3,5.742,0,0.0,-0.425,310.005,5.5425,38.07,0.0,250.293,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,332.8518,-163.70000000000002,-80.3,5.742,0,0.0,-0.43,310.005,5.987900000000001,37.86,0.0,249.49200000000002,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,331.1682,-167.8,-80.10000000000001,5.742,0,0.0,-0.43,310.005,-3.2991,38.37,0.0,248.691,0.0,0
46783,-0.341,51.719,0.0,0.0,-0.544,329.46950000000004,-165.6,-80.3,5.742,0,0.0,-0.435,309.915,-4.577500000000001,38.910000000000004,0.0,247.89100000000002,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,327.7687,-165.6,-80.3,5.742,0,0.0,-0.445,310.14000000000004,0.6351,40.32,0.0,247.09,0.0,0
46783,-0.682,51.719,0.0,0.0,-0.544,326.06780000000003,-165.6,-79.8,5.742,0,0.0,-0.44,310.005,0.9073,40.77,0.0,246.28900000000002,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,324.3483,-167.6,-79.8,5.742,0,0.0,-0.435,310.14000000000004,-1.8887,40.62,0.0,245.488,0.0,0
46783,-0.171,51.719,0.0,0.0,-0.544,322.62850000000003,-167.70000000000002,-80.3,5.742,0,0.0,-0.43,310.14000000000004,2.2846,39.96,0.0,244.68800000000002,0.0,0
46783,-0.512,51.719,0.0,0.0,-0.544,320.9066,-167.70000000000002,-79.8,5.742,0,0.0,-0.42,309.915,5.691,39.36,0.0,243.887,0.0,0
46783,-0.341,51.719,0.0,0.0,-0.544,319.1717,-169.70000000000002,-79.60000000000001,5.742,0,0.0,-0.43,310.005,-4.0909,38.43,0.0,243.086,0.0,0
46783,-0.171,51.719,0.0,0.0,-0.544,317.4287,-169.70000000000002,-80.3,5.742,0,0.0,-0.42,309.915,-7.0189,38.79,0.0,242.28500000000003,0.0,0
46783,-0.341,51.719,0.0,0.0,-0.544,315.6856,-171.9,-80.10000000000001,5.742,0,0.0,-0.42,310.005,0.1567,38.67,0.0,241.484,0.0,0
46783,-0.341,51.719,0.0,0.0,-0.544,313.9375,-171.8,-80.9,5.742,0,0.0,-0.425,310.005,6.2023,38.22,0.0,240.684,0.0,0
46783,-0.682,51.719,0.0,0.0,-0.544,312.1734,-171.8,-79.8,5.742,0,0.0,-0.435,310.005,4.2889,37.08,0.0,239.883,0.0,0
46783,-0.682,51.719,0.0,0.0,-0.544,310.40930000000003,-171.8,-80.3,5.742,0,0.0,-0.41000000000000003,310.005,-1.5836000000000001,37.95,0.0,239.08200000000002,0.0,0
