Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46800,-0.853,75.586,0.0,0.0,-2.178,350.0786,0.0,0.0,5.742,0,-1.0,-0.625,310.005,-2.9032,36.15,0.0,257.832,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,350.0786,0.0,0.0,5.742,0,0.0,-0.405,310.005,-0.5938,35.82,0.0,257.832,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,350.0786,0.0,-0.2,5.742,0,-2.0,-0.48,310.14000000000004,4.0909,35.1,0.0,257.832,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,350.0786,0.0,-0.5,5.742,0,-1.0,-0.455,310.005,-0.7918000000000001,35.4,0.0,257.832,0.0,0
46800,-0.682,75.586,0.0,0.0,-2.178,350.0401,0.0,-3.5,5.742,0,-1.0,-0.47500000000000003,310.14000000000004,0.0,35.94,0.0,257.813,0.0,0
46800,-0.682,75.586,0.0,0.0,-2.178,349.9203,0.0,-6.6000000000000005,5.742,0,-1.0,-0.47000000000000003,310.005,-1.2207000000000001,36.18,0.0,257.754,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,349.7215,-40.6,-11.700000000000001,5.742,0,-1.0,-0.435,309.915,1.3196,34.83,0.0,257.656,0.0,0
46800,-1.194,75.586,0.0,0.0,-2.178,349.4049,-40.6,-18.8,5.742,0,-1.0,-0.425,310.14000000000004,0.5279,33.84,0.0,257.5,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,348.96860000000004,-40.6,-24.700000000000003,5.742,0,0.0,-0.46,310.005,-1.3196,33.3,0.0,257.285,0.0,0
46800,-0.512,75.586,0.0,0.0,-2.178,348.374,-40.6,-32.300000000000004,5.742,0,-2.0,-0.47000000000000003,310.005,2.5733,33.6,0.0,256.992,0.0,0
46800,-0.171,75.586,0.0,0.0,-2.178,347.61990000000003,-79.9,-39.4,5.742,0,0.0,-0.47500000000000003,310.14000000000004,0.39590000000000003,34.65,0.0,256.62100000000004,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,346.6994,-118.9,-47.5,5.742,0,-1.0,-0.46,310.005,-0.7918000000000001,36.480000000000004,0.0,256.172,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,345.658,-120.9,-54.1,5.742,0,-1.0,-0.465,310.005,-2.5073000000000003,37.59,0.0,255.66400000000002,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,344.4977,-118.9,-61.0,5.742,0,-1.0,-0.49,310.14000000000004,1.5836000000000001,37.44,0.0,255.098,0.0,0
46800,-0.682,75.586,0.0,0.0,-2.178,343.1754,-121.0,-66.60000000000001,5.742,0,0.0,-0.47000000000000003,310.005,0.7918000000000001,36.06,0.0,254.453,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,341.72700000000003,-161.70000000000002,-71.7,5.742,0,-1.0,-0.455,310.14000000000004,-1.6826,35.58,0.0,253.75,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,340.1888,-161.70000000000002,-76.0,5.742,0,-1.0,-0.435,310.14000000000004,4.486800000000001,36.09,0.0,253.008,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,340.0271,-161.70000000000002,-76.5,5.742,0,-1.0,-0.43,309.915,4.1321,36.15,0.0,252.93,0.0,0
46800,-0.682,75.586,0.0,0.0,-2.178,338.406,-163.70000000000002,-79.3,5.742,0,-1.0,-0.46,310.005,-2.9692000000000003,35.67,0.0,252.14800000000002,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,336.7452,-163.6,-80.3,5.742,0,-1.0,-0.47500000000000003,310.005,-5.4518,35.43,0.0,251.348,0.0,0
46800,-0.512,75.586,0.0,0.0,-2.178,335.0649,-163.6,-80.9,5.742,0,0.0,-0.5,310.005,4.3136,34.26,0.0,250.54700000000003,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,333.3448,-203.5,-80.10000000000001,5.742,0,0.0,-0.445,310.005,2.7713,34.14,0.0,249.727,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,331.66450000000003,-203.5,-79.60000000000001,5.742,0,0.0,-0.47500000000000003,310.005,0.9897,34.05,0.0,248.92600000000002,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,329.9664,-208.10000000000002,-79.8,5.742,0,-1.0,-0.45,310.005,-2.9032,34.32,0.0,248.125,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,328.308,-165.6,-79.8,5.742,0,-2.0,-0.525,309.915,-2.2022,35.1,0.0,247.34400000000002,0.0,0
46800,-0.682,75.586,0.0,0.0,-2.178,326.60720000000003,-165.6,-79.8,5.742,0,-1.0,-0.495,310.005,0.46190000000000003,36.24,0.0,246.543,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,324.89430000000004,-167.6,-79.8,5.742,0,0.0,-0.405,310.14000000000004,0.0907,36.36,0.0,245.74200000000002,0.0,0
46800,-0.682,75.586,0.0,0.0,-2.178,323.17240000000004,-169.8,-80.10000000000001,5.742,0,-1.0,-0.485,309.915,1.7815,36.27,0.0,244.941,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,321.4527,-167.6,-80.3,5.742,0,0.0,-0.47500000000000003,310.005,-0.7258,35.88,0.0,244.14100000000002,0.0,0
46800,-0.682,75.586,0.0,0.0,-2.178,319.7244,-169.70000000000002,-80.10000000000001,5.742,0,0.0,-0.41500000000000004,310.005,-1.7568000000000001,35.79,0.0,243.34,0.0,0
46800,-0.682,75.586,0.0,0.0,-2.178,317.9814,-169.70000000000002,-80.3,5.742,0,-1.0,-0.455,310.005,1.7155,35.49,0.0,242.53900000000002,0.0,0
46800,-0.512,75.586,0.0,0.0,-2.178,316.2384,-169.70000000000002,-80.3,5.742,0,0.0,-0.505,310.14000000000004,3.3404000000000003,35.67,0.0,241.738,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,314.49690000000004,-170.3,-79.3,5.742,0,-1.0,-0.435,310.14000000000004,6.3096000000000005,35.79,0.0,240.93800000000002,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,314.3229,-174.0,-79.8,5.742,0,0.0,-0.395,310.14000000000004,6.334300000000001,35.76,0.0,240.859,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,312.56100000000004,-171.8,-80.10000000000001,5.742,0,-2.0,-0.455,310.005,0.0,35.22,0.0,240.059,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,310.7969,-171.8,-80.10000000000001,5.742,0,-1.0,-0.495,309.915,-9.5015,34.17,0.0,239.258,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,309.0328,-171.8,-79.60000000000001,5.742,0,-1.0,-0.455,310.005,-2.8043,33.480000000000004,0.0,238.45700000000002,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,307.25100000000003,-173.8,-80.3,5.742,0,-2.0,-0.41500000000000004,309.915,-0.132,33.78,0.0,237.656,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,305.4662,-176.0,-79.8,5.742,0,0.0,-0.49,310.14000000000004,-1.4846000000000001,34.35,0.0,236.85500000000002,0.0,0
46800,-0.682,75.586,0.0,0.0,-2.178,303.6836,-173.8,-79.8,5.742,0,-1.0,-0.48,310.005,2.2434000000000003,35.730000000000004,0.0,236.055,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,301.887,-175.70000000000002,-79.8,5.742,0,0.0,-0.455,309.915,2.3754,36.300000000000004,0.0,235.25400000000002,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,300.0819,-175.8,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.14000000000004,0.7918000000000001,36.57,0.0,234.453,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,298.2769,-175.8,-79.60000000000001,5.742,0,-1.0,-0.52,310.005,-1.0557,36.21,0.0,233.65200000000002,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,296.468,-177.70000000000002,-79.8,5.742,0,-1.0,-0.505,310.005,0.6598,36.27,0.0,232.852,0.0,0
46800,-0.512,75.586,0.0,0.0,-2.178,294.6435,-177.70000000000002,-80.3,5.742,0,0.0,-0.48,310.005,-1.4846000000000001,35.49,0.0,232.05100000000002,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,292.819,-177.70000000000002,-80.10000000000001,5.742,0,0.0,-0.5,310.14000000000004,0.7918000000000001,34.68,0.0,231.25,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,290.9938,-178.4,-79.8,5.742,0,-1.0,-0.405,310.14000000000004,0.6928000000000001,33.78,0.0,230.449,0.0,0
46800,-0.682,75.586,0.0,0.0,-2.178,289.15070000000003,-181.8,-79.60000000000001,5.742,0,-1.0,-0.45,310.005,-0.2639,33.660000000000004,0.0,229.64800000000002,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,287.3099,-179.5,-79.8,5.742,0,-1.0,-0.465,310.005,2.7383,33.72,0.0,228.848,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,285.46680000000003,-179.5,-80.10000000000001,5.742,0,-1.0,-0.43,310.005,-0.132,33.81,0.0,228.047,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,283.6101,-181.20000000000002,-79.8,5.742,0,0.0,-0.49,310.23,2.7383,34.59,0.0,227.246,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,281.74940000000004,-181.20000000000002,-79.8,5.742,0,-1.0,-0.42,310.005,0.9238000000000001,35.28,0.0,226.44500000000002,0.0,0
46800,-0.512,75.586,0.0,0.0,-2.178,279.891,-181.20000000000002,-80.3,5.742,0,-1.0,-0.53,310.005,-1.0557,35.160000000000004,0.0,225.645,0.0,0
46800,-1.0230000000000001,75.586,0.0,0.0,-2.178,278.0221,-182.8,-79.3,5.742,0,-1.0,-0.465,310.14000000000004,-2.5073000000000003,35.31,0.0,224.84400000000002,0.0,0
46800,-0.853,75.586,0.0,0.0,-2.178,276.14480000000003,-182.8,-80.3,5.742,0,-1.0,-0.43,310.14000000000004,4.651800000000001,36.6,0.0,224.043,0.0,0
46800,-0.682,75.586,0.0,0.0,-2.178,274.26750000000004,-182.8,-79.8,5.742,0,0.0,-0.48,309.915,-1.4516,36.51,0.0,223.24200000000002,0.0,0
