Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46718,0.0,67.62700000000001,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,2.0,-0.56,310.005,-3.563,36.03,0.0,257.832,0.0,0
46718,0.0,67.62700000000001,0.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,2.0,-0.55,309.915,1.9135000000000002,36.75,0.0,257.832,0.0,0
46718,0.341,67.62700000000001,1.0,0.0,-1.754,350.0786,0.0,0.0,5.742,0,1.0,-0.505,310.14000000000004,4.2229,37.35,0.0,257.832,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,350.0786,0.0,-0.2,5.742,0,1.0,-0.44,310.005,-0.2639,37.410000000000004,0.0,257.832,0.0,0
46718,0.0,67.62700000000001,0.0,0.0,-1.754,350.0786,0.0,-1.5,5.742,0,4.0,-0.47000000000000003,310.005,2.6393,37.71,0.0,257.832,0.0,0
46718,0.341,67.62700000000001,0.0,0.0,-1.754,349.9995,0.0,-5.3,5.742,0,3.0,-0.485,310.14000000000004,-1.5836000000000001,37.62,0.0,257.793,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,349.8412,-38.6,-8.9,5.742,0,2.0,-0.5,310.005,0.9238000000000001,37.230000000000004,0.0,257.71500000000003,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,349.60380000000004,-38.5,-15.200000000000001,5.742,0,3.0,-0.49,310.005,0.2639,36.69,0.0,257.598,0.0,0
46718,0.0,67.62700000000001,0.0,0.0,-1.754,349.2466,-38.6,-21.1,5.742,0,3.0,-0.525,310.14000000000004,0.0,35.58,0.0,257.422,0.0,0
46718,-0.171,67.62700000000001,0.0,0.0,-1.754,348.7312,-40.6,-28.200000000000003,5.742,0,0.0,-0.385,309.915,-1.2537,34.74,0.0,257.168,0.0,0
46718,-0.171,67.62700000000001,0.0,0.0,-1.754,348.096,-40.6,-35.300000000000004,5.742,0,5.0,-0.49,309.915,-5.5425,33.99,0.0,256.855,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,347.2591,-120.9,-42.2,5.742,0,0.0,-0.44,310.005,1.6826,34.02,0.0,256.445,0.0,0
46718,0.341,67.62700000000001,0.0,0.0,-1.754,346.29970000000003,-118.9,-49.800000000000004,5.742,0,-1.0,-0.49,310.005,2.2434000000000003,35.28,0.0,255.977,0.0,0
46718,0.0,67.62700000000001,0.0,0.0,-1.754,345.2172,-121.0,-56.900000000000006,5.742,0,0.0,-0.49,310.005,-2.4413,36.27,0.0,255.449,0.0,0
46718,0.0,67.62700000000001,0.0,0.0,-1.754,343.97700000000003,-118.9,-63.5,5.742,0,1.0,-0.49,310.005,0.2639,36.78,0.0,254.84400000000002,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,342.6157,-118.9,-69.4,5.742,0,3.0,-0.465,310.14000000000004,4.651800000000001,37.02,0.0,254.18,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,341.1196,-161.70000000000002,-74.5,5.742,0,1.0,-0.52,310.005,2.7713,37.17,0.0,253.45700000000002,0.0,0
46718,0.0,67.62700000000001,0.0,0.0,-1.754,339.5399,-161.70000000000002,-77.5,5.742,0,-1.0,-0.495,310.005,0.7918000000000001,36.36,0.0,252.69500000000002,0.0,0
46718,0.0,67.62700000000001,0.0,0.0,-1.754,337.9209,-161.70000000000002,-79.60000000000001,5.742,0,0.0,-0.495,310.005,-6.0704,36.42,0.0,251.91400000000002,0.0,0
46718,-0.171,67.62700000000001,0.0,0.0,-1.754,337.71770000000004,-203.20000000000002,-79.60000000000001,5.742,0,0.0,-0.48,310.005,-5.9137,36.51,0.0,251.816,0.0,0
46718,0.0,67.62700000000001,0.0,0.0,-1.754,336.0487,-163.70000000000002,-80.10000000000001,5.742,0,1.0,-0.495,310.14000000000004,0.1072,36.54,0.0,251.01600000000002,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,334.36850000000004,-163.6,-80.3,5.742,0,2.0,-0.465,310.14000000000004,3.4063000000000003,36.33,0.0,250.215,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,332.6882,-163.6,-80.3,5.742,0,3.0,-0.48,310.005,-2.8372,35.730000000000004,0.0,249.41400000000002,0.0,0
46718,-0.171,67.62700000000001,0.0,0.0,-1.754,331.00260000000003,-165.6,-80.3,5.742,0,3.0,-0.485,310.005,-1.097,35.19,0.0,248.613,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,329.3039,-165.6,-80.10000000000001,5.742,0,3.0,-0.48,310.14000000000004,2.7465,34.74,0.0,247.81300000000002,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,327.603,-165.70000000000002,-79.60000000000001,5.742,0,3.0,-0.515,309.915,-1.5011,34.65,0.0,247.012,0.0,0
46718,0.0,67.62700000000001,0.0,0.0,-1.754,327.4374,-165.6,-79.60000000000001,5.742,0,4.0,-0.54,309.915,-2.5733,34.65,0.0,246.93400000000003,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,325.7348,-167.4,-79.60000000000001,5.742,0,4.0,-0.47500000000000003,310.14000000000004,-1.1877,34.62,0.0,246.133,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,324.0129,-167.70000000000002,-80.3,5.742,0,1.0,-0.42,310.14000000000004,-1.3196,35.88,0.0,245.33200000000002,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,322.291,-167.70000000000002,-79.8,5.742,0,0.0,-0.455,310.005,1.8475000000000001,37.02,0.0,244.531,0.0,0
46718,0.0,67.62700000000001,0.0,0.0,-1.754,320.5692,-169.8,-80.10000000000001,5.742,0,2.0,-0.425,310.14000000000004,1.8475000000000001,37.59,0.0,243.73000000000002,0.0,0
46718,0.0,67.62700000000001,0.0,0.0,-1.754,318.8322,-169.8,-79.60000000000001,5.742,0,-1.0,-0.505,310.005,-2.9032,37.11,0.0,242.93,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,317.0892,-169.70000000000002,-79.8,5.742,0,-1.0,-0.47500000000000003,310.005,1.5836000000000001,36.93,0.0,242.12900000000002,0.0,0
46718,0.0,67.62700000000001,0.0,0.0,-1.754,315.3462,-169.70000000000002,-80.10000000000001,5.742,0,1.0,-0.455,310.005,-2.3754,36.15,0.0,241.328,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,313.5917,-171.8,-79.8,5.742,0,1.0,-0.455,310.005,0.0,35.85,0.0,240.52700000000002,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,311.82980000000003,-171.8,-79.8,5.742,0,1.0,-0.46,310.005,2.9032,36.06,0.0,239.727,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,310.0657,-171.8,-79.8,5.742,0,2.0,-0.48,310.005,0.0,35.85,0.0,238.92600000000002,0.0,0
46718,-0.171,67.62700000000001,0.0,0.0,-1.754,308.296,-173.8,-79.3,5.742,0,6.0,-0.465,310.005,0.39590000000000003,35.49,0.0,238.125,0.0,0
46718,-0.171,67.62700000000001,0.0,0.0,-1.754,306.51120000000003,-173.8,-79.8,5.742,0,2.0,-0.515,310.005,-1.5836000000000001,34.14,0.0,237.324,0.0,0
46718,0.171,67.62700000000001,0.0,0.0,-1.754,306.3374,-173.8,-79.8,5.742,0,2.0,-0.505,310.005,-1.9795,34.11,0.0,237.246,0.0,0
46718,0.341,67.62700000000001,0.0,0.0,-1.754,304.55260000000004,-173.8,-79.60000000000001,5.742,0,4.0,-0.465,310.005,-2.1774,33.660000000000004,0.0,236.44500000000002,0.0,0
