Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46815,-0.682,51.719,-0.5,0.0,-1.331,350.0786,0.0,0.0,5.742,0,-2.0,-0.665,310.005,-2.8455,35.730000000000004,0.0,257.832,0.0,0
46815,-0.341,51.719,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,-1.0,-0.505,310.005,-0.0412,36.6,0.0,257.832,0.0,0
46815,-0.512,51.719,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,-1.0,-0.42,310.005,3.7775000000000003,37.38,0.0,257.832,0.0,0
46815,-0.341,51.719,0.5,0.0,-1.331,350.0786,0.0,0.0,5.742,0,-2.0,-0.365,310.005,-1.9547,37.08,0.0,257.832,0.0,0
46815,-0.171,51.719,-0.5,0.0,-1.331,350.0786,0.0,-0.5,5.742,0,-1.0,-0.47500000000000003,310.005,-2.1774,36.87,0.0,257.832,0.0,0
46815,-0.512,51.719,0.0,0.0,-1.331,350.0401,0.0,-3.5,5.742,0,-2.0,-0.455,310.14000000000004,2.1114,36.15,0.0,257.813,0.0,0
46815,-0.512,51.719,0.0,0.0,-1.331,349.9203,0.0,-6.6000000000000005,5.742,0,-2.0,-0.46,310.005,0.7341000000000001,36.480000000000004,0.0,257.754,0.0,0
46815,-0.341,51.719,0.0,0.0,-1.331,349.7215,-40.6,-12.700000000000001,5.742,0,-1.0,-0.47500000000000003,309.915,-0.42060000000000003,36.57,0.0,257.656,0.0,0
46815,-0.853,51.719,0.0,0.0,-1.331,349.4049,-40.6,-18.5,5.742,0,0.0,-0.44,310.005,-3.2084,36.72,0.0,257.5,0.0,0
46815,-0.341,51.719,0.0,0.0,-1.331,348.96860000000004,-40.6,-24.900000000000002,5.742,0,-1.0,-0.425,310.005,-1.5588000000000002,35.52,0.0,257.285,0.0,0
46815,-0.853,51.719,0.5,0.0,-1.331,348.374,-40.6,-32.5,5.742,0,-1.0,-0.47000000000000003,310.005,7.2416,34.95,0.0,256.992,0.0,0
46815,-0.341,51.719,-0.5,0.0,-1.331,347.61990000000003,-79.9,-39.7,5.742,0,0.0,-0.455,310.005,0.39590000000000003,33.87,0.0,256.62100000000004,0.0,0
46815,-0.341,51.719,0.0,0.0,-1.331,346.6994,-118.9,-47.800000000000004,5.742,0,0.0,-0.445,309.915,-2.2929,33.660000000000004,0.0,256.172,0.0,0
46815,-0.682,51.719,-0.5,0.0,-1.331,345.658,-120.9,-54.1,5.742,0,-1.0,-0.47000000000000003,310.14000000000004,-1.1877,34.89,0.0,255.66400000000002,0.0,0
46815,-0.171,51.719,0.0,0.0,-1.331,344.4977,-118.9,-60.5,5.742,0,-1.0,-0.49,310.14000000000004,-0.1567,36.45,0.0,255.098,0.0,0
46815,-0.682,51.719,0.0,0.0,-1.331,343.1754,-121.0,-66.9,5.742,0,-1.0,-0.485,310.14000000000004,9.0808,37.47,0.0,254.453,0.0,0
46815,-1.0230000000000001,51.719,0.5,0.0,-1.331,341.72700000000003,-161.70000000000002,-72.2,5.742,0,-1.0,-0.505,310.14000000000004,-2.7218,37.44,0.0,253.75,0.0,0
46815,-0.682,51.719,0.0,0.0,-1.331,341.56530000000004,-161.70000000000002,-72.5,5.742,0,-1.0,-0.48,310.14000000000004,-1.897,37.32,0.0,253.67200000000003,0.0,0
46815,-0.512,51.719,-0.5,0.0,-1.331,340.0271,-161.70000000000002,-76.5,5.742,0,-1.0,-0.47500000000000003,310.005,-7.6375,36.24,0.0,252.93,0.0,0
46815,-0.171,51.719,-0.5,0.0,-1.331,338.406,-163.70000000000002,-79.60000000000001,5.742,0,-1.0,-0.47000000000000003,310.14000000000004,0.6103000000000001,35.49,0.0,252.14800000000002,0.0,0
46815,-0.341,51.719,0.0,0.0,-1.331,336.7452,-163.6,-80.3,5.742,0,-1.0,-0.485,310.005,-1.5836000000000001,34.83,0.0,251.348,0.0,0
46815,-0.512,51.719,-0.5,0.0,-1.331,335.0649,-163.6,-80.60000000000001,5.742,0,-1.0,-0.515,310.14000000000004,1.3609,35.7,0.0,250.54700000000003,0.0,0
46815,-0.512,51.719,-0.5,0.0,-1.331,333.3448,-163.6,-80.10000000000001,5.742,0,-1.0,-0.43,310.14000000000004,2.6805000000000003,35.22,0.0,249.727,0.0,0
46815,-0.512,51.719,-0.5,0.0,-1.331,331.66450000000003,-163.70000000000002,-80.10000000000001,5.742,0,-1.0,-0.49,310.14000000000004,0.6928000000000001,35.19,0.0,248.92600000000002,0.0,0
46815,-0.341,51.719,-0.5,0.0,-1.331,329.9664,-165.6,-79.8,5.742,0,-1.0,-0.47000000000000003,310.005,-2.1032,34.410000000000004,0.0,248.125,0.0,0
46815,-0.171,51.719,0.0,0.0,-1.331,328.26550000000003,-208.10000000000002,-80.10000000000001,5.742,0,-1.0,-0.505,310.14000000000004,2.2269,34.53,0.0,247.324,0.0,0
46815,-0.341,51.719,0.0,0.0,-1.331,326.5647,-208.10000000000002,-79.8,5.742,0,-1.0,-0.485,309.915,-3.0599000000000003,34.53,0.0,246.52300000000002,0.0,0
46815,-0.341,51.719,0.0,0.0,-1.331,324.89430000000004,-167.6,-79.8,5.742,0,-2.0,-0.465,310.005,-3.3074000000000003,35.910000000000004,0.0,245.74200000000002,0.0,0
46815,-0.341,51.719,0.5,0.0,-1.331,323.17240000000004,-169.8,-80.10000000000001,5.742,0,0.0,-0.465,310.14000000000004,2.7465,36.300000000000004,0.0,244.941,0.0,0
46815,-0.341,51.719,0.5,0.0,-1.331,321.4527,-167.6,-80.3,5.742,0,-1.0,-0.47500000000000003,310.005,2.3836,36.36,0.0,244.14100000000002,0.0,0
46815,-0.512,51.719,-0.5,0.0,-1.331,319.7244,-169.70000000000002,-80.3,5.742,0,0.0,-0.47000000000000003,310.14000000000004,-1.0392000000000001,35.94,0.0,243.34,0.0,0
46815,-0.341,51.719,0.5,0.0,-1.331,317.9814,-169.70000000000002,-80.3,5.742,0,0.0,-0.465,310.005,0.37120000000000003,36.12,0.0,242.53900000000002,0.0,0
46815,-0.341,51.719,0.0,0.0,-1.331,316.2384,-169.70000000000002,-80.3,5.742,0,-1.0,-0.41500000000000004,310.005,-3.9342,35.88,0.0,241.738,0.0,0
46815,-0.512,51.719,0.5,0.0,-1.331,314.49690000000004,-170.3,-79.60000000000001,5.742,0,-1.0,-0.47000000000000003,310.005,-3.4393000000000002,35.79,0.0,240.93800000000002,0.0,0
46815,-0.341,51.719,-0.5,0.0,-1.331,312.7328,-171.8,-80.10000000000001,5.742,0,0.0,-0.48,310.005,0.6433,35.43,0.0,240.137,0.0,0
46815,-0.512,51.719,0.0,0.0,-1.331,310.9687,-171.8,-80.10000000000001,5.742,0,-1.0,-0.5,310.005,2.6888,34.980000000000004,0.0,239.336,0.0,0
