Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46756,-0.171,51.719,0.0,0.0,-0.121,350.0786,0.0,-0.2,5.742,0,0.0,-0.39,309.915,-0.9897,39.87,0.0,257.832,0.0,0
46756,-0.341,51.719,0.5,0.0,-0.121,350.0786,0.0,0.0,5.742,0,0.0,-0.64,310.005,-1.2042000000000002,39.99,0.0,257.832,0.0,0
46756,0.0,51.719,0.0,0.0,-0.121,350.0786,0.0,0.2,5.742,0,0.0,-0.54,310.005,-1.1712,39.96,0.0,257.832,0.0,0
46756,-0.341,51.719,-0.5,0.0,-0.121,350.0786,0.0,0.0,5.742,0,-2.0,-0.465,310.005,-2.1609000000000003,39.27,0.0,257.832,0.0,0
46756,-0.171,51.719,0.0,0.0,-0.121,350.0786,0.0,-0.2,5.742,0,0.0,-0.455,309.915,0.47840000000000005,38.52,0.0,257.832,0.0,0
46756,-0.512,51.719,-0.5,0.0,-0.121,350.0786,0.0,-1.5,5.742,0,0.0,-0.485,309.915,-1.1712,37.53,0.0,257.832,0.0,0
46756,0.0,51.719,0.0,0.0,-0.121,349.9995,0.0,-5.3,5.742,0,0.0,-0.46,310.005,-0.18150000000000002,36.96,0.0,257.793,0.0,0
46756,-0.171,51.719,0.0,0.0,-0.121,349.8412,-38.6,-8.9,5.742,0,0.0,-0.48,310.005,0.8083,36.9,0.0,257.71500000000003,0.0,0
46756,-0.512,51.719,0.0,0.0,-0.121,349.60380000000004,0.0,-15.5,5.742,0,0.0,-0.48,310.005,0.9897,37.26,0.0,257.598,0.0,0
46756,-0.512,51.719,-0.5,0.0,-0.121,349.5632,-40.6,-16.5,5.742,0,0.0,-0.43,310.005,0.6433,37.230000000000004,0.0,257.57800000000003,0.0,0
