Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46951,-1.194,75.586,0.5,0.0,-1.5130000000000001,350.0786,0.0,0.0,5.742,0,1.0,-0.735,310.005,1.3856000000000002,33.96,0.0,257.832,0.0,0
46951,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.56,310.005,-0.39590000000000003,33.15,0.0,257.832,0.0,0
46951,-0.853,75.586,-0.5,0.0,-1.5130000000000001,350.0786,0.0,0.2,5.742,0,1.0,-0.535,310.005,-3.5383,32.34,0.0,257.832,0.0,0
46951,-0.682,75.586,0.0,0.0,-1.5130000000000001,350.0786,0.0,0.0,5.742,0,0.0,-0.54,310.14000000000004,1.3856000000000002,32.67,0.0,257.832,0.0,0
46951,-1.5350000000000001,75.586,0.0,0.0,-1.5130000000000001,350.0786,0.0,-1.5,5.742,0,4.0,-0.51,310.005,0.9897,34.62,0.0,257.832,0.0,0
46951,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,349.9995,0.0,-4.8,5.742,0,-2.0,-0.53,309.915,-2.4249,36.480000000000004,0.0,257.793,0.0,0
46951,-0.853,75.586,0.0,0.0,-1.5130000000000001,349.8798,0.0,-8.9,5.742,0,-2.0,-0.525,309.915,-1.5423,37.47,0.0,257.73400000000004,0.0,0
46951,-1.0230000000000001,75.586,0.5,0.0,-1.5130000000000001,349.64230000000003,0.0,-15.200000000000001,5.742,0,-1.0,-0.5,310.005,-0.46190000000000003,36.81,0.0,257.617,0.0,0
46951,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,349.2466,-38.6,-20.5,5.742,0,-4.0,-0.515,310.005,1.4351,36.18,0.0,257.422,0.0,0
46951,-1.364,75.586,0.0,0.0,-1.5130000000000001,348.77180000000004,-38.5,-27.700000000000003,5.742,0,1.0,-0.495,310.005,3.6950000000000003,35.28,0.0,257.188,0.0,0
46951,-0.853,75.586,0.0,0.0,-1.5130000000000001,348.096,-81.2,-35.300000000000004,5.742,0,4.0,-0.52,310.14000000000004,0.5691,34.47,0.0,256.855,0.0,0
46951,-0.853,75.586,0.0,0.0,-1.5130000000000001,347.30010000000004,-79.9,-42.7,5.742,0,0.0,-0.535,310.14000000000004,3.7363000000000004,34.02,0.0,256.46500000000003,0.0,0
46951,-0.512,75.586,0.0,0.0,-1.5130000000000001,346.33860000000004,-121.0,-49.5,5.742,0,3.0,-0.515,310.005,-3.2991,34.83,0.0,255.996,0.0,0
46951,-1.0230000000000001,75.586,-0.5,0.0,-1.5130000000000001,345.25820000000004,-118.9,-56.900000000000006,5.742,0,0.0,-0.495,310.005,-3.563,35.46,0.0,255.46900000000002,0.0,0
46951,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,344.01590000000004,-121.0,-63.5,5.742,0,2.0,-0.49,310.005,1.5423,34.89,0.0,254.863,0.0,0
46951,-0.853,75.586,0.0,0.0,-1.5130000000000001,343.897,-118.9,-64.10000000000001,5.742,0,2.0,-0.525,310.005,1.9465000000000001,34.74,0.0,254.805,0.0,0
46951,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,342.5358,-118.9,-69.7,5.742,0,0.0,-0.49,310.005,0.39590000000000003,33.72,0.0,254.14100000000002,0.0,0
46951,-1.0230000000000001,75.586,0.0,0.0,-1.5130000000000001,341.03880000000004,-122.30000000000001,-74.5,5.742,0,0.0,-0.5750000000000001,310.14000000000004,2.2764,32.7,0.0,253.418,0.0,0
46951,-0.853,75.586,0.0,0.0,-1.5130000000000001,339.45910000000003,-161.70000000000002,-77.8,5.742,0,2.0,-0.535,310.14000000000004,2.3754,33.45,0.0,252.656,0.0,0
