Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46790,-0.512,75.586,0.0,0.0,-1.936,350.0786,0.0,0.0,5.742,0,1.0,-0.535,310.14000000000004,2.5073000000000003,33.27,0.0,257.832,0.0,0
46790,-1.0230000000000001,75.586,0.0,0.0,-1.936,350.0786,0.0,0.0,5.742,0,0.0,-0.545,310.14000000000004,4.651800000000001,33.69,0.0,257.832,0.0,0
46790,-0.341,75.586,0.0,0.0,-1.936,350.0786,0.0,-0.2,5.742,0,0.0,-0.53,310.14000000000004,6.7302,34.62,0.0,257.832,0.0,0
46790,-0.512,75.586,0.0,0.0,-1.936,350.0786,0.0,-0.2,5.742,0,0.0,-0.535,310.005,-1.4846000000000001,34.77,0.0,257.832,0.0,0
46790,-0.853,75.586,0.0,0.0,-1.936,350.0401,0.0,-3.5,5.742,0,1.0,-0.515,310.14000000000004,-4.486800000000001,34.83,0.0,257.813,0.0,0
46790,-0.512,75.586,0.0,0.0,-1.936,349.9203,0.0,-6.300000000000001,5.742,0,0.0,-0.51,310.005,0.8908,34.71,0.0,257.754,0.0,0
46790,-0.853,75.586,0.5,0.0,-1.936,349.7215,-40.6,-12.4,5.742,0,0.0,-0.48,309.915,-0.132,35.1,0.0,257.656,0.0,0
46790,-0.682,75.586,0.0,0.0,-1.936,349.4049,-40.6,-18.5,5.742,0,0.0,-0.5,310.14000000000004,-2.9032,35.34,0.0,257.5,0.0,0
46790,-0.853,75.586,-0.5,0.0,-1.936,348.96860000000004,-40.6,-25.1,5.742,0,0.0,-0.5,309.915,-2.5073000000000003,34.95,0.0,257.285,0.0,0
46790,-0.853,75.586,0.0,0.0,-1.936,348.374,-40.6,-32.300000000000004,5.742,0,0.0,-0.515,310.005,-1.6496000000000002,34.14,0.0,256.992,0.0,0
46790,-0.512,75.586,0.0,0.0,-1.936,347.61990000000003,-79.9,-39.4,5.742,0,0.0,-0.525,310.005,0.0,33.24,0.0,256.62100000000004,0.0,0
46790,-0.682,75.586,-0.5,0.0,-1.936,346.6994,-118.9,-47.800000000000004,5.742,0,0.0,-0.495,310.14000000000004,2.4743,32.4,0.0,256.172,0.0,0
46790,-0.682,75.586,0.0,0.0,-1.936,345.658,-120.9,-54.1,5.742,0,0.0,-0.53,310.005,-0.7918000000000001,32.34,0.0,255.66400000000002,0.0,0
46790,-0.682,75.586,0.5,0.0,-1.936,344.4977,-118.9,-61.0,5.742,0,0.0,-0.5,310.005,-2.3754,32.25,0.0,255.098,0.0,0
46790,-0.853,75.586,0.0,0.0,-1.936,343.1754,-121.0,-66.60000000000001,5.742,0,0.0,-0.53,310.005,-3.0352,33.87,0.0,254.453,0.0,0
46790,-0.512,75.586,0.0,0.0,-1.936,341.72700000000003,-161.70000000000002,-72.2,5.742,0,0.0,-0.54,310.005,1.0557,34.14,0.0,253.75,0.0,0
46790,-0.682,75.586,0.5,0.0,-1.936,340.1888,-161.70000000000002,-76.0,5.742,0,0.0,-0.54,310.005,1.9795,35.34,0.0,253.008,0.0,0
46790,-0.682,75.586,0.5,0.0,-1.936,340.0271,-161.70000000000002,-76.3,5.742,0,0.0,-0.515,309.915,1.2702,35.37,0.0,252.93,0.0,0
46790,-0.853,75.586,0.0,0.0,-1.936,338.406,-163.70000000000002,-79.3,5.742,0,0.0,-0.495,310.005,-1.1217000000000001,34.65,0.0,252.14800000000002,0.0,0
46790,-1.0230000000000001,75.586,-0.5,0.0,-1.936,336.7452,-163.6,-80.60000000000001,5.742,0,0.0,-0.485,310.005,-3.4971,34.230000000000004,0.0,251.348,0.0,0
46790,-0.682,75.586,0.0,0.0,-1.936,335.0649,-163.6,-80.9,5.742,0,0.0,-0.52,310.005,3.4971,33.57,0.0,250.54700000000003,0.0,0
46790,-0.682,75.586,0.0,0.0,-1.936,333.3448,-203.5,-80.10000000000001,5.742,0,1.0,-0.525,310.005,-0.066,33.69,0.0,249.727,0.0,0
46790,-0.512,75.586,0.0,0.0,-1.936,331.66450000000003,-203.5,-79.8,5.742,0,0.0,-0.51,310.005,-1.1382,34.05,0.0,248.92600000000002,0.0,0
