Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47008,-0.853,67.62700000000001,-0.5,0.0,-0.908,350.0786,0.0,0.0,5.742,0,1.0,-0.65,310.005,1.5671000000000002,37.65,0.0,257.832,0.0,0
47008,-0.853,67.62700000000001,0.0,0.0,-0.908,350.0786,0.0,0.0,5.742,0,3.0,-0.54,309.915,0.9238000000000001,37.74,0.0,257.832,0.0,0
47008,-0.853,67.62700000000001,-0.5,0.0,-0.908,350.0786,0.0,0.0,5.742,0,2.0,-0.465,310.005,0.7753,37.95,0.0,257.832,0.0,0
47008,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.908,350.0786,0.0,-0.2,5.742,0,1.0,-0.525,309.915,-2.2269,37.410000000000004,0.0,257.832,0.0,0
47008,-1.194,67.62700000000001,0.0,0.0,-0.908,350.0786,0.0,-0.5,5.742,0,3.0,-0.52,310.005,0.6433,36.75,0.0,257.832,0.0,0
47008,-0.682,67.62700000000001,0.0,0.0,-0.908,350.0401,0.0,-4.1000000000000005,5.742,0,2.0,-0.485,310.005,4.024900000000001,36.84,0.0,257.813,0.0,0
47008,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.908,349.9203,0.0,-7.1000000000000005,5.742,0,1.0,-0.465,310.005,1.6331,37.800000000000004,0.0,257.754,0.0,0
47008,-0.853,67.62700000000001,0.0,0.0,-0.908,349.7215,0.0,-13.200000000000001,5.742,0,2.0,-0.455,310.005,0.39590000000000003,39.18,0.0,257.656,0.0,0
47008,-1.364,67.62700000000001,0.0,0.0,-0.908,349.3643,-40.6,-19.5,5.742,0,1.0,-0.39,309.915,-0.3134,39.6,0.0,257.48,0.0,0
47008,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.908,348.93,-38.6,-25.700000000000003,5.742,0,2.0,-0.44,309.915,-4.1404000000000005,39.96,0.0,257.266,0.0,0
47008,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.908,348.29490000000004,-79.10000000000001,-32.5,5.742,0,2.0,-0.48,310.005,-4.3548,38.730000000000004,0.0,256.95300000000003,0.0,0
47008,-0.853,67.62700000000001,0.0,0.0,-0.908,347.5399,-80.0,-39.9,5.742,0,2.0,-0.48,309.915,-0.6433,37.77,0.0,256.582,0.0,0
47008,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.908,346.6195,-118.9,-47.800000000000004,5.742,0,2.0,-0.495,310.14000000000004,2.3341000000000003,37.62,0.0,256.13300000000004,0.0,0
47008,-0.853,67.62700000000001,0.0,0.0,-0.908,345.57800000000003,-121.0,-54.900000000000006,5.742,0,2.0,-0.49,310.005,2.029,37.68,0.0,255.625,0.0,0
47008,-0.853,67.62700000000001,0.0,0.0,-0.908,344.3767,-121.0,-61.0,5.742,0,2.0,-0.435,309.915,1.3856000000000002,37.62,0.0,255.03900000000002,0.0,0
47008,-1.194,67.62700000000001,-0.5,0.0,-0.908,343.0565,-118.9,-67.3,5.742,0,2.0,-0.47000000000000003,309.915,-3.1012,37.89,0.0,254.395,0.0,0
47008,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.908,341.60470000000004,-163.8,-72.2,5.742,0,2.0,-0.46,309.915,0.6763,37.410000000000004,0.0,253.691,0.0,0
47008,-0.853,67.62700000000001,0.0,0.0,-0.908,340.0665,-161.70000000000002,-76.3,5.742,0,3.0,-0.435,310.005,0.0,37.89,0.0,252.949,0.0,0
