Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46955,-0.341,83.545,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,0.0,-0.72,309.915,-2.7713,36.03,0.0,257.832,0.0,0
46955,-0.853,83.545,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,0.0,-0.525,310.005,0.132,36.21,0.0,257.832,0.0,0
46955,-0.682,83.545,0.0,0.0,-1.331,350.0786,0.0,0.2,5.742,0,0.0,-0.535,310.005,0.9073,36.27,0.0,257.832,0.0,0
46955,-0.341,83.545,0.0,0.0,-1.331,350.0786,0.0,0.0,5.742,0,1.0,-0.55,310.005,1.3032000000000001,35.28,0.0,257.832,0.0,0
46955,-0.341,83.545,0.0,0.0,-1.331,350.0786,0.0,-0.5,5.742,0,0.0,-0.54,310.005,1.1877,34.800000000000004,0.0,257.832,0.0,0
46955,-0.341,83.545,0.0,0.0,-1.331,350.0401,0.0,-4.1000000000000005,5.742,0,0.0,-0.54,310.14000000000004,-0.42060000000000003,34.65,0.0,257.813,0.0,0
46955,-0.512,83.545,0.0,0.0,-1.331,349.9203,0.0,-6.800000000000001,5.742,0,0.0,-0.525,310.005,1.5176,34.29,0.0,257.754,0.0,0
46955,-0.682,83.545,0.0,0.0,-1.331,349.7215,-40.6,-13.200000000000001,5.742,0,0.0,-0.505,310.005,0.8578,34.92,0.0,257.656,0.0,0
46955,-0.512,83.545,0.0,0.0,-1.331,349.4049,0.0,-19.1,5.742,0,0.0,-0.5,310.005,-4.024900000000001,35.910000000000004,0.0,257.5,0.0,0
46955,-0.682,83.545,0.0,0.0,-1.331,348.93,-38.6,-25.400000000000002,5.742,0,0.0,-0.53,309.915,-2.3589,37.08,0.0,257.266,0.0,0
46955,-0.853,83.545,0.0,0.0,-1.331,348.3355,-79.10000000000001,-33.300000000000004,5.742,0,0.0,-0.53,310.005,-0.132,37.08,0.0,256.973,0.0,0
46955,-0.341,83.545,0.0,0.0,-1.331,347.58090000000004,-80.0,-39.7,5.742,0,0.0,-0.56,309.915,-0.3794,36.78,0.0,256.60200000000003,0.0,0
46955,-0.682,83.545,0.0,0.0,-1.331,347.50100000000003,-79.9,-40.9,5.742,0,0.0,-0.53,309.915,-0.46190000000000003,36.78,0.0,256.563,0.0,0
