Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46717,0.0,67.62700000000001,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,0.0,-0.67,310.005,0.6268,35.97,0.0,257.832,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,-1.0,-0.545,309.915,-4.3548,37.71,0.0,257.832,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,0.0,-0.5,310.005,0.3629,38.61,0.0,257.832,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,-3.0,-0.48,310.14000000000004,5.938400000000001,38.1,0.0,257.832,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,350.0786,0.0,-2.0,5.742,0,0.0,-0.47500000000000003,309.915,-3.4311000000000003,36.9,0.0,257.832,0.0,0
46717,0.341,67.62700000000001,0.0,0.0,-1.875,349.9995,0.0,-5.5,5.742,0,1.0,-0.535,310.14000000000004,-1.1877,36.6,0.0,257.793,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,349.8412,0.0,-9.4,5.742,0,-1.0,-0.535,310.005,4.0579,36.63,0.0,257.71500000000003,0.0,0
46717,-0.171,67.62700000000001,0.0,0.0,-1.875,349.5632,-40.6,-16.0,5.742,0,0.0,-0.465,309.915,-1.5836000000000001,36.72,0.0,257.57800000000003,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,349.1675,-38.5,-21.900000000000002,5.742,0,0.0,-0.47500000000000003,309.915,-5.3776,37.2,0.0,257.38300000000004,0.0,0
46717,0.341,67.62700000000001,0.0,0.0,-1.875,348.65200000000004,-38.6,-28.900000000000002,5.742,0,0.0,-0.535,310.14000000000004,4.7507,37.050000000000004,0.0,257.129,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,347.9783,-79.10000000000001,-36.300000000000004,5.742,0,-1.0,-0.505,310.14000000000004,5.3776,36.0,0.0,256.797,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,347.1402,-79.9,-44.2,5.742,0,1.0,-0.51,309.915,-0.39590000000000003,35.19,0.0,256.387,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,346.1787,-80.0,-50.6,5.742,0,0.0,-0.44,310.005,-5.179600000000001,34.86,0.0,255.918,0.0,0
46717,-0.171,67.62700000000001,0.0,0.0,-1.875,345.0573,-121.0,-58.2,5.742,0,0.0,-0.49,310.14000000000004,-1.1877,35.4,0.0,255.371,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,343.77610000000004,-120.9,-64.5,5.742,0,0.0,-0.51,310.14000000000004,4.8497,36.42,0.0,254.746,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,342.4148,-121.0,-69.9,5.742,0,0.0,-0.525,310.005,-0.39590000000000003,37.14,0.0,254.08200000000002,0.0,0
46717,0.341,67.62700000000001,0.0,0.0,-1.875,340.87710000000004,-161.70000000000002,-74.7,5.742,0,2.0,-0.48,310.005,-4.651800000000001,37.38,0.0,253.34,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,339.29740000000004,-161.70000000000002,-77.8,5.742,0,0.0,-0.435,310.005,-3.4311000000000003,37.68,0.0,252.578,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,337.67830000000004,-161.70000000000002,-80.3,5.742,0,0.0,-0.505,310.005,-2.9032,37.410000000000004,0.0,251.79700000000003,0.0,0
46717,0.512,67.62700000000001,0.0,0.0,-1.875,336.0068,-163.6,-80.9,5.742,0,0.0,-0.45,310.005,-0.2639,37.29,0.0,250.996,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,334.2867,-163.6,-80.3,5.742,0,0.0,-0.46,310.005,2.6393,37.050000000000004,0.0,250.17600000000002,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,334.123,-163.70000000000002,-80.9,5.742,0,0.0,-0.5,310.005,2.5733,37.08,0.0,250.098,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,332.44280000000003,-163.6,-80.10000000000001,5.742,0,0.0,-0.48,310.005,-0.5938,36.300000000000004,0.0,249.29700000000003,0.0,0
46717,0.341,67.62700000000001,0.0,0.0,-1.875,330.7542,-165.6,-80.10000000000001,5.742,0,0.0,-0.515,310.005,-2.5733,35.67,0.0,248.496,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,329.05330000000004,-165.6,-79.8,5.742,0,0.0,-0.44,310.005,2.5733,35.19,0.0,247.69500000000002,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,327.3546,-165.6,-80.3,5.742,0,0.0,-0.505,310.005,0.5938,34.62,0.0,246.895,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,325.65090000000004,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.525,310.005,1.1877,35.31,0.0,246.09400000000002,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,323.9291,-167.6,-80.10000000000001,5.742,0,1.0,-0.48,309.915,0.5691,36.45,0.0,245.293,0.0,0
46717,0.512,67.62700000000001,0.0,0.0,-1.875,322.2072,-210.70000000000002,-80.10000000000001,5.742,0,0.0,-0.46,309.915,-0.5773,37.62,0.0,244.49200000000002,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,320.4853,-210.70000000000002,-80.3,5.742,0,3.0,-0.58,310.005,-0.8330000000000001,38.730000000000004,0.0,243.691,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,318.7474,-211.0,-80.10000000000001,5.742,0,0.0,-0.445,309.915,1.1217000000000001,38.94,0.0,242.89100000000002,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,317.0043,-213.3,-80.10000000000001,5.742,0,0.0,-0.495,310.005,-1.1877,37.89,0.0,242.09,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,315.2613,-213.3,-80.60000000000001,5.742,0,0.0,-0.495,310.005,-1.7815,37.62,0.0,241.28900000000002,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,313.5058,-215.9,-80.10000000000001,5.742,0,0.0,-0.445,310.005,1.7155,36.75,0.0,240.488,0.0,0
46717,0.341,67.62700000000001,0.0,0.0,-1.875,311.7439,-213.70000000000002,-80.60000000000001,5.742,0,0.0,-0.47500000000000003,310.005,0.0,36.81,0.0,239.68800000000002,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,309.9798,-213.70000000000002,-79.60000000000001,5.742,0,0.0,-0.43,310.005,-1.4516,35.910000000000004,0.0,238.887,0.0,0
46717,0.512,67.62700000000001,0.0,0.0,-1.875,308.2515,-176.0,-80.60000000000001,5.742,0,0.0,-0.495,310.005,-0.132,35.82,0.0,238.10500000000002,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,306.4689,-173.8,-80.3,5.742,0,0.0,-0.51,309.915,-0.2474,35.58,0.0,237.305,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,304.684,-173.8,-80.3,5.742,0,0.0,-0.47000000000000003,310.14000000000004,-2.7960000000000003,36.21,0.0,236.50400000000002,0.0,0
46717,-0.171,67.62700000000001,0.0,0.0,-1.875,302.8988,-174.20000000000002,-80.3,5.742,0,0.0,-0.5,310.005,3.9589000000000003,36.0,0.0,235.703,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,302.723,-175.8,-80.10000000000001,5.742,0,0.0,-0.47500000000000003,310.005,3.9589000000000003,36.03,0.0,235.625,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,300.918,-175.70000000000002,-80.3,5.742,0,0.0,-0.49,309.915,1.8475000000000001,36.6,0.0,234.824,0.0,0
46717,-0.171,67.62700000000001,0.0,0.0,-1.875,299.1129,-178.10000000000002,-80.3,5.742,0,0.0,-0.5,310.005,-3.563,37.35,0.0,234.02300000000002,0.0,0
46717,0.341,67.62700000000001,0.0,0.0,-1.875,297.31010000000003,-175.8,-80.3,5.742,0,1.0,-0.47000000000000003,309.915,-0.46190000000000003,38.58,0.0,233.223,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,295.4886,-177.70000000000002,-80.3,5.742,0,0.0,-0.46,310.005,-0.9238000000000001,38.43,0.0,232.422,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,293.6641,-177.70000000000002,-79.8,5.742,0,0.0,-0.5,309.915,-0.46190000000000003,38.04,0.0,231.621,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,291.8396,-177.70000000000002,-80.3,5.742,0,0.0,-0.49,310.14000000000004,3.8270000000000004,37.65,0.0,230.82000000000002,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,290.0067,-179.4,-80.60000000000001,5.742,0,0.0,-0.485,310.005,1.3196,36.57,0.0,230.02,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,288.16360000000003,-179.4,-80.10000000000001,5.742,0,0.0,-0.49,309.915,0.7918000000000001,36.03,0.0,229.21900000000002,0.0,0
46717,0.341,67.62700000000001,0.0,0.0,-1.875,286.32050000000004,-179.4,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.005,-0.4289,35.43,0.0,228.418,0.0,0
46717,0.512,67.62700000000001,0.0,0.0,-1.875,284.47200000000004,-181.20000000000002,-80.10000000000001,5.742,0,0.0,-0.48,310.005,-2.9032,35.07,0.0,227.61700000000002,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,282.6113,-183.5,-80.10000000000001,5.742,0,0.0,-0.44,310.005,-1.3856000000000002,35.550000000000004,0.0,226.816,0.0,0
46717,0.341,67.62700000000001,0.0,0.0,-1.875,280.75280000000004,-181.20000000000002,-80.10000000000001,5.742,0,0.0,-0.49,310.005,0.0,36.18,0.0,226.01600000000002,0.0,0
46717,0.341,67.62700000000001,0.0,0.0,-1.875,278.89160000000004,-181.70000000000002,-80.60000000000001,5.742,0,0.0,-0.47000000000000003,309.915,1.6496000000000002,37.02,0.0,225.215,0.0,0
46717,0.171,67.62700000000001,0.0,0.0,-1.875,277.0143,-182.8,-80.10000000000001,5.742,0,0.0,-0.495,310.005,1.8475000000000001,37.74,0.0,224.41400000000002,0.0,0
46717,0.0,67.62700000000001,0.0,0.0,-1.875,275.137,-182.8,-80.10000000000001,5.742,0,0.0,-0.49,310.005,-3.4311000000000003,37.62,0.0,223.613,0.0,0
