Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
47012,-0.853,67.62700000000001,0.0,0.0,-0.242,350.0786,0.0,0.0,5.742,0,0.0,-0.625,310.005,2.2434000000000003,36.39,0.0,257.832,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,350.0786,0.0,0.0,5.742,0,0.0,-0.55,310.005,0.099,37.29,0.0,257.832,0.0,0
47012,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.242,350.0786,0.0,0.0,5.742,0,-1.0,-0.46,310.005,-1.3196,38.13,0.0,257.832,0.0,0
47012,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.242,350.0786,0.0,-0.2,5.742,0,0.0,-0.52,310.005,0.0,38.910000000000004,0.0,257.832,0.0,0
47012,-1.194,67.62700000000001,0.0,0.0,-0.242,350.0786,0.0,-2.0,5.742,0,1.0,-0.51,310.005,3.2991,39.12,0.0,257.832,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,349.9995,0.0,-5.5,5.742,0,0.0,-0.505,310.005,1.5836000000000001,39.12,0.0,257.793,0.0,0
47012,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.242,349.8412,0.0,-8.9,5.742,0,-1.0,-0.48,310.005,-0.39590000000000003,39.33,0.0,257.71500000000003,0.0,0
47012,-1.194,67.62700000000001,0.0,0.0,-0.242,349.5632,-40.6,-16.0,5.742,0,0.0,-0.41000000000000003,310.005,-1.0557,39.0,0.0,257.57800000000003,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,349.206,-40.6,-21.6,5.742,0,0.0,-0.445,309.915,-4.486800000000001,38.19,0.0,257.402,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,348.6906,-40.6,-28.700000000000003,5.742,0,2.0,-0.435,309.915,-1.5176,37.77,0.0,257.148,0.0,0
47012,-1.194,67.62700000000001,0.0,0.0,-0.242,348.0168,-79.2,-36.300000000000004,5.742,0,-1.0,-0.5,310.005,3.2991,37.5,0.0,256.81600000000003,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,347.1791,-80.0,-43.2,5.742,0,1.0,-0.51,310.005,1.5176,36.9,0.0,256.406,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,346.2197,-80.0,-50.6,5.742,0,0.0,-0.51,309.915,-1.9795,36.660000000000004,0.0,255.93800000000002,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,345.0983,-118.9,-57.5,5.742,0,2.0,-0.525,309.915,-1.5176,37.050000000000004,0.0,255.39100000000002,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,343.856,-121.0,-64.10000000000001,5.742,0,1.0,-0.54,309.915,-3.1672000000000002,38.07,0.0,254.78500000000003,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,342.4558,-159.9,-70.10000000000001,5.742,0,0.0,-0.495,310.005,0.9897,39.42,0.0,254.102,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,340.9579,-161.70000000000002,-74.2,5.742,0,0.0,-0.43,309.915,0.7918000000000001,39.99,0.0,253.37900000000002,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,339.3782,-161.70000000000002,-78.10000000000001,5.742,0,1.0,-0.545,309.915,-2.1114,40.410000000000004,0.0,252.61700000000002,0.0,0
47012,-1.194,67.62700000000001,0.0,0.0,-0.242,337.71770000000004,-203.20000000000002,-79.60000000000001,5.742,0,0.0,-0.42,309.915,-2.1114,39.78,0.0,251.816,0.0,0
47012,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.242,336.0487,-163.70000000000002,-80.60000000000001,5.742,0,2.0,-0.52,309.915,2.6393,39.480000000000004,0.0,251.01600000000002,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,335.8851,-163.6,-80.3,5.742,0,1.0,-0.51,309.915,2.0455,39.36,0.0,250.93800000000002,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,334.2049,-163.6,-80.60000000000001,5.742,0,0.0,-0.49,310.14000000000004,1.6743000000000001,38.19,0.0,250.137,0.0,0
47012,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.242,332.5246,-163.6,-80.3,5.742,0,1.0,-0.45,310.14000000000004,1.1464,37.38,0.0,249.336,0.0,0
47012,-1.194,67.62700000000001,0.0,0.0,-0.242,330.837,-165.6,-80.3,5.742,0,1.0,-0.445,309.915,-0.19790000000000002,37.17,0.0,248.53500000000003,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,329.1361,-167.8,-80.3,5.742,0,1.0,-0.47000000000000003,309.825,-6.2023,37.38,0.0,247.734,0.0,0
47012,-0.853,67.62700000000001,0.0,0.0,-0.242,327.4374,-165.6,-80.10000000000001,5.742,0,2.0,-0.47000000000000003,309.915,-2.0702000000000003,37.74,0.0,246.93400000000003,0.0,0
47012,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.242,325.7348,-167.4,-79.8,5.742,0,0.0,-0.44,310.14000000000004,3.6703,38.13,0.0,246.133,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,324.0129,-167.70000000000002,-80.3,5.742,0,0.0,-0.485,310.005,3.0022,38.82,0.0,245.33200000000002,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,322.291,-167.70000000000002,-80.10000000000001,5.742,0,0.0,-0.47500000000000003,310.14000000000004,3.3898,39.06,0.0,244.531,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,320.5692,-169.8,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.005,-2.3506,38.730000000000004,0.0,243.73000000000002,0.0,0
47012,-1.194,67.62700000000001,0.0,0.0,-0.242,318.8322,-169.8,-79.8,5.742,0,1.0,-0.495,310.005,-2.3094,39.36,0.0,242.93,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,317.0892,-169.70000000000002,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.005,-0.8330000000000001,39.6,0.0,242.12900000000002,0.0,0
47012,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.242,315.3462,-169.70000000000002,-80.10000000000001,5.742,0,-1.0,-0.46,310.005,-0.2639,39.24,0.0,241.328,0.0,0
47012,-1.194,67.62700000000001,0.0,0.0,-0.242,313.5917,-171.8,-80.3,5.742,0,0.0,-0.49,310.005,-1.8475000000000001,38.88,0.0,240.52700000000002,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,311.82980000000003,-171.8,-80.10000000000001,5.742,0,0.0,-0.44,310.14000000000004,2.9445,37.65,0.0,239.727,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,310.0657,-171.8,-79.8,5.742,0,1.0,-0.495,310.005,6.2683,36.6,0.0,238.92600000000002,0.0,0
47012,-1.194,67.62700000000001,0.0,0.0,-0.242,309.89390000000003,-171.8,-79.8,5.742,0,1.0,-0.485,310.005,5.806500000000001,36.45,0.0,238.848,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,308.1222,-173.8,-79.8,5.742,0,0.0,-0.495,310.005,-1.1877,35.94,0.0,238.04700000000003,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,306.3374,-173.8,-80.3,5.742,0,0.0,-0.45,310.005,-6.499300000000001,36.54,0.0,237.246,0.0,0
47012,-1.5350000000000001,67.62700000000001,0.0,0.0,-0.242,304.55260000000004,-173.8,-79.8,5.742,0,0.0,-0.47000000000000003,310.005,-1.0557,37.62,0.0,236.44500000000002,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,302.7681,-175.70000000000002,-79.60000000000001,5.742,0,0.0,-0.46,310.005,0.5279,38.67,0.0,235.645,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,300.963,-175.8,-79.60000000000001,5.742,0,0.0,-0.51,310.005,1.5836000000000001,39.84,0.0,234.84400000000002,0.0,0
47012,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.242,299.158,-175.8,-80.3,5.742,0,-1.0,-0.515,310.14000000000004,3.0682,39.480000000000004,0.0,234.043,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,297.353,-175.70000000000002,-79.60000000000001,5.742,0,0.0,-0.5,310.005,-0.132,38.61,0.0,233.24200000000002,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,295.5319,-179.9,-80.10000000000001,5.742,0,0.0,-0.5,310.005,-2.3754,38.61,0.0,232.441,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,293.7096,-177.70000000000002,-79.60000000000001,5.742,0,0.0,-0.495,309.915,-4.8827,38.46,0.0,231.64100000000002,0.0,0
47012,-1.0230000000000001,67.62700000000001,0.0,0.0,-0.242,291.8851,-177.70000000000002,-79.60000000000001,5.742,0,1.0,-0.49,310.005,2.9032,38.1,0.0,230.84,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,290.0504,-179.4,-79.60000000000001,5.742,0,0.0,-0.485,310.005,4.486800000000001,37.38,0.0,230.03900000000002,0.0,0
47012,-1.194,67.62700000000001,0.0,0.0,-0.242,288.20730000000003,-179.5,-80.10000000000001,5.742,0,0.0,-0.47000000000000003,310.005,-3.2331000000000003,36.480000000000004,0.0,229.238,0.0,0
47012,-1.364,67.62700000000001,0.0,0.0,-0.242,286.36650000000003,-179.5,-80.10000000000001,5.742,0,0.0,-0.505,310.14000000000004,0.7918000000000001,36.36,0.0,228.43800000000002,0.0,0
