Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46616,-1.705,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,0.0,5.742,0,0.0,-0.6,309.915,-4.6435,37.95,0.0,257.832,0.0,0
46616,-1.705,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,0.0,5.742,0,0.0,-0.45,309.915,-4.1404000000000005,37.11,0.0,257.832,0.0,0
46616,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,-0.2,5.742,0,-1.0,-0.48,310.005,-1.4516,36.57,0.0,257.832,0.0,0
46616,-2.0460000000000003,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,-0.2,5.742,0,0.0,-0.47500000000000003,310.005,4.6848,35.97,0.0,257.832,0.0,0
46616,-1.8760000000000001,67.62700000000001,0.0,0.0,-1.996,350.0786,0.0,-1.5,5.742,0,0.0,-0.505,309.915,1.3856000000000002,35.49,0.0,257.832,0.0,0
46616,-1.8760000000000001,67.62700000000001,0.0,0.0,-1.996,349.9995,0.0,-4.8,5.742,0,0.0,-0.465,309.915,-4.0084,36.15,0.0,257.793,0.0,0
46616,-1.705,67.62700000000001,0.0,0.0,-1.996,349.8412,-38.6,-8.9,5.742,0,0.0,-0.49,310.005,3.761,35.64,0.0,257.71500000000003,0.0,0
46616,-2.0460000000000003,67.62700000000001,0.0,0.0,-1.996,349.60380000000004,-38.5,-15.5,5.742,0,1.0,-0.505,310.005,2.9692000000000003,35.43,0.0,257.598,0.0,0
46616,-2.0460000000000003,67.62700000000001,0.0,0.0,-1.996,349.2466,-38.6,-21.1,5.742,0,0.0,-0.515,310.005,0.0495,34.2,0.0,257.422,0.0,0
46616,-1.8760000000000001,67.62700000000001,-0.5,0.0,-1.996,348.7312,-40.6,-28.200000000000003,5.742,0,0.0,-0.48,309.915,-0.0247,33.9,0.0,257.168,0.0,0
46616,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.996,348.096,-40.6,-35.800000000000004,5.742,0,0.0,-0.485,310.14000000000004,2.0867,34.14,0.0,256.855,0.0,0
46616,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.996,347.2591,-120.9,-42.7,5.742,0,0.0,-0.51,310.005,0.066,35.52,0.0,256.445,0.0,0
46616,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.996,346.29970000000003,-118.9,-49.800000000000004,5.742,0,0.0,-0.435,310.14000000000004,0.8165,36.9,0.0,255.977,0.0,0
46616,-1.705,67.62700000000001,0.0,0.0,-1.996,345.2172,-121.0,-57.5,5.742,0,0.0,-0.51,310.005,1.7155,38.4,0.0,255.449,0.0,0
46616,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.996,343.97700000000003,-118.9,-63.5,5.742,0,0.0,-0.515,310.005,2.2434000000000003,37.800000000000004,0.0,254.84400000000002,0.0,0
46616,-1.705,67.62700000000001,0.5,0.0,-1.996,342.6157,-118.9,-69.4,5.742,0,0.0,-0.505,309.915,-7.4148000000000005,37.35,0.0,254.18,0.0,0
