Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46722,-0.341,51.719,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,-3.0,-0.45,310.005,2.4413,39.33,0.0,257.832,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,1.0,-0.39,310.005,2.2269,39.15,0.0,257.832,0.0,0
46722,-0.171,51.719,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,1.0,-0.48,309.915,-0.5773,38.4,0.0,257.832,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,350.0786,0.0,-0.2,5.742,0,0.0,-0.47500000000000003,310.14000000000004,-3.1259,38.07,0.0,257.832,0.0,0
46722,-0.171,51.719,0.0,0.0,-1.573,350.0786,0.0,-2.5,5.742,0,2.0,-0.46,310.005,2.0702000000000003,37.53,0.0,257.832,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,349.9589,-40.6,-5.800000000000001,5.742,0,2.0,-0.45,310.005,6.0539000000000005,36.57,0.0,257.773,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,349.8412,0.0,-9.9,5.742,0,0.0,-0.47000000000000003,310.005,-2.5238,36.27,0.0,257.71500000000003,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,349.5632,-40.6,-16.5,5.742,0,-1.0,-0.45,310.14000000000004,-1.6083,35.97,0.0,257.57800000000003,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,349.1675,-38.5,-22.3,5.742,0,-1.0,-0.445,310.14000000000004,2.8537000000000003,35.85,0.0,257.38300000000004,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,348.6114,-79.2,-28.900000000000002,5.742,0,1.0,-0.44,310.005,-0.8578,36.06,0.0,257.10900000000004,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,347.9377,-79.10000000000001,-36.9,5.742,0,-3.0,-0.435,310.005,-3.0517000000000003,36.63,0.0,256.777,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,347.0992,-120.9,-43.7,5.742,0,1.0,-0.43,310.005,-2.0867,38.34,0.0,256.367,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,346.1377,-82.0,-50.800000000000004,5.742,0,0.0,-0.455,309.915,-2.029,39.21,0.0,255.89800000000002,0.0,0
46722,-0.171,51.719,0.5,0.0,-1.573,344.9774,-120.9,-58.2,5.742,0,0.0,-0.435,310.005,-0.132,39.15,0.0,255.33200000000002,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,343.7371,-118.9,-64.5,5.742,0,0.0,-0.42,310.005,0.9732000000000001,38.160000000000004,0.0,254.727,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,343.5752,-161.9,-65.3,5.742,0,0.0,-0.46,310.005,0.39590000000000003,38.04,0.0,254.64800000000002,0.0,0
46722,-0.171,51.719,0.0,0.0,-1.573,342.2122,-122.30000000000001,-70.4,5.742,0,0.0,-0.465,310.005,0.9897,37.35,0.0,253.984,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,340.6739,-161.70000000000002,-75.0,5.742,0,-2.0,-0.48,310.005,-0.9238000000000001,37.17,0.0,253.24200000000002,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,339.0942,-163.8,-78.3,5.742,0,-1.0,-0.48,310.005,-1.5836000000000001,36.42,0.0,252.48000000000002,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,337.4357,-161.70000000000002,-80.10000000000001,5.742,0,2.0,-0.5,309.915,-0.5279,35.94,0.0,251.68,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,335.76140000000004,-163.6,-80.60000000000001,5.742,0,-2.0,-0.47500000000000003,310.005,1.0557,35.67,0.0,250.87900000000002,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,334.0811,-163.6,-80.3,5.742,0,-1.0,-0.495,310.005,0.39590000000000003,35.58,0.0,250.078,0.0,0
46722,-0.171,51.719,0.0,0.0,-1.573,332.4008,-163.6,-80.10000000000001,5.742,0,0.0,-0.49,310.14000000000004,0.099,35.46,0.0,249.27700000000002,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,330.7138,-165.6,-80.60000000000001,5.742,0,0.0,-0.485,310.005,1.1877,35.82,0.0,248.477,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,329.01300000000003,-165.6,-80.10000000000001,5.742,0,-1.0,-0.47000000000000003,310.005,-0.7918000000000001,36.9,0.0,247.67600000000002,0.0,0
46722,-0.171,51.719,0.0,0.0,-1.573,327.31210000000004,-165.70000000000002,-79.3,5.742,0,1.0,-0.48,310.14000000000004,0.0,37.2,0.0,246.875,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,325.60790000000003,-167.70000000000002,-79.8,5.742,0,2.0,-0.45,309.915,-0.19790000000000002,37.92,0.0,246.074,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,323.8861,-169.8,-79.60000000000001,5.742,0,0.0,-0.465,310.23,1.3196,38.13,0.0,245.27300000000002,0.0,0
46722,-0.171,51.719,0.0,0.0,-1.573,322.16630000000004,-167.70000000000002,-79.8,5.742,0,2.0,-0.455,310.005,2.7383,37.89,0.0,244.473,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,320.4445,-167.6,-79.60000000000001,5.742,0,0.0,-0.465,310.14000000000004,3.0352,37.38,0.0,243.67200000000003,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,318.7038,-169.8,-80.10000000000001,5.742,0,0.0,-0.445,310.005,-3.2661000000000002,36.21,0.0,242.871,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,316.9608,-169.70000000000002,-79.8,5.742,0,0.0,-0.445,310.005,2.1114,36.51,0.0,242.07000000000002,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,315.22,-169.70000000000002,-80.3,5.742,0,0.0,-0.395,309.915,-1.1547,35.910000000000004,0.0,241.27,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,313.464,-171.8,-79.60000000000001,5.742,0,1.0,-0.435,309.915,-3.9589000000000003,35.31,0.0,240.46900000000002,0.0,0
46722,0.341,51.719,0.0,0.0,-1.573,311.6999,-171.8,-80.10000000000001,5.742,0,0.0,-0.45,310.14000000000004,1.4846000000000001,34.980000000000004,0.0,239.668,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,309.93580000000003,-171.8,-79.8,5.742,0,-1.0,-0.45,310.005,2.5073000000000003,34.980000000000004,0.0,238.86700000000002,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,308.1646,-176.0,-80.3,5.742,0,-1.0,-0.43,310.14000000000004,1.6826,35.82,0.0,238.066,0.0,0
46722,0.341,51.719,0.0,0.0,-1.573,306.382,-173.8,-80.10000000000001,5.742,0,0.0,-0.46,310.14000000000004,1.1877,37.26,0.0,237.26600000000002,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,304.5971,-173.8,-80.10000000000001,5.742,0,-1.0,-0.45,310.005,-1.5836000000000001,37.29,0.0,236.465,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,302.8109,-175.20000000000002,-80.10000000000001,5.742,0,0.0,-0.455,309.915,-6.0704,37.92,0.0,235.66400000000002,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,301.0058,-175.8,-79.8,5.742,0,1.0,-0.43,310.005,-0.9567,37.44,0.0,234.863,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,299.2031,-175.70000000000002,-80.10000000000001,5.742,0,0.0,-0.445,310.005,4.0909,36.93,0.0,234.06300000000002,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,297.398,-175.8,-79.8,5.742,0,1.0,-0.485,310.005,0.9897,36.93,0.0,233.262,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,297.2223,-175.70000000000002,-79.60000000000001,5.742,0,-1.0,-0.465,310.005,0.3134,36.96,0.0,233.184,0.0,0
46722,-0.171,51.719,0.0,0.0,-1.573,295.3998,-177.6,-80.10000000000001,5.742,0,0.0,-0.45,310.005,-5.0806000000000004,37.44,0.0,232.383,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,293.5753,-177.6,-79.3,5.742,0,0.0,-0.435,310.005,-0.2639,36.87,0.0,231.58200000000002,0.0,0
46722,0.341,51.719,0.0,0.0,-1.573,291.7508,-177.6,-80.10000000000001,5.742,0,1.0,-0.425,310.14000000000004,3.1424000000000003,36.27,0.0,230.781,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,289.9146,-181.8,-80.10000000000001,5.742,0,0.0,-0.44,310.005,1.897,35.67,0.0,229.98000000000002,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,288.0738,-179.5,-80.10000000000001,5.742,0,-1.0,-0.46,310.005,1.1877,35.43,0.0,229.18,0.0,0
46722,0.0,51.719,0.0,0.0,-1.573,286.2307,-179.5,-79.8,5.742,0,-1.0,-0.48,309.915,-4.2064,36.06,0.0,228.37900000000002,0.0,0
46722,0.341,51.719,0.5,0.0,-1.573,284.38140000000004,-181.20000000000002,-79.60000000000001,5.742,0,3.0,-0.45,310.005,-4.5528,36.69,0.0,227.578,0.0,0
46722,0.171,51.719,0.0,0.0,-1.573,282.52070000000003,-181.10000000000002,-80.10000000000001,5.742,0,-1.0,-0.405,309.915,-2.6228000000000002,37.35,0.0,226.77700000000002,0.0,0
