Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46983,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,0.0,-0.47500000000000003,310.005,0.6598,35.910000000000004,0.0,257.832,0.0,0
46983,-1.364,67.62700000000001,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,0.0,-0.43,309.915,-2.0455,37.62,0.0,257.832,0.0,0
46983,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.875,350.0786,0.0,0.0,5.742,0,1.0,-0.465,310.14000000000004,2.2434000000000003,38.43,0.0,257.832,0.0,0
46983,-0.853,67.62700000000001,0.0,0.0,-1.875,350.0786,0.0,-0.2,5.742,0,0.0,-0.47500000000000003,310.005,1.3196,39.42,0.0,257.832,0.0,0
46983,-1.364,67.62700000000001,-0.5,0.0,-1.875,350.0401,-38.5,-2.7,5.742,0,0.0,-0.46,310.005,0.39590000000000003,38.910000000000004,0.0,257.813,0.0,0
46983,-1.194,67.62700000000001,0.0,0.0,-1.875,349.9589,0.0,-5.800000000000001,5.742,0,0.0,-0.39,310.005,-0.4289,38.31,0.0,257.773,0.0,0
46983,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.875,349.80060000000003,0.0,-10.700000000000001,5.742,0,-1.0,-0.445,309.915,-2.5073000000000003,37.47,0.0,257.695,0.0,0
46983,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.875,349.48400000000004,-40.6,-17.0,5.742,0,1.0,-0.41000000000000003,310.005,-3.4311000000000003,37.32,0.0,257.539,0.0,0
46983,-1.194,67.62700000000001,0.0,0.0,-1.875,349.0883,-38.6,-23.1,5.742,0,0.0,-0.49,310.005,-0.7918000000000001,36.96,0.0,257.344,0.0,0
46983,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.875,348.5323,-40.6,-30.0,5.742,0,0.0,-0.465,310.005,3.629,36.42,0.0,257.07,0.0,0
46983,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.875,347.82,-79.10000000000001,-37.9,5.742,0,0.0,-0.445,310.005,-0.39590000000000003,35.49,0.0,256.719,0.0,0
46983,-1.194,67.62700000000001,0.0,0.0,-1.875,347.74080000000004,-79.2,-38.4,5.742,0,0.0,-0.45,310.005,-0.3299,35.46,0.0,256.68,0.0,0
46983,-1.364,67.62700000000001,0.0,0.0,-1.875,346.8593,-121.0,-46.5,5.742,0,0.0,-0.465,310.005,-2.4413,36.51,0.0,256.25,0.0,0
46983,-1.194,67.62700000000001,0.0,0.0,-1.875,345.8589,-80.0,-52.900000000000006,5.742,0,0.0,-0.465,310.14000000000004,1.0310000000000001,36.9,0.0,255.762,0.0,0
46983,-1.194,67.62700000000001,0.0,0.0,-1.875,344.6965,-121.0,-59.7,5.742,0,0.0,-0.45,310.005,1.5176,37.86,0.0,255.19500000000002,0.0,0
46983,-1.364,67.62700000000001,0.0,0.0,-1.875,343.3763,-159.9,-66.10000000000001,5.742,0,0.0,-0.445,309.915,-2.5568,37.95,0.0,254.55100000000002,0.0,0
46983,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.875,341.9696,-122.30000000000001,-71.4,5.742,0,0.0,-0.455,309.915,-3.0187,38.37,0.0,253.86700000000002,0.0,0
46983,-1.364,67.62700000000001,0.0,0.0,-1.875,340.4314,-161.70000000000002,-75.7,5.742,0,0.0,-0.44,310.14000000000004,3.1424000000000003,38.61,0.0,253.125,0.0,0
46983,-0.853,67.62700000000001,0.0,0.0,-1.875,338.8123,-161.70000000000002,-78.3,5.742,0,-1.0,-0.46,310.005,0.4454,38.58,0.0,252.34400000000002,0.0,0
46983,-1.364,67.62700000000001,0.0,0.0,-1.875,337.1932,-161.70000000000002,-80.3,5.742,0,-1.0,-0.46,310.005,-0.5444,38.4,0.0,251.56300000000002,0.0,0
46983,-1.364,67.62700000000001,0.0,0.0,-1.875,335.474,-163.6,-80.60000000000001,5.742,0,0.0,-0.47500000000000003,309.915,-3.761,37.02,0.0,250.74200000000002,0.0,0
46983,-1.364,67.62700000000001,0.0,0.0,-1.875,333.7937,-165.70000000000002,-80.60000000000001,5.742,0,0.0,-0.44,310.005,-0.7918000000000001,35.52,0.0,249.941,0.0,0
46983,-1.364,67.62700000000001,0.0,0.0,-1.875,332.1155,-163.70000000000002,-80.3,5.742,0,-1.0,-0.46,309.915,0.41240000000000004,35.61,0.0,249.14100000000002,0.0,0
46983,-1.364,67.62700000000001,0.0,0.0,-1.875,330.4229,-165.6,-80.10000000000001,5.742,0,0.0,-0.45,310.005,-0.41240000000000004,35.7,0.0,248.34,0.0,0
46983,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.875,328.7221,-165.6,-80.10000000000001,5.742,0,0.0,-0.455,310.14000000000004,2.9445,35.85,0.0,247.53900000000002,0.0,0
46983,-1.194,67.62700000000001,0.0,0.0,-1.875,327.0212,-165.70000000000002,-80.3,5.742,0,0.0,-0.43,310.005,2.6888,36.660000000000004,0.0,246.738,0.0,0
46983,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.875,325.3156,-167.70000000000002,-79.8,5.742,0,-1.0,-0.485,310.005,-0.8578,37.92,0.0,245.93800000000002,0.0,0
46983,-1.0230000000000001,67.62700000000001,0.0,0.0,-1.875,323.5937,-167.70000000000002,-80.60000000000001,5.742,0,0.0,-0.485,310.14000000000004,0.066,38.7,0.0,245.137,0.0,0
46983,-1.5350000000000001,67.62700000000001,0.0,0.0,-1.875,321.8718,-167.70000000000002,-79.60000000000001,5.742,0,0.0,-0.47000000000000003,310.005,1.3856000000000002,38.85,0.0,244.336,0.0,0
46983,-1.194,67.62700000000001,0.0,0.0,-1.875,320.1487,-168.9,-80.3,5.742,0,0.0,-0.445,310.005,-0.5938,38.04,0.0,243.53500000000003,0.0,0
