Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46959,-0.853,83.545,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,1.0,-0.48,310.005,0.0,34.26,0.0,257.832,0.0,0
46959,-0.853,83.545,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,1.0,-0.53,310.14000000000004,-2.4743,34.980000000000004,0.0,257.832,0.0,0
46959,-1.194,83.545,0.0,0.0,-1.573,350.0786,0.0,0.0,5.742,0,0.0,-0.485,310.005,1.1877,36.12,0.0,257.832,0.0,0
46959,-1.194,83.545,0.0,0.0,-1.573,350.0786,0.0,-0.5,5.742,0,0.0,-0.525,310.005,-1.8475000000000001,36.93,0.0,257.832,0.0,0
46959,-0.853,83.545,0.0,0.0,-1.573,350.0401,0.0,-3.3000000000000003,5.742,0,0.0,-0.505,310.14000000000004,0.2639,36.42,0.0,257.813,0.0,0
46959,-1.0230000000000001,83.545,0.0,0.0,-1.573,349.9589,0.0,-6.300000000000001,5.742,0,0.0,-0.505,310.005,2.3754,36.12,0.0,257.773,0.0,0
46959,-0.853,83.545,0.0,0.0,-1.573,349.76210000000003,-38.5,-11.1,5.742,0,0.0,-0.47500000000000003,310.14000000000004,0.2639,36.24,0.0,257.676,0.0,0
46959,-0.853,83.545,0.0,0.0,-1.573,349.48400000000004,-40.6,-17.8,5.742,0,1.0,-0.46,310.005,-0.6928000000000001,35.4,0.0,257.539,0.0,0
46959,-1.194,83.545,0.0,0.0,-1.573,349.0477,-79.2,-23.6,5.742,0,0.0,-0.425,309.915,-2.3754,35.79,0.0,257.324,0.0,0
46959,-1.0230000000000001,83.545,0.0,0.0,-1.573,348.4937,-79.2,-31.3,5.742,0,0.0,-0.5750000000000001,310.005,-0.9567,35.28,0.0,257.051,0.0,0
46959,-0.853,83.545,0.0,0.0,-1.573,347.7794,-79.2,-37.9,5.742,0,0.0,-0.47500000000000003,310.14000000000004,2.6393,35.37,0.0,256.699,0.0,0
46959,-0.853,83.545,0.0,0.0,-1.573,346.9393,-79.9,-45.5,5.742,0,0.0,-0.45,310.005,-0.8578,34.38,0.0,256.289,0.0,0
46959,-0.853,83.545,0.0,0.0,-1.573,345.8979,-120.9,-52.300000000000004,5.742,0,0.0,-0.515,309.915,-1.4516,33.660000000000004,0.0,255.781,0.0,0
46959,-1.194,83.545,1.0,0.0,-1.573,344.7375,-118.9,-59.2,5.742,0,0.0,-0.53,310.005,1.9465000000000001,34.44,0.0,255.215,0.0,0
46959,-1.0230000000000001,83.545,0.0,0.0,-1.573,343.4563,-159.9,-65.60000000000001,5.742,0,0.0,-0.5,310.005,1.1877,35.46,0.0,254.59,0.0,0
46959,-1.194,83.545,0.0,0.0,-1.573,342.0504,-161.8,-71.4,5.742,0,0.0,-0.47000000000000003,310.005,3.3651,36.63,0.0,253.906,0.0,0
46959,-1.0230000000000001,83.545,0.0,0.0,-1.573,340.5122,-161.70000000000002,-74.7,5.742,0,0.0,-0.53,310.005,0.0,38.01,0.0,253.16400000000002,0.0,0
46959,-1.0230000000000001,83.545,0.0,0.0,-1.573,338.9325,-161.70000000000002,-78.5,5.742,0,0.0,-0.48,310.005,-1.5836000000000001,37.86,0.0,252.40200000000002,0.0,0
46959,-1.0230000000000001,83.545,0.0,0.0,-1.573,337.274,-161.70000000000002,-79.60000000000001,5.742,0,0.0,-0.51,310.005,0.39590000000000003,37.08,0.0,251.602,0.0,0
46959,-0.853,83.545,0.0,0.0,-1.573,337.1103,-163.70000000000002,-80.3,5.742,0,0.0,-0.505,310.005,0.19790000000000002,37.02,0.0,251.52300000000002,0.0,0
46959,-0.853,83.545,0.0,0.0,-1.573,335.4341,-163.6,-81.10000000000001,5.742,0,0.0,-0.48,310.005,-1.7815,36.12,0.0,250.723,0.0,0
