Zykluszahl,Spritzdruck,SC-Position,SC-Geschwindigkeit,SC-Drehzahl,IST-Schliesskraft,WZ-Position,WZ-Geschwindigkeit,Kreuzkopf-Geschwindigkeit,AW-Position,AW-Geschwindigkeit,SC-Drehmoment,AW-Kraft,EE-Position,EE-Geschwindigkeit,EE-Stellsignal,Anlagekraft,Kreuzkopf-Position,Werkzeuginnendruck 1,Werkzeuginnendruck 2
46814,-0.341,51.719,0.5,0.0,-1.694,350.0786,0.0,0.0,5.742,0,0.0,-0.5700000000000001,310.005,1.1712,37.14,0.0,257.832,0.0,0
46814,-0.512,51.719,0.0,0.0,-1.694,350.0786,0.0,0.0,5.742,0,0.0,-0.53,309.915,-2.3589,36.99,0.0,257.832,0.0,0
46814,-0.341,51.719,0.5,0.0,-1.694,350.0786,0.0,0.0,5.742,0,0.0,-0.45,310.14000000000004,-0.7918000000000001,36.12,0.0,257.832,0.0,0
46814,-0.171,51.719,-0.5,0.0,-1.694,350.0786,0.0,0.0,5.742,0,0.0,-0.495,310.14000000000004,0.7918000000000001,36.06,0.0,257.832,0.0,0
46814,-0.341,51.719,0.5,0.0,-1.694,350.0786,0.0,0.0,5.742,0,0.0,-0.49,310.005,1.3196,35.4,0.0,257.832,0.0,0
46814,-0.171,51.719,0.0,0.0,-1.694,350.0786,0.0,-1.0,5.742,0,0.0,-0.47500000000000003,310.14000000000004,1.8475000000000001,34.92,0.0,257.832,0.0,0
46814,-0.341,51.719,0.0,0.0,-1.694,349.9995,-40.6,-4.5,5.742,0,0.0,-0.47500000000000003,310.005,2.7383,34.29,0.0,257.793,0.0,0
46814,0.0,51.719,0.5,0.0,-1.694,349.8798,0.0,-8.3,5.742,0,-1.0,-0.45,310.005,-0.7918000000000001,34.68,0.0,257.73400000000004,0.0,0
46814,-0.341,51.719,-0.5,0.0,-1.694,349.64230000000003,-40.6,-14.700000000000001,5.742,0,-1.0,-0.44,310.005,-3.0682,35.25,0.0,257.617,0.0,0
46814,-0.512,51.719,0.5,0.0,-1.694,349.28520000000003,-40.6,-20.3,5.742,0,-2.0,-0.45,310.005,3.2991,34.77,0.0,257.44100000000003,0.0,0
46814,-0.512,51.719,0.5,0.0,-1.694,348.81030000000004,-40.6,-26.900000000000002,5.742,0,-1.0,-0.47000000000000003,310.14000000000004,1.4846000000000001,34.5,0.0,257.207,0.0,0
46814,-0.341,51.719,0.5,0.0,-1.694,348.1772,-79.10000000000001,-35.1,5.742,0,0.0,-0.46,309.915,-4.6188,34.65,0.0,256.89500000000004,0.0,0
46814,-0.171,51.719,0.0,0.0,-1.694,347.38,-80.0,-41.9,5.742,0,-1.0,-0.46,310.005,-0.2639,36.03,0.0,256.504,0.0,0
46814,-0.171,51.719,0.0,0.0,-1.694,346.4186,-120.9,-49.1,5.742,0,-1.0,-0.425,310.005,-0.2639,37.77,0.0,256.035,0.0,0
46814,-0.512,51.719,0.5,0.0,-1.694,345.33820000000003,-118.9,-56.2,5.742,0,0.0,-0.465,310.005,1.7815,37.65,0.0,255.508,0.0,0
